Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Table 2
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,4,,Same as the national average,,Not Available,5,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,Acute Care Hospitals,Government - State,Yes,Y,2,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,(334) 418-4100,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,(256) 761-4542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,(256) 825-7821,Acute Care Hospitals,Proprietary,Yes,Y,3,,Not Available,5,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5,
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,5,
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,Acute Care Hospitals,Government - Federal,Yes,,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,(256) 249-5000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 749-3411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,(251) 633-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,(256) 386-1601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,(334) 624-3024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Not Available,5,Not Available,5,Same as the national average,,Above the national average,,Not Available,5,Same as the national average,,Not Available,5,
13300,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,(205) 939-9100,Childrens,Voluntary non-profit - Private,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,5,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,5,
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,(205) 338-3301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,5,
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,(256) 974-2200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Not Available,5,Above the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5,
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,(251) 246-9021,Acute Care Hospitals,Proprietary,Yes,,2,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5,
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,(334) 293-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,(251) 275-3191,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,2,,Same as the national average,,Not Available,5,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Not Available,5,
14006,MOUNTAIN VIEW HOSPITAL,3201 SCENIC HIGHWAY,GADSDEN,AL,35902,ETOWAH,(256) 546-9265,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,(205) 877-1000,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,(251) 415-1000,Childrens,Government - State,Yes,,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,(205) 971-1000,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,CRENSHAW,(334) 335-5040,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,(205) 459-9100,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Not Available,5,
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR,71801,HEMPSTEAD,(870) 722-3800,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5,
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,BAXTER,(870) 508-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,
44004,VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 521-5731,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,(501) 776-6000,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,(870) 414-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
41303,MERCY HOSPITAL OZARK,801 WEST RIVER STREET,OZARK,AR,72949,FRANKLIN,(479) 667-4138,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Same as the national average,,Not Available,5,Not Available,5,
41322,FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET,SALEM,AR,72576,FULTON,(870) 895-2691,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,,Same as the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5,Above the national average,,Not Available,5,
40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 463-5113,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
41318,MERCY HOSPITAL BOONEVILLE,880 WEST MAIN,BOONEVILLE,AR,72927,LOGAN,(479) 675-2800,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,5,Not Available,5,
41316,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Critical Access Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,Acute Care Hospitals,Government - Local,Yes,,2,,Same as the national average,,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
40088,MEDICAL CENTER OF SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71730,UNION,(870) 863-2000,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
44011,ARKANSAS STATE HOSPITAL,305 S PALM STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 686-9000,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
41300,NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY,PARIS,AR,72855,LOGAN,(479) 963-6101,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,5,Not Available,5,
40156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,(870) 394-7800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,
40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,INDEPENDENCE,(870) 262-1200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,
40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,HOT SPRING,(501) 332-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,5,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,72761,BENTON,(479) 524-4141,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
41310,STONE COUNTY MEDICAL CENTER,2106 EAST MAIN STREET,MOUNTAIN VIEW,AR,72560,STONE,(870) 269-4361,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,4,,Same as the national average,,Not Available,5,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
40018,BAPTIST HEALTH - VAN BUREN,211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR,72956,CRAWFORD,(479) 474-3401,Acute Care Hospitals,Proprietary,Yes,Y,3,,Not Available,5,Not Available,5,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5,
43301,"ARKANSAS CHILDREN'S NORTHWEST, INC",2601 GENE GEORGE BOULEVARD,SPRINGDALE,AR,72762,WASHINGTON,(479) 725-6800,Childrens,Voluntary non-profit - Private,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,72758,BENTON,(479) 338-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,WASHINGTON,(479) 751-5711,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
40020,ST BERNARDS MEDICAL CENTER,225 E JACKSON,JONESBORO,AR,72401,CRAIGHEAD,(870) 972-4100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
41311,HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE,NASHVILLE,AR,71852,HOWARD,(870) 845-4400,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,16,Above the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40029,CONWAY REGIONAL HEALTH SYSTEM,2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,(501) 329-3831,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,
41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,(870) 265-5351,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Below the national average,,
41323,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,ASHLEY,(870) 364-4111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,3,,Same as the national average,,Not Available,16,Same as the national average,,Same as the national average,,Not Available,5,Above the national average,,Below the national average,,
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,(870) 541-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
41327,BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,71671,BRADLEY,(870) 226-3731,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,4,,Same as the national average,,Not Available,16,Above the national average,,Not Available,16,Same as the national average,,Same as the national average,,Same as the national average,,
44006,VALLEY BEHAVIORAL HEALTH SYSTEM,10301 MAYO DRIVE,BARLING,AR,72923,SEBASTIAN,(479) 494-5700,Psychiatric,Voluntary non-profit - Other,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
41302,DARDANELLE HOSPITAL,200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,(479) 229-4677,Critical Access Hospitals,Government - Local,Yes,,2,,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,
44017,UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,MAUMELLE,AR,72113,PULASKI,(501) 803-3388,Psychiatric,Voluntary non-profit - Private,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,(870) 838-7300,Acute Care Hospitals,Government - Local,Yes,Y,2,,Same as the national average,,Not Available,5,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,
40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,(501) 552-7100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Same as the national average,,Not Available,5,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,PULASKI,(501) 748-8000,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,16,Not Available,16,Above the national average,,Not Available,5,Above the national average,,Not Available,5,Not Available,5,Not Available,5,
44022,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,72034,FAULKNER,(501) 205-0011,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
40154,BAPTIST HEALTH MEDICAL CENTER- CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,(501) 585-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,
41306,"IZARD COUNTY MEDICAL CENTER, LLC",61 GRASSE STREET,CALICO ROCK,AR,72519,BAXTER,(870) 297-2400,Critical Access Hospitals,Proprietary,Yes,,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 571-7002,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,5,Not Available,5,Not Available,5,
41313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031,VAN BUREN,(501) 745-7000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,
41304,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Not Available,5,Not Available,5,
41317,DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR,71742,DALLAS,(870) 352-6300,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,(501) 321-1000,Acute Care Hospitals,Proprietary,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,
41309,LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN STREET,WALNUT RIDGE,AR,72476,LAWRENCE,(870) 886-1200,Critical Access Hospitals,Government - Local,Yes,,3,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
41314,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ST,STUTTGART,AR,72160,ARKANSAS,(870) 673-3511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,5,
40026,ST VINCENT HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71903,GARLAND,(501) 622-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,
41330,PIGGOTT COMMUNITY HOSPITAL,216 EAST MAIN STREET,PIGGOTT,AR,72454,CLAY,(870) 598-3881,Critical Access Hospitals,Government - Local,Yes,Y,2,,Same as the national average,,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,72076,PULASKI,(501) 985-7000,Acute Care Hospitals,Proprietary,Yes,,2,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Same as the national average,,Same as the national average,,Not Available,5,
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,(479) 754-5454,Acute Care Hospitals,Government - Local,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,
41326,DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH,DUMAS,AR,71639,DESHA,(870) 382-4303,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,2,,Same as the national average,,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5,
40134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,(501) 219-7000,Acute Care Hospitals,Proprietary,Yes,Y,5,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
