Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$12667.07,$15333.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13333.76,NA,NA,NA,NA,NA,NA,NA,$13333.76,NA,NA,$15333.82,$13333.76,NA,$13333.76,$13333.76,NA,$12667.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$11753.46,$14227.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12372.06,NA,NA,NA,NA,NA,NA,NA,$12372.06,NA,NA,$14227.87,$12372.06,NA,$12372.06,$12372.06,NA,$11753.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$14366.45,$17390.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15122.58,NA,NA,NA,NA,NA,NA,NA,$15122.58,NA,NA,$17390.97,$15122.58,NA,$15122.58,$15122.58,NA,$14366.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$18924.47,$22908.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19920.50,NA,NA,NA,NA,NA,NA,NA,$19920.50,NA,NA,$22908.57,$19920.50,NA,$19920.50,$19920.50,NA,$18924.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$16177.88,$19583.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17029.35,NA,NA,NA,NA,NA,NA,NA,$17029.35,NA,NA,$19583.75,$17029.35,NA,$17029.35,$17029.35,NA,$16177.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$15012.88,$18173.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15803.03,NA,NA,NA,NA,NA,NA,NA,$15803.03,NA,NA,$18173.48,$15803.03,NA,$15803.03,$15803.03,NA,$15012.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$18371.42,$22239.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19338.34,NA,NA,NA,NA,NA,NA,NA,$19338.34,NA,NA,$22239.09,$19338.34,NA,$19338.34,$19338.34,NA,$18371.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$24199.31,$29293.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25472.95,NA,NA,NA,NA,NA,NA,NA,$25472.95,NA,NA,$29293.90,$25472.95,NA,$25472.95,$25472.95,NA,$24199.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$20687.06,$25042.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21775.85,NA,NA,NA,NA,NA,NA,NA,$21775.85,NA,NA,$25042.23,$21775.85,NA,$21775.85,$21775.85,NA,$20687.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$19195.97,$23237.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20206.29,NA,NA,NA,NA,NA,NA,NA,$20206.29,NA,NA,$23237.23,$20206.29,NA,$20206.29,$20206.29,NA,$19195.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$23867.47,$28892.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25123.66,NA,NA,NA,NA,NA,NA,NA,$25123.66,NA,NA,$28892.21,$25123.66,NA,$25123.66,$25123.66,NA,$23867.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$31439.28,$38058.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33093.97,NA,NA,NA,NA,NA,NA,NA,$33093.97,NA,NA,$38058.07,$33093.97,NA,$33093.97,$33093.97,NA,$31439.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$26876.95,$32535.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28291.52,NA,NA,NA,NA,NA,NA,NA,$28291.52,NA,NA,$32535.25,$28291.52,NA,$28291.52,$28291.52,NA,$26876.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$24939.11,$30189.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26251.69,NA,NA,NA,NA,NA,NA,NA,$26251.69,NA,NA,$30189.44,$26251.69,NA,$26251.69,$26251.69,NA,$24939.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$27078.06,$32778.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28503.22,NA,NA,NA,NA,NA,NA,NA,$28503.22,NA,NA,$32778.70,$28503.22,NA,$28503.22,$28503.22,NA,$27078.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$35666.90,$43175.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37544.10,NA,NA,NA,NA,NA,NA,NA,$37544.10,NA,NA,$43175.72,$37544.10,NA,$37544.10,$37544.10,NA,$35666.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$30491.18,$36910.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32095.98,NA,NA,NA,NA,NA,NA,NA,$32095.98,NA,NA,$36910.38,$32095.98,NA,$32095.98,$32095.98,NA,$30491.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$28293.34,$34249.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29782.46,NA,NA,NA,NA,NA,NA,NA,$29782.46,NA,NA,$34249.83,$29782.46,NA,$29782.46,$29782.46,NA,$28293.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$31107.44,$37656.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32744.68,NA,NA,NA,NA,NA,NA,NA,$32744.68,NA,NA,$37656.38,$32744.68,NA,$32744.68,$32744.68,NA,$31107.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$40976.21,$49602.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43132.85,NA,NA,NA,NA,NA,NA,NA,$43132.85,NA,NA,$49602.78,$43132.85,NA,$43132.85,$43132.85,NA,$40976.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$35029.09,$42403.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36872.73,NA,NA,NA,NA,NA,NA,NA,$36872.73,NA,NA,$42403.64,$36872.73,NA,$36872.73,$36872.73,NA,$35029.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$32505.16,$39348.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34215.96,NA,NA,NA,NA,NA,NA,NA,$34215.96,NA,NA,$39348.35,$34215.96,NA,$34215.96,$34215.96,NA,$32505.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$11335.43,$13721.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11932.04,NA,NA,NA,NA,NA,NA,NA,$11932.04,NA,NA,$13721.84,$11932.04,NA,$11932.04,$11932.04,NA,$11335.43,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$16512.59,$19988.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17381.67,NA,NA,NA,NA,NA,NA,NA,$17381.67,NA,NA,$19988.92,$17381.67,NA,$17381.67,$17381.67,NA,$16512.59,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$13501.68,$16344.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14212.29,NA,NA,NA,NA,NA,NA,NA,$14212.29,NA,NA,$16344.14,$14212.29,NA,$14212.29,$14212.29,NA,$13501.68,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$12128.38,$14681.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12766.72,NA,NA,NA,NA,NA,NA,NA,$12766.72,NA,NA,$14681.73,$12766.72,NA,$12766.72,$12766.72,NA,$12128.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$14240.04,$17237.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14989.52,NA,NA,NA,NA,NA,NA,NA,$14989.52,NA,NA,$17237.94,$14989.52,NA,$14989.52,$14989.52,NA,$14240.04,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$20743.08,$25110.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21834.83,NA,NA,NA,NA,NA,NA,NA,$21834.83,NA,NA,$25110.05,$21834.83,NA,$21834.83,$21834.83,NA,$20743.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$16960.77,$20531.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17853.45,NA,NA,NA,NA,NA,NA,NA,$17853.45,NA,NA,$20531.46,$17853.45,NA,$17853.45,$17853.45,NA,$16960.77,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$15235.54,$18443.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16037.41,NA,NA,NA,NA,NA,NA,NA,$16037.41,NA,NA,$18443.02,$16037.41,NA,$16037.41,$16037.41,NA,$15235.54,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$17169.07,$20783.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18072.70,NA,NA,NA,NA,NA,NA,NA,$18072.70,NA,NA,$20783.61,$18072.70,NA,$18072.70,$18072.70,NA,$17169.07,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$25010.93,$30276.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26327.29,NA,NA,NA,NA,NA,NA,NA,$26327.29,NA,NA,$30276.39,$26327.29,NA,$26327.29,$26327.29,NA,$25010.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$20448.60,$24753.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21524.84,NA,NA,NA,NA,NA,NA,NA,$21524.84,NA,NA,$24753.57,$21524.84,NA,$21524.84,$21524.84,NA,$20448.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$18368.55,$22235.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19335.31,NA,NA,NA,NA,NA,NA,NA,$19335.31,NA,NA,$22235.61,$19335.31,NA,$19335.31,$19335.31,NA,$18368.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$21369.40,$25868.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22494.10,NA,NA,NA,NA,NA,NA,NA,$22494.10,NA,NA,$25868.22,$22494.10,NA,$22494.10,$22494.10,NA,$21369.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$31127.55,$37680.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32765.85,NA,NA,NA,NA,NA,NA,NA,$32765.85,NA,NA,$37680.72,$32765.85,NA,$32765.85,$32765.85,NA,$31127.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$25451.94,$30810.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26791.51,NA,NA,NA,NA,NA,NA,NA,$26791.51,NA,NA,$30810.24,$26791.51,NA,$26791.51,$26791.51,NA,$25451.94,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$22861.92,$27674.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24065.18,NA,NA,NA,NA,NA,NA,NA,$24065.18,NA,NA,$27674.96,$24065.18,NA,$24065.18,$24065.18,NA,$22861.92,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$26988.99,$32670.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28409.47,NA,NA,NA,NA,NA,NA,NA,$28409.47,NA,NA,$32670.89,$28409.47,NA,$28409.47,$28409.47,NA,$26988.99,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$39315.61,$47592.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41384.86,NA,NA,NA,NA,NA,NA,NA,$41384.86,NA,NA,$47592.58,$41384.86,NA,$41384.86,$41384.86,NA,$39315.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$32144.60,$38911.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33836.42,NA,NA,NA,NA,NA,NA,NA,$33836.42,NA,NA,$38911.88,$33836.42,NA,$33836.42,$33836.42,NA,$32144.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$28875.12,$34954.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30394.86,NA,NA,NA,NA,NA,NA,NA,$30394.86,NA,NA,$34954.09,$30394.86,NA,$30394.86,$30394.86,NA,$28875.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$12230.38,$14805.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12874.08,NA,NA,NA,NA,NA,NA,NA,$12874.08,NA,NA,$14805.19,$12874.08,NA,$12874.08,$12874.08,NA,$12230.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$17615.82,$21324.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18542.97,NA,NA,NA,NA,NA,NA,NA,$18542.97,NA,NA,$21324.41,$18542.97,NA,$18542.97,$18542.97,NA,$17615.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$14280.26,$17286.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15031.86,NA,NA,NA,NA,NA,NA,NA,$15031.86,NA,NA,$17286.63,$15031.86,NA,$15031.86,$15031.86,NA,$14280.26,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$13194.27,$15972.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13888.70,NA,NA,NA,NA,NA,NA,NA,$13888.70,NA,NA,$15972.01,$13888.70,NA,$13888.70,$13888.70,NA,$13194.27,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$15669.36,$18968.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16494.06,NA,NA,NA,NA,NA,NA,NA,$16494.06,NA,NA,$18968.17,$16494.06,NA,$16494.06,$16494.06,NA,$15669.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$22568.88,$27320.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23756.71,NA,NA,NA,NA,NA,NA,NA,$23756.71,NA,NA,$27320.22,$23756.71,NA,$23756.71,$23756.71,NA,$22568.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$18296.72,$22148.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19259.71,NA,NA,NA,NA,NA,NA,NA,$19259.71,NA,NA,$22148.66,$19259.71,NA,$19259.71,$19259.71,NA,$18296.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$16904.75,$20463.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17794.48,NA,NA,NA,NA,NA,NA,NA,$17794.48,NA,NA,$20463.65,$17794.48,NA,$17794.48,$17794.48,NA,$16904.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$18757.84,$22706.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19745.09,NA,NA,NA,NA,NA,NA,NA,$19745.09,NA,NA,$22706.86,$19745.09,NA,$19745.09,$19745.09,NA,$18757.84,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$27017.72,$32705.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28439.71,NA,NA,NA,NA,NA,NA,NA,$28439.71,NA,NA,$32705.66,$28439.71,NA,$28439.71,$28439.71,NA,$27017.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$21902.34,$26513.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23055.10,NA,NA,NA,NA,NA,NA,NA,$23055.10,NA,NA,$26513.36,$23055.10,NA,$23055.10,$23055.10,NA,$21902.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$20236.00,$24496.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21301.05,NA,NA,NA,NA,NA,NA,NA,$21301.05,NA,NA,$24496.21,$21301.05,NA,$21301.05,$21301.05,NA,$20236.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$21044.75,$25475.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22152.37,NA,NA,NA,NA,NA,NA,NA,$22152.37,NA,NA,$25475.22,$22152.37,NA,$22152.37,$22152.37,NA,$21044.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$30311.62,$36693.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31906.97,NA,NA,NA,NA,NA,NA,NA,$31906.97,NA,NA,$36693.02,$31906.97,NA,$31906.97,$31906.97,NA,$30311.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$24571.36,$29744.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25864.59,NA,NA,NA,NA,NA,NA,NA,$25864.59,NA,NA,$29744.28,$25864.59,NA,$25864.59,$25864.59,NA,$24571.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$22703.91,$27483.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23898.85,NA,NA,NA,NA,NA,NA,NA,$23898.85,NA,NA,$27483.68,$23898.85,NA,$23898.85,$23898.85,NA,$22703.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$22986.90,$27826.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24196.74,NA,NA,NA,NA,NA,NA,NA,$24196.74,NA,NA,$27826.25,$24196.74,NA,$24196.74,$24196.74,NA,$22986.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$33109.93,$40080.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34852.55,NA,NA,NA,NA,NA,NA,NA,$34852.55,NA,NA,$40080.44,$34852.55,NA,$34852.55,$34852.55,NA,$33109.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$26841.03,$32491.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28253.72,NA,NA,NA,NA,NA,NA,NA,$28253.72,NA,NA,$32491.78,$28253.72,NA,$28253.72,$28253.72,NA,$26841.03,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$24799.76,$30020.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26105.02,NA,NA,NA,NA,NA,NA,NA,$26105.02,NA,NA,$30020.77,$26105.02,NA,$26105.02,$26105.02,NA,$24799.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$13959.92,$16898.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14694.66,NA,NA,NA,NA,NA,NA,NA,$14694.66,NA,NA,$16898.85,$14694.66,NA,$14694.66,$14694.66,NA,$13959.92,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$19657.09,$23795.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20691.67,NA,NA,NA,NA,NA,NA,NA,$20691.67,NA,NA,$23795.42,$20691.67,NA,$20691.67,$20691.67,NA,$19657.09,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$16680.66,$20192.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17558.59,NA,NA,NA,NA,NA,NA,NA,$17558.59,NA,NA,$20192.37,$17558.59,NA,$17558.59,$17558.59,NA,$16680.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$15025.81,$18189.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15816.64,NA,NA,NA,NA,NA,NA,NA,$15816.64,NA,NA,$18189.14,$15816.64,NA,$15816.64,$15816.64,NA,$15025.81,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$18166.00,$21990.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19122.11,NA,NA,NA,NA,NA,NA,NA,$19122.11,NA,NA,$21990.42,$19122.11,NA,$19122.11,$19122.11,NA,$18166.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$25579.78,$30965.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26926.09,NA,NA,NA,NA,NA,NA,NA,$26926.09,NA,NA,$30965.00,$26926.09,NA,$26926.09,$26926.09,NA,$25579.78,NA,NA,NA
