Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$110.22,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,$124.50,NA,NA,NA,NA,NA,NA,NA,NA,$110.22,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$57.77,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,$65.25,NA,NA,NA,NA,NA,NA,NA,NA,$57.77,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$13466.44,$16462.71,NA,$28490.60,NA,NA,NA,$28490.60,NA,$27066.07,$27066.07,$27350.99,NA,NA,$28490.60,$28490.60,NA,NA,NA,$28490.60,NA,NA,NA,NA,NA,NA,NA,NA,$28490.60,NA,$28490.60,$28490.60,NA,$28490.60,NA,NA,$32764.20,NA,NA,$28490.60,NA,$28490.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$17738.56,$21685.36,NA,$37529.01,NA,NA,NA,$37529.01,NA,$35652.56,$35652.56,$36027.85,NA,NA,$37529.01,$37529.01,NA,NA,NA,$37529.01,NA,NA,NA,NA,NA,NA,NA,NA,$37529.01,NA,$37529.01,$37529.01,NA,$37529.01,NA,NA,$43158.35,NA,NA,$37529.01,NA,$37529.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$15165.66,$18540.00,NA,$32085.59,NA,NA,NA,$32085.59,NA,$30481.31,$30481.31,$30802.17,NA,NA,$32085.59,$32085.59,NA,NA,NA,$32085.59,NA,NA,NA,NA,NA,NA,NA,NA,$32085.59,NA,$32085.59,$32085.59,NA,$32085.59,NA,NA,$36898.43,NA,NA,$32085.59,NA,$32085.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$14071.83,$17202.80,NA,$29771.41,NA,NA,NA,$29771.41,NA,$28282.84,$28282.84,$28580.56,NA,NA,$29771.41,$29771.41,NA,NA,NA,$29771.41,NA,NA,NA,NA,NA,NA,NA,NA,$29771.41,NA,$29771.41,$29771.41,NA,$29771.41,NA,NA,$34237.12,NA,NA,$29771.41,NA,$29771.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$17200.24,$21027.28,NA,$36390.11,NA,NA,NA,$36390.11,NA,$34570.60,$34570.60,$34934.50,NA,NA,$36390.11,$36390.11,NA,NA,NA,$36390.11,NA,NA,NA,NA,NA,NA,NA,NA,$36390.11,NA,$36390.11,$36390.11,NA,$36390.11,NA,NA,$41848.63,NA,NA,$36390.11,NA,$36390.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$22657.34,$27698.56,NA,$47935.54,NA,NA,NA,$47935.54,NA,$45538.76,$45538.76,$46018.11,NA,NA,$47935.54,$47935.54,NA,NA,NA,$47935.54,NA,NA,NA,NA,NA,NA,NA,NA,$47935.54,NA,$47935.54,$47935.54,NA,$47935.54,NA,NA,$55125.86,NA,NA,$47935.54,NA,$47935.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$19368.98,$23678.55,NA,$40978.44,NA,NA,NA,$40978.44,NA,$38929.52,$38929.52,$39339.30,NA,NA,$40978.44,$40978.44,NA,NA,NA,$40978.44,NA,NA,NA,NA,NA,NA,NA,NA,$40978.44,NA,$40978.44,$40978.44,NA,$40978.44,NA,NA,$47125.21,NA,NA,$40978.44,NA,$40978.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$17974.18,$21973.41,NA,$38027.50,NA,NA,NA,$38027.50,NA,$36126.13,$36126.13,$36506.40,NA,NA,$38027.50,$38027.50,NA,NA,NA,$38027.50,NA,NA,NA,NA,NA,NA,NA,NA,$38027.50,NA,$38027.50,$38027.50,NA,$38027.50,NA,NA,$43731.63,NA,NA,$38027.50,NA,$38027.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$21995.19,$26889.10,NA,$46534.65,NA,NA,NA,$46534.65,NA,$44207.92,$44207.92,$44673.27,NA,NA,$46534.65,$46534.65,NA,NA,NA,$46534.65,NA,NA,NA,NA,NA,NA,NA,NA,$46534.65,NA,$46534.65,$46534.65,NA,$46534.65,NA,NA,$53514.86,NA,NA,$46534.65,NA,$46534.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$28972.63,$35419.01,NA,$61296.65,NA,NA,NA,$61296.65,NA,$58231.81,$58231.81,$58844.78,NA,NA,$61296.65,$61296.65,NA,NA,NA,$61296.65,NA,NA,NA,NA,NA,NA,NA,NA,$61296.65,NA,$61296.65,$61296.65,NA,$61296.65,NA,NA,$70491.15,NA,NA,$61296.65,NA,$61296.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$24767.60,$30278.35,NA,$52400.15,NA,NA,NA,$52400.15,NA,$49780.15,$49780.15,$50304.15,NA,NA,$52400.15,$52400.15,NA,NA,NA,$52400.15,NA,NA,NA,NA,NA,NA,NA,NA,$52400.15,NA,$52400.15,$52400.15,NA,$52400.15,NA,NA,$60260.18,NA,NA,$52400.15,NA,$52400.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$22982.39,$28095.94,NA,$48623.24,NA,NA,NA,$48623.24,NA,$46192.08,$46192.08,$46678.31,NA,NA,$48623.24,$48623.24,NA,NA,NA,$48623.24,NA,NA,NA,NA,NA,NA,NA,NA,$48623.24,NA,$48623.24,$48623.24,NA,$48623.24,NA,NA,$55916.73,NA,NA,$48623.24,NA,$48623.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$28575.35,$34933.33,NA,$60456.12,NA,NA,NA,$60456.12,NA,$57433.32,$57433.32,$58037.87,NA,NA,$60456.12,$60456.12,NA,NA,NA,$60456.12,NA,NA,NA,NA,NA,NA,NA,NA,$60456.12,NA,$60456.12,$60456.12,NA,$60456.12,NA,NA,$69524.54,NA,NA,$60456.12,NA,$60456.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$37640.69,$46015.70,NA,$79635.43,NA,NA,NA,$79635.43,NA,$75653.66,$75653.66,$76450.01,NA,NA,$79635.43,$79635.43,NA,NA,NA,$79635.43,NA,NA,NA,NA,NA,NA,NA,NA,$79635.43,NA,$79635.43,$79635.43,NA,$79635.43,NA,NA,$91580.75,NA,NA,$79635.43,NA,$79635.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$32178.44,$39338.10,NA,$68079.08,NA,NA,NA,$68079.08,NA,$64675.13,$64675.13,$65355.92,NA,NA,$68079.08,$68079.08,NA,NA,NA,$68079.08,NA,NA,NA,NA,NA,NA,NA,NA,$68079.08,NA,$68079.08,$68079.08,NA,$68079.08,NA,NA,$78290.95,NA,NA,$68079.08,NA,$68079.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$29858.36,$36501.80,NA,$63170.55,NA,NA,NA,$63170.55,NA,$60012.02,$60012.02,$60643.73,NA,NA,$63170.55,$63170.55,NA,NA,NA,$63170.55,NA,NA,NA,NA,NA,NA,NA,NA,$63170.55,NA,$63170.55,$63170.55,NA,$63170.55,NA,NA,$72646.13,NA,NA,$63170.55,NA,$63170.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$32419.22,$39632.45,NA,$68588.49,NA,NA,NA,$68588.49,NA,$65159.07,$65159.07,$65844.95,NA,NA,$68588.49,$68588.49,NA,NA,NA,$68588.49,NA,NA,NA,NA,NA,NA,NA,NA,$68588.49,NA,$68588.49,$68588.49,NA,$68588.49,NA,NA,$78876.77,NA,NA,$68588.49,NA,$68588.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$42702.22,$52203.40,NA,$90343.96,NA,NA,NA,$90343.96,NA,$85826.77,$85826.77,$86730.20,NA,NA,$90343.96,$90343.96,NA,NA,NA,$90343.96,NA,NA,NA,NA,NA,NA,NA,NA,$90343.96,NA,$90343.96,$90343.96,NA,$90343.96,NA,NA,$103895.56,NA,NA,$90343.96,NA,$90343.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$36505.59,$44628.03,NA,$77233.92,NA,NA,NA,$77233.92,NA,$73372.23,$73372.23,$74144.57,NA,NA,$77233.92,$77233.92,NA,NA,NA,$77233.92,NA,NA,NA,NA,NA,NA,NA,NA,$77233.92,NA,$77233.92,$77233.92,NA,$77233.92,NA,NA,$88819.01,NA,NA,$77233.92,NA,$77233.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$33874.21,$41411.18,NA,$71666.79,NA,NA,NA,$71666.79,NA,$68083.45,$68083.45,$68800.12,NA,NA,$71666.79,$71666.79,NA,NA,NA,$71666.79,NA,NA,NA,NA,NA,NA,NA,NA,$71666.79,NA,$71666.79,$71666.79,NA,$71666.79,NA,NA,$82416.81,NA,NA,$71666.79,NA,$71666.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$37243.40,$45530.01,NA,$78794.90,NA,NA,NA,$78794.90,NA,$74855.15,$74855.15,$75643.10,NA,NA,$78794.90,$78794.90,NA,NA,NA,$78794.90,NA,NA,NA,NA,NA,NA,NA,NA,$78794.90,NA,$78794.90,$78794.90,NA,$78794.90,NA,NA,$90614.13,NA,NA,$78794.90,NA,$78794.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$49058.79,$59974.31,NA,$103792.40,NA,NA,NA,$103792.40,NA,$98602.78,$98602.78,$99640.71,NA,NA,$103792.40,$103792.40,NA,NA,NA,$103792.40,NA,NA,NA,NA,NA,NA,NA,NA,$103792.40,NA,$103792.40,$103792.40,NA,$103792.40,NA,NA,$119361.27,NA,NA,$103792.40,NA,$103792.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$41938.60,$51269.89,NA,$88728.41,NA,NA,NA,$88728.41,NA,$84291.98,$84291.98,$85179.27,NA,NA,$88728.41,$88728.41,NA,NA,NA,$88728.41,NA,NA,NA,NA,NA,NA,NA,NA,$88728.41,NA,$88728.41,$88728.41,NA,$88728.41,NA,NA,$102037.67,NA,NA,$88728.41,NA,$88728.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$38916.82,$47575.76,NA,$82335.30,NA,NA,NA,$82335.30,NA,$78218.54,$78218.54,$79041.89,NA,NA,$82335.30,$82335.30,NA,NA,NA,$82335.30,NA,NA,NA,NA,NA,NA,NA,NA,$82335.30,NA,$82335.30,$82335.30,NA,$82335.30,NA,NA,$94685.60,NA,NA,$82335.30,NA,$82335.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$13571.36,$16590.96,NA,$28712.57,NA,NA,NA,$28712.57,NA,$27276.94,$27276.94,$27564.06,NA,NA,$28712.57,$28712.57,NA,NA,NA,$28712.57,NA,NA,NA,NA,NA,NA,NA,NA,$28712.57,NA,$28712.57,$28712.57,NA,$28712.57,NA,NA,$33019.44,NA,NA,$28712.57,NA,$28712.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$19769.70,$24168.44,NA,$41826.24,NA,NA,NA,$41826.24,NA,$39734.93,$39734.93,$40153.20,NA,NA,$41826.24,$41826.24,NA,NA,NA,$41826.24,NA,NA,NA,NA,NA,NA,NA,NA,$41826.24,NA,$41826.24,$41826.24,NA,$41826.24,NA,NA,$48100.19,NA,NA,$41826.24,NA,$41826.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$16164.89,$19761.56,NA,$34199.65,NA,NA,NA,$34199.65,NA,$32489.66,$32489.66,$32831.66,NA,NA,$34199.65,$34199.65,NA,NA,NA,$34199.65,NA,NA,NA,NA,NA,NA,NA,NA,$34199.65,NA,$34199.65,$34199.65,NA,$34199.65,NA,NA,$39329.59,NA,NA,$34199.65,NA,$34199.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$14520.71,$17751.55,NA,$30721.09,NA,NA,NA,$30721.09,NA,$29185.04,$29185.04,$29492.25,NA,NA,$30721.09,$30721.09,NA,NA,NA,$30721.09,NA,NA,NA,NA,NA,NA,NA,NA,$30721.09,NA,$30721.09,$30721.09,NA,$30721.09,NA,NA,$35329.26,NA,NA,$30721.09,NA,$30721.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$17048.90,$20842.25,NA,$36069.91,NA,NA,NA,$36069.91,NA,$34266.41,$34266.41,$34627.11,NA,NA,$36069.91,$36069.91,NA,NA,NA,$36069.91,NA,NA,NA,NA,NA,NA,NA,NA,$36069.91,NA,$36069.91,$36069.91,NA,$36069.91,NA,NA,$41480.39,NA,NA,$36069.91,NA,$36069.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$24834.67,$30360.35,NA,$52542.07,NA,NA,NA,$52542.07,NA,$49914.96,$49914.96,$50440.38,NA,NA,$52542.07,$52542.07,NA,NA,NA,$52542.07,NA,NA,NA,NA,NA,NA,NA,NA,$52542.07,NA,$52542.07,$52542.07,NA,$52542.07,NA,NA,$60423.37,NA,NA,$52542.07,NA,$52542.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$20306.30,$24824.42,NA,$42961.50,NA,NA,NA,$42961.50,NA,$40813.43,$40813.43,$41243.05,NA,NA,$42961.50,$42961.50,NA,NA,NA,$42961.50,NA,NA,NA,NA,NA,NA,NA,NA,$42961.50,NA,$42961.50,$42961.50,NA,$42961.50,NA,NA,$49405.73,NA,NA,$42961.50,NA,$42961.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$18240.76,$22299.30,NA,$38591.49,NA,NA,NA,$38591.49,NA,$36661.92,$36661.92,$37047.83,NA,NA,$38591.49,$38591.49,NA,NA,NA,$38591.49,NA,NA,NA,NA,NA,NA,NA,NA,$38591.49,NA,$38591.49,$38591.49,NA,$38591.49,NA,NA,$44380.21,NA,NA,$38591.49,NA,$38591.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$20555.68,$25129.29,NA,$43489.10,NA,NA,NA,$43489.10,NA,$41314.66,$41314.66,$41749.54,NA,NA,$43489.10,$43489.10,NA,NA,NA,$43489.10,NA,NA,NA,NA,NA,NA,NA,NA,$43489.10,NA,$43489.10,$43489.10,NA,$43489.10,NA,NA,$50012.48,NA,NA,$43489.10,NA,$43489.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$29944.35,$36606.93,NA,$63352.48,NA,NA,NA,$63352.48,NA,$60184.86,$60184.86,$60818.38,NA,NA,$63352.48,$63352.48,NA,NA,NA,$63352.48,NA,NA,NA,NA,NA,NA,NA,NA,$63352.48,NA,$63352.48,$63352.48,NA,$63352.48,NA,NA,$72855.35,NA,NA,$63352.48,NA,$63352.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$24482.10,$29929.34,NA,$51796.14,NA,NA,NA,$51796.14,NA,$49206.33,$49206.33,$49724.30,NA,NA,$51796.14,$51796.14,NA,NA,NA,$51796.14,NA,NA,NA,NA,NA,NA,NA,NA,$51796.14,NA,$51796.14,$51796.14,NA,$51796.14,NA,NA,$59565.57,NA,NA,$51796.14,NA,$51796.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$21991.75,$26884.89,NA,$46527.38,NA,NA,NA,$46527.38,NA,$44201.01,$44201.01,$44666.29,NA,NA,$46527.38,$46527.38,NA,NA,NA,$46527.38,NA,NA,NA,NA,NA,NA,NA,NA,$46527.38,NA,$46527.38,$46527.38,NA,$46527.38,NA,NA,$53506.49,NA,NA,$46527.38,NA,$46527.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$25584.53,$31277.05,NA,$54128.51,NA,NA,NA,$54128.51,NA,$51422.09,$51422.09,$51963.38,NA,NA,$54128.51,$54128.51,NA,NA,NA,$54128.51,NA,NA,NA,NA,NA,NA,NA,NA,$54128.51,NA,$54128.51,$54128.51,NA,$54128.51,NA,NA,$62247.79,NA,NA,$54128.51,NA,$54128.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$37267.48,$45559.45,NA,$78845.84,NA,NA,NA,$78845.84,NA,$74903.55,$74903.55,$75692.01,NA,NA,$78845.84,$78845.84,NA,NA,NA,$78845.84,NA,NA,NA,NA,NA,NA,NA,NA,$78845.84,NA,$78845.84,$78845.84,NA,$78845.84,NA,NA,$90672.72,NA,NA,$78845.84,NA,$78845.84,NA,NA,NA,NA
