Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,ITEM_SERVICE_PACKAGE,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,DISOPYRAMIDE 100MG CAP,250,$10.00,$7.50,$6.64,$8.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.00,$8.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.00,NA,NA,$7.50,NA,NA,NA,NA,NA,NA,NA,NA,$6.64,$8.00
Inpatient Rehabilitation Services,DISOPYRAMIDE 150 MG CAP,250,$11.81,$8.86,$7.84,$9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.45,$9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.27,NA,NA,$8.86,NA,NA,NA,NA,NA,NA,NA,NA,$7.84,$9.45
Inpatient Rehabilitation Services,DISOPYRAMIDE 150 MG CAP-ER,250,$18.96,$14.22,$12.59,$15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15.17,$15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.27,NA,NA,$14.22,NA,NA,NA,NA,NA,NA,NA,NA,$12.59,$15.17
Inpatient Rehabilitation Services,DISULFIRAM 250 MG TAB,250,$14.14,$10.61,$9.39,$11.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.31,$11.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.90,NA,NA,$10.61,NA,NA,NA,NA,NA,NA,NA,NA,$9.39,$11.31
Inpatient Rehabilitation Services,DIVALPROEX SODIUM 125 MG ORAL,250,$3.86,$2.90,$2.56,$3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.09,$3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.70,NA,NA,$2.90,NA,NA,NA,NA,NA,NA,NA,NA,$2.56,$3.09
Inpatient Rehabilitation Services,DIVALPROEX SODIUM 250 MG ORAL,250,$5.43,$4.07,$3.61,$4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.34,$4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.80,NA,NA,$4.07,NA,NA,NA,NA,NA,NA,NA,NA,$3.61,$4.34
Inpatient Rehabilitation Services,DIVALPROEX SODIUM 500MG ER,250,$14.26,$10.70,$9.47,$11.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.41,$11.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.98,NA,NA,$10.70,NA,NA,NA,NA,NA,NA,NA,NA,$9.47,$11.41
Inpatient Rehabilitation Services,DIVALPROEX SODIUM CAPSULE 125M,250,$4.97,$3.73,$3.30,$4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.98,$4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.48,NA,NA,$3.73,NA,NA,NA,NA,NA,NA,NA,NA,$3.30,$3.98
Inpatient Rehabilitation Services,DIVALPROEX SODIUM EC 250MG DR,250,$6.10,$4.58,$4.05,$5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.88,$5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.27,NA,NA,$4.58,NA,NA,NA,NA,NA,NA,NA,NA,$4.05,$4.88
Inpatient Rehabilitation Services,DIVALPROEX SODIUM500 MG TAB,250,$4.98,$3.74,$3.31,$4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.98,$4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.49,NA,NA,$3.74,NA,NA,NA,NA,NA,NA,NA,NA,$3.31,$3.98
Inpatient Rehabilitation Services,DM-GUAIFEN 10MG-100MG/10ML LIQ,250,$10.09,$7.57,$6.70,$8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.07,$8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.06,NA,NA,$7.57,NA,NA,NA,NA,NA,NA,NA,NA,$6.70,$8.07
Inpatient Rehabilitation Services,DM-QUINIDINE 20 MG-10 MG CAP,250,$87.53,$65.65,$58.12,$73.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70.02,$73.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61.27,NA,NA,$65.65,NA,NA,NA,NA,NA,NA,NA,NA,$58.12,$70.02
Inpatient Rehabilitation Services,DOBUTAMIN 2MG/ML-D5% SOL 250ML,250,$52.59,$39.44,$34.92,$44.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42.07,$44.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36.81,NA,NA,$39.44,NA,NA,NA,NA,NA,NA,NA,NA,$34.92,$42.07
Inpatient Rehabilitation Services,DOBUTAMIN 4MG/ML-D5% SOL 250ML,250,$105.26,$78.95,$69.89,$88.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84.21,$88.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$73.68,NA,NA,$78.95,NA,NA,NA,NA,NA,NA,NA,NA,$69.89,$84.21
Inpatient Rehabilitation Services,DOBUTAMINE 1MG/ML-D5% SOL,250,$34.48,$25.86,$22.89,$28.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.58,$28.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24.14,NA,NA,$25.86,NA,NA,NA,NA,NA,NA,NA,NA,$22.89,$27.58
Inpatient Rehabilitation Services,DOCOSANOL TOPICAL 10% CREAM,250,$64.93,$48.70,$43.11,$54.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51.94,$54.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.45,NA,NA,$48.70,NA,NA,NA,NA,NA,NA,NA,NA,$43.11,$51.94
Inpatient Rehabilitation Services,DOCUSATE 10MG/ML LIQUID,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE 283 MG ENEMA,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE CALCIUM 240 MG CAP UD,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE SODIUM 100 MG CAP,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE SODIUM 100 MG TAB,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE SODIUM 100 MG/25 ML,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE SODIUM 250 MG CAP,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOCUSATE-SENNA 50 MG-8.6 MG T,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOFETILIDE 125 MCG CAP,250,$29.94,$22.46,$19.88,$25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.95,$25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.96,NA,NA,$22.46,NA,NA,NA,NA,NA,NA,NA,NA,$19.88,$23.95
Inpatient Rehabilitation Services,DOFETILIDE 250MCG CAP,250,$43.65,$32.74,$28.98,$36.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34.92,$36.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.56,NA,NA,$32.74,NA,NA,NA,NA,NA,NA,NA,NA,$28.98,$34.92
Inpatient Rehabilitation Services,DOFETILIDE 500MCG CAP,250,$29.94,$22.46,$19.88,$25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23.95,$25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.96,NA,NA,$22.46,NA,NA,NA,NA,NA,NA,NA,NA,$19.88,$23.95
Inpatient Rehabilitation Services,DOLUTEGRAVIR 25 MG TAB,250,$127.85,$95.89,$84.89,$107.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$102.28,$107.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$89.50,NA,NA,$95.89,NA,NA,NA,NA,NA,NA,NA,NA,$84.89,$102.28
Inpatient Rehabilitation Services,DOLUTEGRAVIR 50MG TAB,250,$255.71,$191.78,$169.79,$214.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$204.57,$214.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$179.00,NA,NA,$191.78,NA,NA,NA,NA,NA,NA,NA,NA,$169.79,$204.57
Inpatient Rehabilitation Services,DONEPE-MEMANT 10MG-14MG CAP-ER,250,$68.01,$51.01,$45.16,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54.41,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47.61,NA,NA,$51.01,NA,NA,NA,NA,NA,NA,NA,NA,$45.16,$54.41
Inpatient Rehabilitation Services,DONEPE-MEMANTI 10MG-7MG CAP-ER,250,$68.01,$51.01,$45.16,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54.41,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47.61,NA,NA,$51.01,NA,NA,NA,NA,NA,NA,NA,NA,$45.16,$54.41
Inpatient Rehabilitation Services,DONEPEZIL 10 MG ODT TAB,250,$27.26,$20.45,$18.10,$22.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.81,$22.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.08,NA,NA,$20.45,NA,NA,NA,NA,NA,NA,NA,NA,$18.10,$21.81
Inpatient Rehabilitation Services,DONEPEZIL 10 MG TAB,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DONEPEZIL 23 MG TAB,250,$39.75,$29.81,$26.39,$33.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31.80,$33.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27.83,NA,NA,$29.81,NA,NA,NA,NA,NA,NA,NA,NA,$26.39,$31.80
Inpatient Rehabilitation Services,DONEPEZIL 5 MG ODT TAB,250,$27.26,$20.45,$18.10,$22.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.81,$22.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.08,NA,NA,$20.45,NA,NA,NA,NA,NA,NA,NA,NA,$18.10,$21.81
Inpatient Rehabilitation Services,DONEPEZIL 5 MG TAB,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DONEPEZIL-MEMANT 10MG-28MG CAP,250,$68.01,$51.01,$45.16,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54.41,$57.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47.61,NA,NA,$51.01,NA,NA,NA,NA,NA,NA,NA,NA,$45.16,$54.41
Inpatient Rehabilitation Services,DOPAMIN 1.6MG/ML-D5% SOL 250ML,250,$54.43,$40.82,$36.14,$45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.54,$45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38.10,NA,NA,$40.82,NA,NA,NA,NA,NA,NA,NA,NA,$36.14,$43.54
Inpatient Rehabilitation Services,DOPAMIN 3.2MG/ML-D5% SOL 250ML,250,$81.11,$60.83,$53.86,$68.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64.89,$68.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56.78,NA,NA,$60.83,NA,NA,NA,NA,NA,NA,NA,NA,$53.86,$64.89
Inpatient Rehabilitation Services,DORIPENEM 250 MG POW VIAL,250,$86.45,$64.84,$57.40,$72.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.16,$72.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.52,NA,NA,$64.84,NA,NA,NA,NA,NA,NA,NA,NA,$57.40,$69.16
Inpatient Rehabilitation Services,DORIPENEM 500MG POW INJ,250,$157.78,$118.34,$104.77,$132.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$126.22,$132.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$110.45,NA,NA,$118.34,NA,NA,NA,NA,NA,NA,NA,NA,$104.77,$126.22
Inpatient Rehabilitation Services,DORNASE ALFA 2.5 MG/2.5 ML IN,250,$482.66,$362.00,$320.49,$405.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$386.13,$405.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$337.86,NA,NA,$362.00,NA,NA,NA,NA,NA,NA,NA,NA,$320.49,$386.13
Inpatient Rehabilitation Services,DORZOLAMIDE OPTH 2% SOL,250,$233.63,$175.22,$155.13,$196.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$186.90,$196.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$163.54,NA,NA,$175.22,NA,NA,NA,NA,NA,NA,NA,NA,$155.13,$186.90
Inpatient Rehabilitation Services,DORZOLAMIDE-TIMOLOL OPH PF SOL,250,$9.89,$7.42,$6.57,$8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.91,$8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.92,NA,NA,$7.42,NA,NA,NA,NA,NA,NA,NA,NA,$6.57,$7.91
Inpatient Rehabilitation Services,DORZOLAMIDE-TIMOLOL OPTH 2%-0,250,$236.22,$177.17,$156.85,$198.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$188.98,$198.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$165.35,NA,NA,$177.17,NA,NA,NA,NA,NA,NA,NA,NA,$156.85,$188.98
Inpatient Rehabilitation Services,DOXAZOSIN 1 MG TAB,250,$3.55,$2.66,$2.36,$2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.84,$2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.49,NA,NA,$2.66,NA,NA,NA,NA,NA,NA,NA,NA,$2.36,$2.84
Inpatient Rehabilitation Services,DOXAZOSIN 2 MG TAB,250,$3.55,$2.66,$2.36,$2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.84,$2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.49,NA,NA,$2.66,NA,NA,NA,NA,NA,NA,NA,NA,$2.36,$2.84
Inpatient Rehabilitation Services,DOXAZOSIN 4 MG TAB,250,$3.62,$2.72,$2.40,$3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.90,$3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.53,NA,NA,$2.72,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.90
Inpatient Rehabilitation Services,DOXAZOSIN 8mg TAB,250,$5.20,$3.90,$3.45,$4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.16,$4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.64,NA,NA,$3.90,NA,NA,NA,NA,NA,NA,NA,NA,$3.45,$4.16
Inpatient Rehabilitation Services,DOXEPIN 100 MG CAP,250,$6.99,$5.24,$4.64,$5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.59,$5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.89,NA,NA,$5.24,NA,NA,NA,NA,NA,NA,NA,NA,$4.64,$5.59
Inpatient Rehabilitation Services,DOXEPIN 10MG,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOXEPIN 10MG/ML CON,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOXEPIN 150 MG CAP,250,$11.88,$8.91,$7.89,$9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.50,$9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.32,NA,NA,$8.91,NA,NA,NA,NA,NA,NA,NA,NA,$7.89,$9.50
Inpatient Rehabilitation Services,DOXEPIN 25 MG CAP,250,$3.50,$2.63,$2.32,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,$2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.45,NA,NA,$2.63,NA,NA,NA,NA,NA,NA,NA,NA,$2.32,$2.80
Inpatient Rehabilitation Services,DOXEPIN 3 MG TAB,250,$57.14,$42.86,$37.94,$48.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.71,$48.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.00,NA,NA,$42.86,NA,NA,NA,NA,NA,NA,NA,NA,$37.94,$45.71
Inpatient Rehabilitation Services,DOXEPIN 50 MG CAP,250,$4.09,$3.07,$2.72,$3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.27,$3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.86,NA,NA,$3.07,NA,NA,NA,NA,NA,NA,NA,NA,$2.72,$3.27
Inpatient Rehabilitation Services,DOXEPIN 75 MG CAP,250,$6.34,$4.76,$4.21,$5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.07,$5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.44,NA,NA,$4.76,NA,NA,NA,NA,NA,NA,NA,NA,$4.21,$5.07
Inpatient Rehabilitation Services,DOXEPIN TOPICAL 5% CRE 45GM,250,$2528.13,$1896.10,$1678.68,$2123.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2022.50,$2123.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1769.69,NA,NA,$1896.10,NA,NA,NA,NA,NA,NA,NA,NA,$1678.68,$2022.50
Inpatient Rehabilitation Services,DOXERCALCIFEROL 0.5 MCG ORAL,250,$25.20,$18.90,$16.73,$21.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20.16,$21.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.64,NA,NA,$18.90,NA,NA,NA,NA,NA,NA,NA,NA,$16.73,$20.16
Inpatient Rehabilitation Services,DOXERCALCIFEROL 2 MCG/ML INJ,250,$16.80,$12.60,$11.16,$14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.44,$14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.76,NA,NA,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,$11.16,$13.44
Inpatient Rehabilitation Services,DOXERCALCIFEROL 2.5 MCG CAP,250,$58.38,$43.79,$38.76,$49.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46.70,$49.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.87,NA,NA,$43.79,NA,NA,NA,NA,NA,NA,NA,NA,$38.76,$46.70
