Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$31233.29,$37808.72,NA,NA,NA,NA,NA,$31233.29,NA,NA,NA,$32877.15,NA,NA,$32877.15,NA,$37808.72,$32877.15,$32877.15,$32877.15,NA,$31233.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$26700.95,$32322.20,NA,NA,NA,NA,NA,$26700.95,NA,NA,NA,$28106.26,NA,NA,$28106.26,NA,$32322.20,$28106.26,$28106.26,$28106.26,NA,$26700.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$24776.30,$29992.37,NA,NA,NA,NA,NA,$24776.30,NA,NA,NA,$26080.32,NA,NA,$26080.32,NA,$29992.37,$26080.32,$26080.32,$26080.32,NA,$24776.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$27240.60,$32975.46,NA,NA,NA,NA,NA,$27240.60,NA,NA,NA,$28674.32,NA,NA,$28674.32,NA,$32975.46,$28674.32,$28674.32,$28674.32,NA,$27240.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$35882.62,$43436.86,NA,NA,NA,NA,NA,$35882.62,NA,NA,NA,$37771.18,NA,NA,$37771.18,NA,$43436.86,$37771.18,$37771.18,$37771.18,NA,$35882.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$30674.77,$37132.61,NA,NA,NA,NA,NA,$30674.77,NA,NA,NA,$32289.23,NA,NA,$32289.23,NA,$37132.61,$32289.23,$32289.23,$32289.23,NA,$30674.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$28464.57,$34457.11,NA,NA,NA,NA,NA,$28464.57,NA,NA,NA,$29962.71,NA,NA,$29962.71,NA,$34457.11,$29962.71,$29962.71,$29962.71,NA,$28464.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$9926.37,$12016.13,NA,NA,NA,NA,NA,$9926.37,NA,NA,NA,$10448.81,NA,NA,$10448.81,NA,$12016.13,$10448.81,$10448.81,$10448.81,NA,$9926.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$14459.97,$17504.18,NA,NA,NA,NA,NA,$14459.97,NA,NA,NA,$15221.02,NA,NA,$15221.02,NA,$17504.18,$15221.02,$15221.02,$15221.02,NA,$14459.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$11823.34,$14312.46,NA,NA,NA,NA,NA,$11823.34,NA,NA,NA,$12445.62,NA,NA,$12445.62,NA,$14312.46,$12445.62,$12445.62,$12445.62,NA,$11823.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$10620.75,$12856.70,NA,NA,NA,NA,NA,$10620.75,NA,NA,NA,$11179.74,NA,NA,$11179.74,NA,$12856.70,$11179.74,$11179.74,$11179.74,NA,$10620.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$12469.92,$15095.16,NA,NA,NA,NA,NA,$12469.92,NA,NA,NA,$13126.23,NA,NA,$13126.23,NA,$15095.16,$13126.23,$13126.23,$13126.23,NA,$12469.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$18164.59,$21988.72,NA,NA,NA,NA,NA,$18164.59,NA,NA,NA,$19120.62,NA,NA,$19120.62,NA,$21988.72,$19120.62,$19120.62,$19120.62,NA,$18164.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$14852.45,$17979.28,NA,NA,NA,NA,NA,$14852.45,NA,NA,NA,$15634.16,NA,NA,$15634.16,NA,$17979.28,$15634.16,$15634.16,$15634.16,NA,$14852.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$13341.67,$16150.44,NA,NA,NA,NA,NA,$13341.67,NA,NA,NA,$14043.86,NA,NA,$14043.86,NA,$16150.44,$14043.86,$14043.86,$14043.86,NA,$13341.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$15034.85,$18200.08,NA,NA,NA,NA,NA,$15034.85,NA,NA,NA,$15826.16,NA,NA,$15826.16,NA,$18200.08,$15826.16,$15826.16,$15826.16,NA,$15034.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$21901.92,$26512.85,NA,NA,NA,NA,NA,$21901.92,NA,NA,NA,$23054.65,NA,NA,$23054.65,NA,$26512.85,$23054.65,$23054.65,$23054.65,NA,$21901.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$17906.72,$21676.55,NA,NA,NA,NA,NA,$17906.72,NA,NA,NA,$18849.18,NA,NA,$18849.18,NA,$21676.55,$18849.18,$18849.18,$18849.18,NA,$17906.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$16085.23,$19471.59,NA,NA,NA,NA,NA,$16085.23,NA,NA,NA,$16931.82,NA,NA,$16931.82,NA,$19471.59,$16931.82,$16931.82,$16931.82,NA,$16085.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$18713.05,$22652.64,NA,NA,NA,NA,NA,$18713.05,NA,NA,NA,$19697.95,NA,NA,$19697.95,NA,$22652.64,$19697.95,$19697.95,$19697.95,NA,$18713.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$27258.21,$32996.78,NA,NA,NA,NA,NA,$27258.21,NA,NA,NA,$28692.85,NA,NA,$28692.85,NA,$32996.78,$28692.85,$28692.85,$28692.85,NA,$27258.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$22288.11,$26980.34,NA,NA,NA,NA,NA,$22288.11,NA,NA,NA,$23461.17,NA,NA,$23461.17,NA,$26980.34,$23461.17,$23461.17,$23461.17,NA,$22288.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$20020.05,$24234.80,NA,NA,NA,NA,NA,$20020.05,NA,NA,NA,$21073.74,NA,NA,$21073.74,NA,$24234.80,$21073.74,$21073.74,$21073.74,NA,$20020.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$23634.10,$28609.70,NA,NA,NA,NA,NA,$23634.10,NA,NA,NA,$24878.00,NA,NA,$24878.00,NA,$28609.70,$24878.00,$24878.00,$24878.00,NA,$23634.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$34428.45,$41676.54,NA,NA,NA,NA,NA,$34428.45,NA,NA,NA,$36240.47,NA,NA,$36240.47,NA,$41676.54,$36240.47,$36240.47,$36240.47,NA,$34428.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$28148.83,$34074.90,NA,NA,NA,NA,NA,$28148.83,NA,NA,NA,$29630.35,NA,NA,$29630.35,NA,$34074.90,$29630.35,$29630.35,$29630.35,NA,$28148.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$25285.77,$30609.09,NA,NA,NA,NA,NA,$25285.77,NA,NA,NA,$26616.60,NA,NA,$26616.60,NA,$30609.09,$26616.60,$26616.60,$26616.60,NA,$25285.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$10710.07,$12964.82,NA,NA,NA,NA,NA,$10710.07,NA,NA,NA,$11273.75,NA,NA,$11273.75,NA,$12964.82,$11273.75,$11273.75,$11273.75,NA,$10710.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$15426.07,$18673.66,NA,NA,NA,NA,NA,$15426.07,NA,NA,NA,$16237.97,NA,NA,$16237.97,NA,$18673.66,$16237.97,$16237.97,$16237.97,NA,$15426.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$12505.14,$15137.80,NA,NA,NA,NA,NA,$12505.14,NA,NA,NA,$13163.31,NA,NA,$13163.31,NA,$15137.80,$13163.31,$13163.31,$13163.31,NA,$12505.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$11554.14,$13986.59,NA,NA,NA,NA,NA,$11554.14,NA,NA,NA,$12162.25,NA,NA,$12162.25,NA,$13986.59,$12162.25,$12162.25,$12162.25,NA,$11554.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$13721.56,$16610.31,NA,NA,NA,NA,NA,$13721.56,NA,NA,NA,$14443.75,NA,NA,$14443.75,NA,$16610.31,$14443.75,$14443.75,$14443.75,NA,$13721.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$19763.43,$23924.15,NA,NA,NA,NA,NA,$19763.43,NA,NA,NA,$20803.61,NA,NA,$20803.61,NA,$23924.15,$20803.61,$20803.61,$20803.61,NA,$19763.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$16022.33,$19395.45,NA,NA,NA,NA,NA,$16022.33,NA,NA,NA,$16865.61,NA,NA,$16865.61,NA,$19395.45,$16865.61,$16865.61,$16865.61,NA,$16022.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$14803.39,$17919.89,NA,NA,NA,NA,NA,$14803.39,NA,NA,NA,$15582.51,NA,NA,$15582.51,NA,$17919.89,$15582.51,$15582.51,$15582.51,NA,$14803.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$16426.13,$19884.26,NA,NA,NA,NA,NA,$16426.13,NA,NA,NA,$17290.66,NA,NA,$17290.66,NA,$19884.26,$17290.66,$17290.66,$17290.66,NA,$16426.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$23659.26,$28640.15,NA,NA,NA,NA,NA,$23659.26,NA,NA,NA,$24904.48,NA,NA,$24904.48,NA,$28640.15,$24904.48,$24904.48,$24904.48,NA,$23659.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$19179.75,$23217.59,NA,NA,NA,NA,NA,$19179.75,NA,NA,NA,$20189.21,NA,NA,$20189.21,NA,$23217.59,$20189.21,$20189.21,$20189.21,NA,$19179.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$17720.54,$21451.18,NA,NA,NA,NA,NA,$17720.54,NA,NA,NA,$18653.20,NA,NA,$18653.20,NA,$21451.18,$18653.20,$18653.20,$18653.20,NA,$17720.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$18428.76,$22308.50,NA,NA,NA,NA,NA,$18428.76,NA,NA,NA,$19398.69,NA,NA,$19398.69,NA,$22308.50,$19398.69,$19398.69,$19398.69,NA,$18428.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$26543.70,$32131.85,NA,NA,NA,NA,NA,$26543.70,NA,NA,NA,$27940.74,NA,NA,$27940.74,NA,$32131.85,$27940.74,$27940.74,$27940.74,NA,$26543.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$21516.99,$26046.89,NA,NA,NA,NA,NA,$21516.99,NA,NA,NA,$22649.47,NA,NA,$22649.47,NA,$26046.89,$22649.47,$22649.47,$22649.47,NA,$21516.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$19881.68,$24067.29,NA,NA,NA,NA,NA,$19881.68,NA,NA,NA,$20928.08,NA,NA,$20928.08,NA,$24067.29,$20928.08,$20928.08,$20928.08,NA,$19881.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$20129.49,$24367.28,NA,NA,NA,NA,NA,$20129.49,NA,NA,NA,$21188.94,NA,NA,$21188.94,NA,$24367.28,$21188.94,$21188.94,$21188.94,NA,$20129.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$28994.16,$35098.20,NA,NA,NA,NA,NA,$28994.16,NA,NA,NA,$30520.17,NA,NA,$30520.17,NA,$35098.20,$30520.17,$30520.17,$30520.17,NA,$28994.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$23504.53,$28452.85,NA,NA,NA,NA,NA,$23504.53,NA,NA,NA,$24741.61,NA,NA,$24741.61,NA,$28452.85,$24741.61,$24741.61,$24741.61,NA,$23504.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$21717.00,$26289.01,NA,NA,NA,NA,NA,$21717.00,NA,NA,NA,$22860.00,NA,NA,$22860.00,NA,$26289.01,$22860.00,$22860.00,$22860.00,NA,$21717.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$12224.62,$14798.22,NA,NA,NA,NA,NA,$12224.62,NA,NA,NA,$12868.02,NA,NA,$12868.02,NA,$14798.22,$12868.02,$12868.02,$12868.02,NA,$12224.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$17213.59,$20837.51,NA,NA,NA,NA,NA,$17213.59,NA,NA,NA,$18119.57,NA,NA,$18119.57,NA,$20837.51,$18119.57,$18119.57,$18119.57,NA,$17213.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$14607.15,$17682.34,NA,NA,NA,NA,NA,$14607.15,NA,NA,NA,$15375.95,NA,NA,$15375.95,NA,$17682.34,$15375.95,$15375.95,$15375.95,NA,$14607.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$13158.01,$15928.12,NA,NA,NA,NA,NA,$13158.01,NA,NA,NA,$13850.54,NA,NA,$13850.54,NA,$15928.12,$13850.54,$13850.54,$13850.54,NA,$13158.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$15907.86,$19256.88,NA,NA,NA,NA,NA,$15907.86,NA,NA,NA,$16745.11,NA,NA,$16745.11,NA,$19256.88,$16745.11,$16745.11,$16745.11,NA,$15907.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$22400.06,$27115.87,NA,NA,NA,NA,NA,$22400.06,NA,NA,NA,$23579.01,NA,NA,$23579.01,NA,$27115.87,$23579.01,$23579.01,$23579.01,NA,$22400.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$19007.41,$23008.97,NA,NA,NA,NA,NA,$19007.41,NA,NA,NA,$20007.80,NA,NA,$20007.80,NA,$23008.97,$20007.80,$20007.80,$20007.80,NA,$19007.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$17121.76,$20726.35,NA,NA,NA,NA,NA,$17121.76,NA,NA,NA,$18022.91,NA,NA,$18022.91,NA,$20726.35,$18022.91,$18022.91,$18022.91,NA,$17121.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$19091.69,$23111.00,NA,NA,NA,NA,NA,$19091.69,NA,NA,NA,$20096.52,NA,NA,$20096.52,NA,$23111.00,$20096.52,$20096.52,$20096.52,NA,$19091.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$26883.35,$32543.00,NA,NA,NA,NA,NA,$26883.35,NA,NA,NA,$28298.26,NA,NA,$28298.26,NA,$32543.00,$28298.26,$28298.26,$28298.26,NA,$26883.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$22812.67,$27615.33,NA,NA,NA,NA,NA,$22812.67,NA,NA,NA,$24013.33,NA,NA,$24013.33,NA,$27615.33,$24013.33,$24013.33,$24013.33,NA,$22812.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$20549.64,$24875.88,NA,NA,NA,NA,NA,$20549.64,NA,NA,NA,$21631.20,NA,NA,$21631.20,NA,$24875.88,$21631.20,$21631.20,$21631.20,NA,$20549.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$32326.44,$39132.00,NA,NA,NA,NA,NA,$32326.44,NA,NA,NA,$34027.83,NA,NA,$34027.83,NA,$39132.00,$34027.83,$34027.83,$34027.83,NA,$32326.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$45518.41,$55101.23,NA,NA,NA,NA,NA,$45518.41,NA,NA,NA,$47914.11,NA,NA,$47914.11,NA,$55101.23,$47914.11,$47914.11,$47914.11,NA,$45518.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$38626.18,$46758.01,NA,NA,NA,NA,NA,$38626.18,NA,NA,NA,$40659.13,NA,NA,$40659.13,NA,$46758.01,$40659.13,$40659.13,$40659.13,NA,$38626.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$34794.51,$42119.66,NA,NA,NA,NA,NA,$34794.51,NA,NA,NA,$36625.80,NA,NA,$36625.80,NA,$42119.66,$36625.80,$36625.80,$36625.80,NA,$34794.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$24517.17,$29678.68,NA,NA,NA,NA,NA,$24517.17,NA,NA,NA,$25807.55,NA,NA,$25807.55,NA,$29678.68,$25807.55,$25807.55,$25807.55,NA,$24517.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$34522.79,$41790.75,NA,NA,NA,NA,NA,$34522.79,NA,NA,NA,$36339.78,NA,NA,$36339.78,NA,$41790.75,$36339.78,$36339.78,$36339.78,NA,$34522.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$29294.81,$35462.14,NA,NA,NA,NA,NA,$29294.81,NA,NA,NA,$30836.64,NA,NA,$30836.64,NA,$35462.14,$30836.64,$30836.64,$30836.64,NA,$29294.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$26388.98,$31944.55,NA,NA,NA,NA,NA,$26388.98,NA,NA,NA,$27777.87,NA,NA,$27777.87,NA,$31944.55,$27777.87,$27777.87,$27777.87,NA,$26388.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$32132.71,$38897.50,NA,NA,NA,NA,NA,$32132.71,NA,NA,NA,$33823.91,NA,NA,$33823.91,NA,$38897.50,$33823.91,$33823.91,$33823.91,NA,$32132.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$45246.69,$54772.31,NA,NA,NA,NA,NA,$45246.69,NA,NA,NA,$47628.10,NA,NA,$47628.10,NA,$54772.31,$47628.10,$47628.10,$47628.10,NA,$45246.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$38394.72,$46477.82,NA,NA,NA,NA,NA,$38394.72,NA,NA,NA,$40415.49,NA,NA,$40415.49,NA,$46477.82,$40415.49,$40415.49,$40415.49,NA,$38394.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$34585.69,$41866.89,NA,NA,NA,NA,NA,$34585.69,NA,NA,NA,$36405.99,NA,NA,$36405.99,NA,$41866.89,$36405.99,$36405.99,$36405.99,NA,$34585.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$36688.96,$44412.95,NA,NA,NA,NA,NA,$36688.96,NA,NA,NA,$38619.95,NA,NA,$38619.95,NA,$44412.95,$38619.95,$38619.95,$38619.95,NA,$36688.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$51663.43,$62539.94,NA,NA,NA,NA,NA,$51663.43,NA,NA,NA,$54382.55,NA,NA,$54382.55,NA,$62539.94,$54382.55,$54382.55,$54382.55,NA,$51663.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$43839.06,$53068.34,NA,NA,NA,NA,NA,$43839.06,NA,NA,NA,$46146.38,NA,NA,$46146.38,NA,$53068.34,$46146.38,$46146.38,$46146.38,NA,$43839.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$39491.64,$47805.67,NA,NA,NA,NA,NA,$39491.64,NA,NA,NA,$41570.15,NA,NA,$41570.15,NA,$47805.67,$41570.15,$41570.15,$41570.15,NA,$39491.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$11164.18,$13514.53,NA,NA,NA,NA,NA,$11164.18,NA,NA,NA,$11751.77,NA,NA,$11751.77,NA,$13514.53,$11751.77,$11751.77,$11751.77,NA,$11164.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$16475.19,$19943.65,NA,NA,NA,NA,NA,$16475.19,NA,NA,NA,$17342.30,NA,NA,$17342.30,NA,$19943.65,$17342.30,$17342.30,$17342.30,NA,$16475.19,NA,NA,NA,NA
