Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$21467.60,$25987.10,NA,NA,NA,NA,NA,$21919.55,NA,NA,NA,$22597.48,NA,$22597.48,NA,$22597.48,NA,$25987.10,$22597.48,$22597.48,$22597.48,NA,$21467.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$23308.81,$28215.93,NA,NA,NA,NA,NA,$23799.53,NA,NA,NA,$24535.59,NA,$24535.59,NA,$24535.59,NA,$28215.93,$24535.59,$24535.59,$24535.59,NA,$23308.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$30702.10,$37165.70,NA,NA,NA,NA,NA,$31348.46,NA,NA,NA,$32318.00,NA,$32318.00,NA,$32318.00,NA,$37165.70,$32318.00,$32318.00,$32318.00,NA,$30702.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$26246.84,$31772.49,NA,NA,NA,NA,NA,$26799.40,NA,NA,NA,$27628.25,NA,$27628.25,NA,$27628.25,NA,$31772.49,$27628.25,$27628.25,$27628.25,NA,$26246.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$24354.93,$29482.28,NA,NA,NA,NA,NA,$24867.66,NA,NA,NA,$25636.77,NA,$25636.77,NA,$25636.77,NA,$29482.28,$25636.77,$25636.77,$25636.77,NA,$24354.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$26777.31,$32414.64,NA,NA,NA,NA,NA,$27341.05,NA,NA,NA,$28186.65,NA,$28186.65,NA,$28186.65,NA,$32414.64,$28186.65,$28186.65,$28186.65,NA,$26777.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$35272.36,$42698.12,NA,NA,NA,NA,NA,$36014.93,NA,NA,NA,$37128.80,NA,$37128.80,NA,$37128.80,NA,$42698.12,$37128.80,$37128.80,$37128.80,NA,$35272.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$30153.07,$36501.09,NA,NA,NA,NA,NA,$30787.87,NA,NA,NA,$31740.08,NA,$31740.08,NA,$31740.08,NA,$36501.09,$31740.08,$31740.08,$31740.08,NA,$30153.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$27980.47,$33871.09,NA,NA,NA,NA,NA,$28569.53,NA,NA,NA,$29453.13,NA,$29453.13,NA,$29453.13,NA,$33871.09,$29453.13,$29453.13,$29453.13,NA,$27980.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$9757.55,$11811.77,NA,NA,NA,NA,NA,$9962.97,NA,NA,NA,$10271.11,NA,$10271.11,NA,$10271.11,NA,$11811.77,$10271.11,$10271.11,$10271.11,NA,$9757.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$14214.05,$17206.48,NA,NA,NA,NA,NA,$14513.29,NA,NA,NA,$14962.16,NA,$14962.16,NA,$14962.16,NA,$17206.48,$14962.16,$14962.16,$14962.16,NA,$14214.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$11622.26,$14069.05,NA,NA,NA,NA,NA,$11866.94,NA,NA,NA,$12233.95,NA,$12233.95,NA,$12233.95,NA,$14069.05,$12233.95,$12233.95,$12233.95,NA,$11622.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$10440.12,$12638.04,NA,NA,NA,NA,NA,$10659.91,NA,NA,NA,$10989.60,NA,$10989.60,NA,$10989.60,NA,$12638.04,$10989.60,$10989.60,$10989.60,NA,$10440.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$12257.84,$14838.44,NA,NA,NA,NA,NA,$12515.90,NA,NA,NA,$12902.99,NA,$12902.99,NA,$12902.99,NA,$14838.44,$12902.99,$12902.99,$12902.99,NA,$12257.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$17855.66,$21614.75,NA,NA,NA,NA,NA,$18231.57,NA,NA,NA,$18795.44,NA,$18795.44,NA,$18795.44,NA,$21614.75,$18795.44,$18795.44,$18795.44,NA,$17855.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$14599.85,$17673.50,NA,NA,NA,NA,NA,$14907.21,NA,NA,NA,$15368.26,NA,$15368.26,NA,$15368.26,NA,$17673.50,$15368.26,$15368.26,$15368.26,NA,$14599.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$13114.76,$15875.77,NA,NA,NA,NA,NA,$13390.86,NA,NA,NA,$13805.01,NA,$13805.01,NA,$13805.01,NA,$15875.77,$13805.01,$13805.01,$13805.01,NA,$13114.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$14779.15,$17890.55,NA,NA,NA,NA,NA,$15090.29,NA,NA,NA,$15557.00,NA,$15557.00,NA,$15557.00,NA,$17890.55,$15557.00,$15557.00,$15557.00,NA,$14779.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$21529.43,$26061.94,NA,NA,NA,NA,NA,$21982.68,NA,NA,NA,$22662.56,NA,$22662.56,NA,$22662.56,NA,$26061.94,$22662.56,$22662.56,$22662.56,NA,$21529.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$17602.17,$21307.89,NA,NA,NA,NA,NA,$17972.75,NA,NA,NA,$18528.60,NA,$18528.60,NA,$18528.60,NA,$21307.89,$18528.60,$18528.60,$18528.60,NA,$17602.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$15811.66,$19140.43,NA,NA,NA,NA,NA,$16144.54,NA,NA,NA,$16643.85,NA,$16643.85,NA,$16643.85,NA,$19140.43,$16643.85,$16643.85,$16643.85,NA,$15811.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$18394.80,$22267.39,NA,NA,NA,NA,NA,$18782.06,NA,NA,NA,$19362.94,NA,$19362.94,NA,$19362.94,NA,$22267.39,$19362.94,$19362.94,$19362.94,NA,$18394.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$26794.63,$32435.60,NA,NA,NA,NA,NA,$27358.72,NA,NA,NA,$28204.87,NA,$28204.87,NA,$28204.87,NA,$32435.60,$28204.87,$28204.87,$28204.87,NA,$26794.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$21909.05,$26521.48,NA,NA,NA,NA,NA,$22370.29,NA,NA,NA,$23062.16,NA,$23062.16,NA,$23062.16,NA,$26521.48,$23062.16,$23062.16,$23062.16,NA,$21909.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$19679.56,$23822.63,NA,NA,NA,NA,NA,$20093.87,NA,NA,NA,$20715.33,NA,$20715.33,NA,$20715.33,NA,$23822.63,$20715.33,$20715.33,$20715.33,NA,$19679.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$23232.15,$28123.13,NA,NA,NA,NA,NA,$23721.25,NA,NA,NA,$24454.89,NA,$24454.89,NA,$24454.89,NA,$28123.13,$24454.89,$24454.89,$24454.89,NA,$23232.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$33842.91,$40967.74,NA,NA,NA,NA,NA,$34555.40,NA,NA,NA,$35624.12,NA,$35624.12,NA,$35624.12,NA,$40967.74,$35624.12,$35624.12,$35624.12,NA,$33842.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$27670.10,$33495.38,NA,NA,NA,NA,NA,$28252.63,NA,NA,NA,$29126.42,NA,$29126.42,NA,$29126.42,NA,$33495.38,$29126.42,$29126.42,$29126.42,NA,$27670.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$24855.73,$30088.51,NA,NA,NA,NA,NA,$25379.01,NA,NA,NA,$26163.92,NA,$26163.92,NA,$26163.92,NA,$30088.51,$26163.92,$26163.92,$26163.92,NA,$24855.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$10527.92,$12744.32,NA,NA,NA,NA,NA,$10749.56,NA,NA,NA,$11082.02,NA,$11082.02,NA,$11082.02,NA,$12744.32,$11082.02,$11082.02,$11082.02,NA,$10527.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$15163.71,$18356.07,NA,NA,NA,NA,NA,$15482.95,NA,NA,NA,$15961.80,NA,$15961.80,NA,$15961.80,NA,$18356.07,$15961.80,$15961.80,$15961.80,NA,$15163.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$12292.46,$14880.35,NA,NA,NA,NA,NA,$12551.25,NA,NA,NA,$12939.43,NA,$12939.43,NA,$12939.43,NA,$14880.35,$12939.43,$12939.43,$12939.43,NA,$12292.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$11357.64,$13748.72,NA,NA,NA,NA,NA,$11596.75,NA,NA,NA,$11955.41,NA,$11955.41,NA,$11955.41,NA,$13748.72,$11955.41,$11955.41,$11955.41,NA,$11357.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$13488.20,$16327.82,NA,NA,NA,NA,NA,$13772.16,NA,NA,NA,$14198.10,NA,$14198.10,NA,$14198.10,NA,$16327.82,$14198.10,$14198.10,$14198.10,NA,$13488.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$19427.31,$23517.27,NA,NA,NA,NA,NA,$19836.30,NA,NA,NA,$20449.80,NA,$20449.80,NA,$20449.80,NA,$23517.27,$20449.80,$20449.80,$20449.80,NA,$19427.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$15749.83,$19065.59,NA,NA,NA,NA,NA,$16081.41,NA,NA,NA,$16578.77,NA,$16578.77,NA,$16578.77,NA,$19065.59,$16578.77,$16578.77,$16578.77,NA,$15749.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$14551.62,$17615.12,NA,NA,NA,NA,NA,$14857.97,NA,NA,NA,$15317.50,NA,$15317.50,NA,$15317.50,NA,$17615.12,$15317.50,$15317.50,$15317.50,NA,$14551.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$16146.76,$19546.08,NA,NA,NA,NA,NA,$16486.70,NA,NA,NA,$16996.59,NA,$16996.59,NA,$16996.59,NA,$19546.08,$16996.59,$16996.59,$16996.59,NA,$16146.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$23256.88,$28153.06,NA,NA,NA,NA,NA,$23746.50,NA,NA,NA,$24480.93,NA,$24480.93,NA,$24480.93,NA,$28153.06,$24480.93,$24480.93,$24480.93,NA,$23256.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$18853.55,$22822.72,NA,NA,NA,NA,NA,$19250.47,NA,NA,NA,$19845.85,NA,$19845.85,NA,$19845.85,NA,$22822.72,$19845.85,$19845.85,$19845.85,NA,$18853.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$17419.17,$21086.36,NA,NA,NA,NA,NA,$17785.88,NA,NA,NA,$18335.96,NA,$18335.96,NA,$18335.96,NA,$21086.36,$18335.96,$18335.96,$18335.96,NA,$17419.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$18115.34,$21929.09,NA,NA,NA,NA,NA,$18496.71,NA,NA,NA,$19068.78,NA,$19068.78,NA,$19068.78,NA,$21929.09,$19068.78,$19068.78,$19068.78,NA,$18115.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$26092.27,$31585.38,NA,NA,NA,NA,NA,$26641.58,NA,NA,NA,$27465.55,NA,$27465.55,NA,$27465.55,NA,$31585.38,$27465.55,$27465.55,$27465.55,NA,$26092.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$21151.05,$25603.90,NA,NA,NA,NA,NA,$21596.33,NA,NA,NA,$22264.26,NA,$22264.26,NA,$22264.26,NA,$25603.90,$22264.26,$22264.26,$22264.26,NA,$21151.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$19543.54,$23657.97,NA,NA,NA,NA,NA,$19954.99,NA,NA,NA,$20572.15,NA,$20572.15,NA,$20572.15,NA,$23657.97,$20572.15,$20572.15,$20572.15,NA,$19543.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$19787.14,$23952.86,NA,NA,NA,NA,NA,$20203.71,NA,NA,NA,$20828.57,NA,$20828.57,NA,$20828.57,NA,$23952.86,$20828.57,$20828.57,$20828.57,NA,$19787.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$28501.05,$34501.27,NA,NA,NA,NA,NA,$29101.08,NA,NA,NA,$30001.11,NA,$30001.11,NA,$30001.11,NA,$34501.27,$30001.11,$30001.11,$30001.11,NA,$28501.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$23104.78,$27968.95,NA,NA,NA,NA,NA,$23591.20,NA,NA,NA,$24320.83,NA,$24320.83,NA,$24320.83,NA,$27968.95,$24320.83,$24320.83,$24320.83,NA,$23104.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$21347.66,$25841.90,NA,NA,NA,NA,NA,$21797.08,NA,NA,NA,$22471.22,NA,$22471.22,NA,$22471.22,NA,$25841.90,$22471.22,$22471.22,$22471.22,NA,$21347.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$12016.71,$14546.55,NA,NA,NA,NA,NA,$12269.70,NA,NA,NA,$12649.17,NA,$12649.17,NA,$12649.17,NA,$14546.55,$12649.17,$12649.17,$12649.17,NA,$12016.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$16920.84,$20483.12,NA,NA,NA,NA,NA,$17277.07,NA,NA,NA,$17811.41,NA,$17811.41,NA,$17811.41,NA,$20483.12,$17811.41,$17811.41,$17811.41,NA,$16920.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$14358.72,$17381.61,NA,NA,NA,NA,NA,$14661.01,NA,NA,NA,$15114.45,NA,$15114.45,NA,$15114.45,NA,$17381.61,$15114.45,$15114.45,$15114.45,NA,$14358.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$12934.23,$15657.22,NA,NA,NA,NA,NA,$13206.53,NA,NA,NA,$13614.98,NA,$13614.98,NA,$13614.98,NA,$15657.22,$13614.98,$13614.98,$13614.98,NA,$12934.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$15637.31,$18929.37,NA,NA,NA,NA,NA,$15966.51,NA,NA,NA,$16460.32,NA,$16460.32,NA,$16460.32,NA,$18929.37,$16460.32,$16460.32,$16460.32,NA,$15637.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$22019.10,$26654.70,NA,NA,NA,NA,NA,$22482.66,NA,NA,NA,$23178.00,NA,$23178.00,NA,$23178.00,NA,$26654.70,$23178.00,$23178.00,$23178.00,NA,$22019.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$18684.15,$22617.65,NA,NA,NA,NA,NA,$19077.50,NA,NA,NA,$19667.52,NA,$19667.52,NA,$19667.52,NA,$22617.65,$19667.52,$19667.52,$19667.52,NA,$18684.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$16830.57,$20373.85,NA,NA,NA,NA,NA,$17184.90,NA,NA,NA,$17716.39,NA,$17716.39,NA,$17716.39,NA,$20373.85,$17716.39,$17716.39,$17716.39,NA,$16830.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$18767.00,$22717.94,NA,NA,NA,NA,NA,$19162.09,NA,NA,NA,$19754.73,NA,$19754.73,NA,$19754.73,NA,$22717.94,$19754.73,$19754.73,$19754.73,NA,$18767.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$26426.14,$31989.53,NA,NA,NA,NA,NA,$26982.48,NA,NA,NA,$27816.99,NA,$27816.99,NA,$27816.99,NA,$31989.53,$27816.99,$27816.99,$27816.99,NA,$26426.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$22424.69,$27145.67,NA,NA,NA,NA,NA,$22896.79,NA,NA,NA,$23604.93,NA,$23604.93,NA,$23604.93,NA,$27145.67,$23604.93,$23604.93,$23604.93,NA,$22424.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$20200.15,$24452.81,NA,NA,NA,NA,NA,$20625.41,NA,NA,NA,$21263.31,NA,$21263.31,NA,$21263.31,NA,$24452.81,$21263.31,$21263.31,$21263.31,NA,$20200.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$31776.65,$38466.47,NA,NA,NA,NA,NA,$32445.63,NA,NA,NA,$33449.11,NA,$33449.11,NA,$33449.11,NA,$38466.47,$33449.11,$33449.11,$33449.11,NA,$31776.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$44744.27,$54164.11,NA,NA,NA,NA,NA,$45686.25,NA,NA,NA,$47099.23,NA,$47099.23,NA,$47099.23,NA,$54164.11,$47099.23,$47099.23,$47099.23,NA,$44744.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$37969.25,$45962.78,NA,NA,NA,NA,NA,$38768.61,NA,NA,NA,$39967.64,NA,$39967.64,NA,$39967.64,NA,$45962.78,$39967.64,$39967.64,$39967.64,NA,$37969.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$34202.75,$41403.33,NA,NA,NA,NA,NA,$34922.81,NA,NA,NA,$36002.89,NA,$36002.89,NA,$36002.89,NA,$41403.33,$36002.89,$36002.89,$36002.89,NA,$34202.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$24100.20,$29173.93,NA,NA,NA,NA,NA,$24607.57,NA,NA,NA,$25368.63,NA,$25368.63,NA,$25368.63,NA,$29173.93,$25368.63,$25368.63,$25368.63,NA,$24100.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$33935.65,$41080.00,NA,NA,NA,NA,NA,$34650.09,NA,NA,NA,$35721.74,NA,$35721.74,NA,$35721.74,NA,$41080.00,$35721.74,$35721.74,$35721.74,NA,$33935.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$28796.59,$34859.03,NA,NA,NA,NA,NA,$29402.83,NA,NA,NA,$30312.20,NA,$30312.20,NA,$30312.20,NA,$34859.03,$30312.20,$30312.20,$30312.20,NA,$28796.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$25940.17,$31401.26,NA,NA,NA,NA,NA,$26486.28,NA,NA,NA,$27305.45,NA,$27305.45,NA,$27305.45,NA,$31401.26,$27305.45,$27305.45,$27305.45,NA,$25940.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$31586.23,$38235.96,NA,NA,NA,NA,NA,$32251.20,NA,NA,NA,$33248.66,NA,$33248.66,NA,$33248.66,NA,$38235.96,$33248.66,$33248.66,$33248.66,NA,$31586.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$44477.17,$53840.79,NA,NA,NA,NA,NA,$45413.54,NA,NA,NA,$46818.08,NA,$46818.08,NA,$46818.08,NA,$53840.79,$46818.08,$46818.08,$46818.08,NA,$44477.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$37741.73,$45687.36,NA,NA,NA,NA,NA,$38536.29,NA,NA,NA,$39728.14,NA,$39728.14,NA,$39728.14,NA,$45687.36,$39728.14,$39728.14,$39728.14,NA,$37741.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$33997.48,$41154.85,NA,NA,NA,NA,NA,$34713.22,NA,NA,NA,$35786.82,NA,$35786.82,NA,$35786.82,NA,$41154.85,$35786.82,$35786.82,$35786.82,NA,$33997.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$36064.98,$43657.61,NA,NA,NA,NA,NA,$36824.24,NA,NA,NA,$37963.14,NA,$37963.14,NA,$37963.14,NA,$43657.61,$37963.14,$37963.14,$37963.14,NA,$36064.98,NA,NA,NA,NA
