Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$27134.93,$31208.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54272.52,NA,NA,NA,NA,$54272.52,$54272.52,$54272.52,NA,NA,$62413.39,$54272.52,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$29462.21,$33884.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58927.30,NA,NA,NA,NA,$58927.30,$58927.30,$58927.30,NA,NA,$67766.40,$58927.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$38807.28,$44632.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$77618.36,NA,NA,NA,NA,$77618.36,$77618.36,$77618.36,NA,NA,$89261.11,$77618.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$33175.86,$38155.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66354.96,NA,NA,NA,NA,$66354.96,$66354.96,$66354.96,NA,NA,$76308.20,$66354.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$30784.49,$35405.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61572.00,NA,NA,NA,NA,$61572.00,$61572.00,$61572.00,NA,NA,$70807.80,$61572.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$33846.38,$38927.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67696.07,NA,NA,NA,NA,$67696.07,$67696.07,$67696.07,NA,NA,$77850.47,$67696.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$44584.06,$51276.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$89172.49,NA,NA,NA,NA,$89172.49,$89172.49,$89172.49,NA,NA,$102548.36,$89172.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$38113.32,$43834.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$76230.37,NA,NA,NA,NA,$76230.37,$76230.37,$76230.37,NA,NA,$87664.91,$76230.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$35367.16,$40676.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70737.78,NA,NA,NA,NA,$70737.78,$70737.78,$70737.78,NA,NA,$81348.44,$70737.78,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12333.49,$14184.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24668.19,NA,NA,NA,NA,$24668.19,$24668.19,$24668.19,NA,NA,$28368.41,$24668.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$17966.48,$20663.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35934.72,NA,NA,NA,NA,$35934.72,$35934.72,$35934.72,NA,NA,$41324.92,$35934.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$14690.47,$16895.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29382.38,NA,NA,NA,NA,$29382.38,$29382.38,$29382.38,NA,NA,$33789.73,$29382.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13196.26,$15177.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26393.81,NA,NA,NA,NA,$26393.81,$26393.81,$26393.81,NA,NA,$30352.88,$26393.81,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$15493.84,$17819.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30989.20,NA,NA,NA,NA,$30989.20,$30989.20,$30989.20,NA,NA,$35637.58,$30989.20,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$22569.46,$25957.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45141.13,NA,NA,NA,NA,$45141.13,$45141.13,$45141.13,NA,NA,$51912.30,$45141.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$18454.13,$21224.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36910.06,NA,NA,NA,NA,$36910.06,$36910.06,$36910.06,NA,NA,$42446.58,$36910.06,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$16576.99,$19065.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33155.60,NA,NA,NA,NA,$33155.60,$33155.60,$33155.60,NA,NA,$38128.94,$33155.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$18680.76,$21484.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37363.35,NA,NA,NA,NA,$37363.35,$37363.35,$37363.35,NA,NA,$42967.85,$37363.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$27213.08,$31298.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54428.82,NA,NA,NA,NA,$54428.82,$54428.82,$54428.82,NA,NA,$62593.15,$54428.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$22249.05,$25588.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44500.28,NA,NA,NA,NA,$44500.28,$44500.28,$44500.28,NA,NA,$51175.32,$44500.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$19985.85,$22985.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39973.66,NA,NA,NA,NA,$39973.66,$39973.66,$39973.66,NA,NA,$45969.71,$39973.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$23250.92,$26741.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46504.12,NA,NA,NA,NA,$46504.12,$46504.12,$46504.12,NA,NA,$53479.74,$46504.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$33868.26,$38952.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67739.83,NA,NA,NA,NA,$67739.83,$67739.83,$67739.83,NA,NA,$77900.81,$67739.83,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$27692.92,$31849.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55388.55,NA,NA,NA,NA,$55388.55,$55388.55,$55388.55,NA,NA,$63696.82,$55388.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$24874.86,$28608.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49752.15,NA,NA,NA,NA,$49752.15,$49752.15,$49752.15,NA,NA,$57214.98,$49752.15,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$29365.31,$33773.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58733.49,NA,NA,NA,NA,$58733.49,$58733.49,$58733.49,NA,NA,$67543.51,$58733.49,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$42777.25,$49198.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$85558.69,NA,NA,NA,NA,$85558.69,$85558.69,$85558.69,NA,NA,$98392.50,$85558.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$34974.85,$40225.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69953.12,NA,NA,NA,NA,$69953.12,$69953.12,$69953.12,NA,NA,$80446.09,$69953.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$31417.50,$36133.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62838.08,NA,NA,NA,NA,$62838.08,$62838.08,$62838.08,NA,NA,$72263.79,$62838.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13307.23,$15304.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26615.76,NA,NA,NA,NA,$26615.76,$26615.76,$26615.76,NA,NA,$30608.12,$26615.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19166.85,$22044.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38335.57,NA,NA,NA,NA,$38335.57,$38335.57,$38335.57,NA,NA,$44085.91,$38335.57,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$15537.60,$17869.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31076.73,NA,NA,NA,NA,$31076.73,$31076.73,$31076.73,NA,NA,$35738.23,$31076.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14355.99,$16511.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28713.38,NA,NA,NA,NA,$28713.38,$28713.38,$28713.38,NA,NA,$33020.39,$28713.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$17049.01,$19608.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34099.69,NA,NA,NA,NA,$34099.69,$34099.69,$34099.69,NA,NA,$39214.64,$34099.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$24556.01,$28242.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49114.42,NA,NA,NA,NA,$49114.42,$49114.42,$49114.42,NA,NA,$56481.59,$49114.42,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$19907.70,$22896.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39817.35,NA,NA,NA,NA,$39817.35,$39817.35,$39817.35,NA,NA,$45789.96,$39817.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$18393.17,$21154.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36788.14,NA,NA,NA,NA,$36788.14,$36788.14,$36788.14,NA,NA,$42306.37,$36788.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$20409.42,$23473.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40820.84,NA,NA,NA,NA,$40820.84,$40820.84,$40820.84,NA,NA,$46943.96,$40820.84,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$29396.57,$33809.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58796.01,NA,NA,NA,NA,$58796.01,$58796.01,$58796.01,NA,NA,$67615.41,$58796.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$23830.79,$27408.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47663.91,NA,NA,NA,NA,$47663.91,$47663.91,$47663.91,NA,NA,$54813.49,$47663.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$22017.73,$25322.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44037.61,NA,NA,NA,NA,$44037.61,$44037.61,$44037.61,NA,NA,$50643.26,$44037.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$22897.69,$26334.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45797.62,NA,NA,NA,NA,$45797.62,$45797.62,$45797.62,NA,NA,$52667.26,$45797.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$32980.48,$37931.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65964.19,NA,NA,NA,NA,$65964.19,$65964.19,$65964.19,NA,NA,$75858.83,$65964.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$26734.81,$30748.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53472.23,NA,NA,NA,NA,$53472.23,$53472.23,$53472.23,NA,NA,$61493.07,$53472.23,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$24702.93,$28411.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49408.28,NA,NA,NA,NA,$49408.28,$49408.28,$49408.28,NA,NA,$56819.52,$49408.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$25010.84,$28765.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50024.13,NA,NA,NA,NA,$50024.13,$50024.13,$50024.13,NA,NA,$57527.74,$50024.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$36025.17,$41433.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$72053.87,NA,NA,NA,NA,$72053.87,$72053.87,$72053.87,NA,NA,$82861.95,$72053.87,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$29204.32,$33588.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58411.50,NA,NA,NA,NA,$58411.50,$58411.50,$58411.50,NA,NA,$67173.22,$58411.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$26983.32,$31033.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53969.28,NA,NA,NA,NA,$53969.28,$53969.28,$53969.28,NA,NA,$62064.68,$53969.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15189.06,$17469.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30379.61,NA,NA,NA,NA,$30379.61,$30379.61,$30379.61,NA,NA,$34936.55,$30379.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$21387.85,$24598.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42777.79,NA,NA,NA,NA,$42777.79,$42777.79,$42777.79,NA,NA,$49194.45,$42777.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$18149.35,$20873.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36300.47,NA,NA,NA,NA,$36300.47,$36300.47,$36300.47,NA,NA,$41745.54,$36300.47,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$16348.79,$18802.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32699.18,NA,NA,NA,NA,$32699.18,$32699.18,$32699.18,NA,NA,$37604.06,$32699.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$19765.47,$22732.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39532.88,NA,NA,NA,NA,$39532.88,$39532.88,$39532.88,NA,NA,$45462.81,$39532.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$27832.02,$32009.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55666.76,NA,NA,NA,NA,$55666.76,$55666.76,$55666.76,NA,NA,$64016.78,$55666.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$23616.66,$27161.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47235.63,NA,NA,NA,NA,$47235.63,$47235.63,$47235.63,NA,NA,$54320.98,$47235.63,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$21273.75,$24467.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42549.58,NA,NA,NA,NA,$42549.58,$42549.58,$42549.58,NA,NA,$48932.02,$42549.58,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$23721.38,$27282.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47445.08,NA,NA,NA,NA,$47445.08,$47445.08,$47445.08,NA,NA,$54561.83,$47445.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$33402.49,$38416.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66808.25,NA,NA,NA,NA,$66808.25,$66808.25,$66808.25,NA,NA,$76829.48,$66808.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$28344.68,$32599.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56692.13,NA,NA,NA,NA,$56692.13,$56692.13,$56692.13,NA,NA,$65195.95,$56692.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$25532.87,$29365.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51068.24,NA,NA,NA,NA,$51068.24,$51068.24,$51068.24,NA,NA,$58728.49,$51068.24,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$40165.51,$46194.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$80334.95,NA,NA,NA,NA,$80334.95,$80334.95,$80334.95,NA,NA,$92385.20,$80334.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$56556.50,$65046.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$113118.54,NA,NA,NA,NA,$113118.54,$113118.54,$113118.54,NA,NA,$130086.33,$113118.54,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$47992.93,$55197.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$95990.55,NA,NA,NA,NA,$95990.55,$95990.55,$95990.55,NA,NA,$110389.13,$95990.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$43232.08,$49721.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$86468.39,NA,NA,NA,NA,$86468.39,$86468.39,$86468.39,NA,NA,$99438.65,$86468.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$30462.52,$35035.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60928.02,NA,NA,NA,NA,$60928.02,$60928.02,$60928.02,NA,NA,$70067.23,$60928.02,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$42894.48,$49333.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$85793.16,NA,NA,NA,NA,$85793.16,$85793.16,$85793.16,NA,NA,$98662.13,$85793.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$36398.72,$41862.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$72801.01,NA,NA,NA,NA,$72801.01,$72801.01,$72801.01,NA,NA,$83721.16,$72801.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$32788.24,$37710.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65579.69,NA,NA,NA,NA,$65579.69,$65579.69,$65579.69,NA,NA,$75416.63,$65579.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$39924.81,$45918.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$79853.53,NA,NA,NA,NA,$79853.53,$79853.53,$79853.53,NA,NA,$91831.56,$79853.53,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$56218.90,$64658.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$112443.30,NA,NA,NA,NA,$112443.30,$112443.30,$112443.30,NA,NA,$129309.79,$112443.30,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$47705.34,$54866.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$95415.35,NA,NA,NA,NA,$95415.35,$95415.35,$95415.35,NA,NA,$109727.65,$95415.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$42972.63,$49423.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$85949.46,NA,NA,NA,NA,$85949.46,$85949.46,$85949.46,NA,NA,$98841.88,$85949.46,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$45585.93,$52428.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$91176.33,NA,NA,NA,NA,$91176.33,$91176.33,$91176.33,NA,NA,$104852.77,$91176.33,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$64191.67,$73827.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$128389.62,NA,NA,NA,NA,$128389.62,$128389.62,$128389.62,NA,NA,$147648.07,$128389.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$54469.92,$62646.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$108945.17,NA,NA,NA,NA,$108945.17,$108945.17,$108945.17,NA,NA,$125286.95,$108945.17,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$49068.26,$56434.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$98141.32,NA,NA,NA,NA,$98141.32,$98141.32,$98141.32,NA,NA,$112862.52,$98141.32,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$13871.47,$15953.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27744.29,NA,NA,NA,NA,$27744.29,$27744.29,$27744.29,NA,NA,$31905.94,$27744.29,NA,NA,NA
