Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$109.56,$132.80,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$132.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$109.56,$109.56,$116.20,$116.20,NA,NA,NA,NA,NA,NA,NA,$110.39,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$57.42,$69.60,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$69.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57.42,$57.42,$60.90,$60.90,NA,NA,NA,NA,NA,NA,NA,$57.86,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12717.76,$16250.48,NA,$14130.85,NA,$14130.85,NA,$13424.31,$13424.31,$13565.61,NA,NA,$14130.85,NA,$12717.76,NA,NA,$14130.85,NA,NA,NA,NA,NA,NA,$14130.85,NA,$12717.76,$14130.85,$14130.85,NA,NA,NA,NA,NA,$16250.48,$14130.85,NA,NA,$14130.85,NA,$14130.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$16752.36,$21405.80,NA,$18613.74,NA,$18613.74,NA,$17683.05,$17683.05,$17869.19,NA,NA,$18613.74,NA,$16752.36,NA,NA,$18613.74,NA,NA,NA,NA,NA,NA,$18613.74,NA,$16752.36,$18613.74,$18613.74,NA,NA,NA,NA,NA,$21405.80,$18613.74,NA,NA,$18613.74,NA,$18613.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$14322.51,$18300.98,NA,$15913.90,NA,$15913.90,NA,$15118.20,$15118.20,$15277.34,NA,NA,$15913.90,NA,$14322.51,NA,NA,$15913.90,NA,NA,NA,NA,NA,NA,$15913.90,NA,$14322.51,$15913.90,$15913.90,NA,NA,NA,NA,NA,$18300.98,$15913.90,NA,NA,$15913.90,NA,$15913.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$13289.49,$16981.02,NA,$14766.10,NA,$14766.10,NA,$14027.80,$14027.80,$14175.46,NA,NA,$14766.10,NA,$13289.49,NA,NA,$14766.10,NA,NA,NA,NA,NA,NA,$14766.10,NA,$13289.49,$14766.10,$14766.10,NA,NA,NA,NA,NA,$16981.02,$14766.10,NA,NA,$14766.10,NA,$14766.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$16243.98,$20756.19,NA,$18048.86,NA,$18048.86,NA,$17146.42,$17146.42,$17326.91,NA,NA,$18048.86,NA,$16243.98,NA,NA,$18048.86,NA,NA,NA,NA,NA,NA,$18048.86,NA,$16243.98,$18048.86,$18048.86,NA,NA,NA,NA,NA,$20756.19,$18048.86,NA,NA,$18048.86,NA,$18048.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$21397.68,$27341.48,NA,$23775.20,NA,$23775.20,NA,$22586.44,$22586.44,$22824.19,NA,NA,$23775.20,NA,$21397.68,NA,NA,$23775.20,NA,NA,NA,NA,NA,NA,$23775.20,NA,$21397.68,$23775.20,$23775.20,NA,NA,NA,NA,NA,$27341.48,$23775.20,NA,NA,$23775.20,NA,$23775.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$18292.14,$23373.29,NA,$20324.60,NA,$20324.60,NA,$19308.37,$19308.37,$19511.62,NA,NA,$20324.60,NA,$18292.14,NA,NA,$20324.60,NA,NA,NA,NA,NA,NA,$20324.60,NA,$18292.14,$20324.60,$20324.60,NA,NA,NA,NA,NA,$23373.29,$20324.60,NA,NA,$20324.60,NA,$20324.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$16974.88,$21690.13,NA,$18860.98,NA,$18860.98,NA,$17917.93,$17917.93,$18106.54,NA,NA,$18860.98,NA,$16974.88,NA,NA,$18860.98,NA,NA,NA,NA,NA,NA,$18860.98,NA,$16974.88,$18860.98,$18860.98,NA,NA,NA,NA,NA,$21690.13,$18860.98,NA,NA,$18860.98,NA,$18860.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$20772.35,$26542.44,NA,$23080.39,NA,$23080.39,NA,$21926.37,$21926.37,$22157.17,NA,NA,$23080.39,NA,$20772.35,NA,NA,$23080.39,NA,NA,NA,NA,NA,NA,$23080.39,NA,$20772.35,$23080.39,$23080.39,NA,NA,NA,NA,NA,$26542.44,$23080.39,NA,NA,$23080.39,NA,$23080.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$27361.87,$34962.39,NA,$30402.08,NA,$30402.08,NA,$28881.97,$28881.97,$29185.99,NA,NA,$30402.08,NA,$27361.87,NA,NA,$30402.08,NA,NA,NA,NA,NA,NA,$30402.08,NA,$27361.87,$30402.08,$30402.08,NA,NA,NA,NA,NA,$34962.39,$30402.08,NA,NA,$30402.08,NA,$30402.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$23390.61,$29888.01,NA,$25989.57,NA,$25989.57,NA,$24690.09,$24690.09,$24949.99,NA,NA,$25989.57,NA,$23390.61,NA,NA,$25989.57,NA,NA,NA,NA,NA,NA,$25989.57,NA,$23390.61,$25989.57,$25989.57,NA,NA,NA,NA,NA,$29888.01,$25989.57,NA,NA,$25989.57,NA,$25989.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$21704.66,$27733.73,NA,$24116.29,NA,$24116.29,NA,$22910.47,$22910.47,$23151.63,NA,NA,$24116.29,NA,$21704.66,NA,NA,$24116.29,NA,NA,NA,NA,NA,NA,$24116.29,NA,$21704.66,$24116.29,$24116.29,NA,NA,NA,NA,NA,$27733.73,$24116.29,NA,NA,$24116.29,NA,$24116.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$26986.67,$34482.97,NA,$29985.19,NA,$29985.19,NA,$28485.93,$28485.93,$28785.78,NA,NA,$29985.19,NA,$26986.67,NA,NA,$29985.19,NA,NA,NA,NA,NA,NA,$29985.19,NA,$26986.67,$29985.19,$29985.19,NA,NA,NA,NA,NA,$34482.97,$29985.19,NA,NA,$29985.19,NA,$29985.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$35548.02,$45422.46,NA,$39497.80,NA,$39497.80,NA,$37522.91,$37522.91,$37917.88,NA,NA,$39497.80,NA,$35548.02,NA,NA,$39497.80,NA,NA,NA,NA,NA,NA,$39497.80,NA,$35548.02,$39497.80,$39497.80,NA,NA,NA,NA,NA,$45422.46,$39497.80,NA,NA,$39497.80,NA,$39497.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$30389.44,$38830.96,NA,$33766.05,NA,$33766.05,NA,$32077.75,$32077.75,$32415.41,NA,NA,$33766.05,NA,$30389.44,NA,NA,$33766.05,NA,NA,NA,NA,NA,NA,$33766.05,NA,$30389.44,$33766.05,$33766.05,NA,NA,NA,NA,NA,$38830.96,$33766.05,NA,NA,$33766.05,NA,$33766.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$28198.35,$36031.23,NA,$31331.50,NA,$31331.50,NA,$29764.93,$29764.93,$30078.24,NA,NA,$31331.50,NA,$28198.35,NA,NA,$31331.50,NA,NA,NA,NA,NA,NA,$31331.50,NA,$28198.35,$31331.50,$31331.50,NA,NA,NA,NA,NA,$36031.23,$31331.50,NA,NA,$31331.50,NA,$31331.50,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$30616.84,$39121.51,NA,$34018.71,NA,$34018.71,NA,$32317.77,$32317.77,$32657.96,NA,NA,$34018.71,NA,$30616.84,NA,NA,$34018.71,NA,NA,NA,NA,NA,NA,$34018.71,NA,$30616.84,$34018.71,$34018.71,NA,NA,NA,NA,NA,$39121.51,$34018.71,NA,NA,$34018.71,NA,$34018.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$40328.14,$51530.40,NA,$44809.05,NA,$44809.05,NA,$42568.59,$42568.59,$43016.68,NA,NA,$44809.05,NA,$40328.14,NA,NA,$44809.05,NA,NA,NA,NA,NA,NA,$44809.05,NA,$40328.14,$44809.05,$44809.05,NA,NA,NA,NA,NA,$51530.40,$44809.05,NA,NA,$44809.05,NA,$44809.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$34476.02,$44052.69,NA,$38306.69,NA,$38306.69,NA,$36391.36,$36391.36,$36774.42,NA,NA,$38306.69,NA,$34476.02,NA,NA,$38306.69,NA,NA,NA,NA,NA,NA,$38306.69,NA,$34476.02,$38306.69,$38306.69,NA,NA,NA,NA,NA,$44052.69,$38306.69,NA,NA,$38306.69,NA,$38306.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$31990.94,$40877.31,NA,$35545.49,NA,$35545.49,NA,$33768.21,$33768.21,$34123.67,NA,NA,$35545.49,NA,$31990.94,NA,NA,$35545.49,NA,NA,NA,NA,NA,NA,$35545.49,NA,$31990.94,$35545.49,$35545.49,NA,NA,NA,NA,NA,$40877.31,$35545.49,NA,NA,$35545.49,NA,$35545.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$35172.82,$44943.04,NA,$39080.91,NA,$39080.91,NA,$37126.86,$37126.86,$37517.67,NA,NA,$39080.91,NA,$35172.82,NA,NA,$39080.91,NA,NA,NA,NA,NA,NA,$39080.91,NA,$35172.82,$39080.91,$39080.91,NA,NA,NA,NA,NA,$44943.04,$39080.91,NA,NA,$39080.91,NA,$39080.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$46331.31,$59201.12,NA,$51479.24,NA,$51479.24,NA,$48905.28,$48905.28,$49420.07,NA,NA,$51479.24,NA,$46331.31,NA,NA,$51479.24,NA,NA,NA,NA,NA,NA,$51479.24,NA,$46331.31,$51479.24,$51479.24,NA,NA,NA,NA,NA,$59201.12,$51479.24,NA,NA,$51479.24,NA,$51479.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$39606.98,$50608.92,NA,$44007.76,NA,$44007.76,NA,$41807.37,$41807.37,$42247.45,NA,NA,$44007.76,NA,$39606.98,NA,NA,$44007.76,NA,NA,NA,NA,NA,NA,$44007.76,NA,$39606.98,$44007.76,$44007.76,NA,NA,NA,NA,NA,$50608.92,$44007.76,NA,NA,$44007.76,NA,$44007.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$36753.20,$46962.42,NA,$40836.89,NA,$40836.89,NA,$38795.04,$38795.04,$39203.41,NA,NA,$40836.89,NA,$36753.20,NA,NA,$40836.89,NA,NA,NA,NA,NA,NA,$40836.89,NA,$36753.20,$40836.89,$40836.89,NA,NA,NA,NA,NA,$46962.42,$40836.89,NA,NA,$40836.89,NA,$40836.89,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12816.84,$16377.08,NA,$14240.94,NA,$14240.94,NA,$13528.89,$13528.89,$13671.30,NA,NA,$14240.94,NA,$12816.84,NA,NA,$14240.94,NA,NA,NA,NA,NA,NA,$14240.94,NA,$12816.84,$14240.94,$14240.94,NA,NA,NA,NA,NA,$16377.08,$14240.94,NA,NA,$14240.94,NA,$14240.94,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$18670.59,$23856.86,NA,$20745.10,NA,$20745.10,NA,$19707.84,$19707.84,$19915.29,NA,NA,$20745.10,NA,$18670.59,NA,NA,$20745.10,NA,NA,NA,NA,NA,NA,$20745.10,NA,$18670.59,$20745.10,$20745.10,NA,NA,NA,NA,NA,$23856.86,$20745.10,NA,NA,$20745.10,NA,$20745.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$15266.19,$19506.80,NA,$16962.43,NA,$16962.43,NA,$16114.31,$16114.31,$16283.93,NA,NA,$16962.43,NA,$15266.19,NA,NA,$16962.43,NA,NA,NA,NA,NA,NA,$16962.43,NA,$15266.19,$16962.43,$16962.43,NA,NA,NA,NA,NA,$19506.80,$16962.43,NA,NA,$16962.43,NA,$16962.43,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13713.42,$17522.70,NA,$15237.13,NA,$15237.13,NA,$14475.28,$14475.28,$14627.65,NA,NA,$15237.13,NA,$13713.42,NA,NA,$15237.13,NA,NA,NA,NA,NA,NA,$15237.13,NA,$13713.42,$15237.13,$15237.13,NA,NA,NA,NA,NA,$17522.70,$15237.13,NA,NA,$15237.13,NA,$15237.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$16101.05,$20573.56,NA,$17890.05,NA,$17890.05,NA,$16995.55,$16995.55,$17174.45,NA,NA,$17890.05,NA,$16101.05,NA,NA,$17890.05,NA,NA,NA,NA,NA,NA,$17890.05,NA,$16101.05,$17890.05,$17890.05,NA,NA,NA,NA,NA,$20573.56,$17890.05,NA,NA,$17890.05,NA,$17890.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$23453.96,$29968.95,NA,$26059.95,NA,$26059.95,NA,$24756.96,$24756.96,$25017.56,NA,NA,$26059.95,NA,$23453.96,NA,NA,$26059.95,NA,NA,NA,NA,NA,NA,$26059.95,NA,$23453.96,$26059.95,$26059.95,NA,NA,NA,NA,NA,$29968.95,$26059.95,NA,NA,$26059.95,NA,$26059.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$19177.35,$24504.39,NA,$21308.16,NA,$21308.16,NA,$20242.76,$20242.76,$20455.84,NA,NA,$21308.16,NA,$19177.35,NA,NA,$21308.16,NA,NA,NA,NA,NA,NA,$21308.16,NA,$19177.35,$21308.16,$21308.16,NA,NA,NA,NA,NA,$24504.39,$21308.16,NA,NA,$21308.16,NA,$21308.16,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$17226.64,$22011.82,NA,$19140.71,NA,$19140.71,NA,$18183.68,$18183.68,$18375.08,NA,NA,$19140.71,NA,$17226.64,NA,NA,$19140.71,NA,NA,NA,NA,NA,NA,$19140.71,NA,$17226.64,$19140.71,$19140.71,NA,NA,NA,NA,NA,$22011.82,$19140.71,NA,NA,$19140.71,NA,$19140.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$19412.86,$24805.32,NA,$21569.85,NA,$21569.85,NA,$20491.35,$20491.35,$20707.05,NA,NA,$21569.85,NA,$19412.86,NA,NA,$21569.85,NA,NA,NA,NA,NA,NA,$21569.85,NA,$19412.86,$21569.85,$21569.85,NA,NA,NA,NA,NA,$24805.32,$21569.85,NA,NA,$21569.85,NA,$21569.85,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$28279.56,$36135.00,NA,$31421.74,NA,$31421.74,NA,$29850.65,$29850.65,$30164.87,NA,NA,$31421.74,NA,$28279.56,NA,NA,$31421.74,NA,NA,NA,NA,NA,NA,$31421.74,NA,$28279.56,$31421.74,$31421.74,NA,NA,NA,NA,NA,$36135.00,$31421.74,NA,NA,$31421.74,NA,$31421.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$23120.99,$29543.49,NA,$25689.99,NA,$25689.99,NA,$24405.49,$24405.49,$24662.39,NA,NA,$25689.99,NA,$23120.99,NA,NA,$25689.99,NA,NA,NA,NA,NA,NA,$25689.99,NA,$23120.99,$25689.99,$25689.99,NA,NA,NA,NA,NA,$29543.49,$25689.99,NA,NA,$25689.99,NA,$25689.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$20769.10,$26538.29,NA,$23076.78,NA,$23076.78,NA,$21922.94,$21922.94,$22153.70,NA,NA,$23076.78,NA,$20769.10,NA,NA,$23076.78,NA,NA,NA,NA,NA,NA,$23076.78,NA,$20769.10,$23076.78,$23076.78,NA,NA,NA,NA,NA,$26538.29,$23076.78,NA,NA,$23076.78,NA,$23076.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$24162.13,$30873.83,NA,$26846.81,NA,$26846.81,NA,$25504.47,$25504.47,$25772.93,NA,NA,$26846.81,NA,$24162.13,NA,NA,$26846.81,NA,NA,NA,NA,NA,NA,$26846.81,NA,$24162.13,$26846.81,$26846.81,NA,NA,NA,NA,NA,$30873.83,$26846.81,NA,NA,$26846.81,NA,$26846.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$35195.56,$44972.10,NA,$39106.17,NA,$39106.17,NA,$37150.87,$37150.87,$37541.93,NA,NA,$39106.17,NA,$35195.56,NA,NA,$39106.17,NA,NA,NA,NA,NA,NA,$39106.17,NA,$35195.56,$39106.17,$39106.17,NA,NA,NA,NA,NA,$44972.10,$39106.17,NA,NA,$39106.17,NA,$39106.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$28778.20,$36772.15,NA,$31975.78,NA,$31975.78,NA,$30376.99,$30376.99,$30696.75,NA,NA,$31975.78,NA,$28778.20,NA,NA,$31975.78,NA,NA,NA,NA,NA,NA,$31975.78,NA,$28778.20,$31975.78,$31975.78,NA,NA,NA,NA,NA,$36772.15,$31975.78,NA,NA,$31975.78,NA,$31975.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$25849.71,$33030.18,NA,$28721.90,NA,$28721.90,NA,$27285.80,$27285.80,$27573.02,NA,NA,$28721.90,NA,$25849.71,NA,NA,$28721.90,NA,NA,NA,NA,NA,NA,$28721.90,NA,$25849.71,$28721.90,$28721.90,NA,NA,NA,NA,NA,$33030.18,$28721.90,NA,NA,$28721.90,NA,$28721.90,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$30516.13,$38992.84,NA,$33906.82,NA,$33906.82,NA,$32211.48,$32211.48,$32550.54,NA,NA,$33906.82,NA,$30516.13,NA,NA,$33906.82,NA,NA,NA,NA,NA,NA,$33906.82,NA,$30516.13,$33906.82,$33906.82,NA,NA,NA,NA,NA,$38992.84,$33906.82,NA,NA,$33906.82,NA,$33906.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$44453.70,$56801.95,NA,$49393.00,NA,$49393.00,NA,$46923.35,$46923.35,$47417.28,NA,NA,$49393.00,NA,$44453.70,NA,NA,$49393.00,NA,NA,NA,NA,NA,NA,$49393.00,NA,$44453.70,$49393.00,$49393.00,NA,NA,NA,NA,NA,$56801.95,$49393.00,NA,NA,$49393.00,NA,$49393.00,NA,NA
