Encompass Health Rehabilitation Hospital of Tallahassee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,NOVANET (NOVA) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$11243.05,$13610.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11834.79,NA,NA,NA,NA,$11834.79,NA,NA,NA,NA,NA,$11834.79,NA,$13610.01,$11834.79,NA,$11834.79,$11834.79,NA,$11243.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$14809.82,$17927.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15589.28,NA,NA,NA,NA,$15589.28,NA,NA,NA,NA,NA,$15589.28,NA,$17927.67,$15589.28,NA,$15589.28,$15589.28,NA,$14809.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$12661.72,$15327.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13328.12,NA,NA,NA,NA,$13328.12,NA,NA,NA,NA,NA,$13328.12,NA,$15327.34,$13328.12,NA,$13328.12,$13328.12,NA,$12661.72,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$11748.49,$14221.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12366.83,NA,NA,NA,NA,$12366.83,NA,NA,NA,NA,NA,$12366.83,NA,$14221.86,$12366.83,NA,$12366.83,$12366.83,NA,$11748.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$14360.38,$17383.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15116.19,NA,NA,NA,NA,$15116.19,NA,NA,NA,NA,NA,$15116.19,NA,$17383.62,$15116.19,NA,$15116.19,$15116.19,NA,$14360.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$18916.48,$22898.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19912.08,NA,NA,NA,NA,$19912.08,NA,NA,NA,NA,NA,$19912.08,NA,$22898.89,$19912.08,NA,$19912.08,$19912.08,NA,$18916.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$16171.04,$19575.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17022.15,NA,NA,NA,NA,$17022.15,NA,NA,NA,NA,NA,$17022.15,NA,$19575.48,$17022.15,NA,$17022.15,$17022.15,NA,$16171.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$15006.53,$18165.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15796.35,NA,NA,NA,NA,$15796.35,NA,NA,NA,NA,NA,$15796.35,NA,$18165.80,$15796.35,NA,$15796.35,$15796.35,NA,$15006.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$18363.66,$22229.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19330.16,NA,NA,NA,NA,$19330.16,NA,NA,NA,NA,NA,$19330.16,NA,$22229.69,$19330.16,NA,$19330.16,$19330.16,NA,$18363.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$24189.08,$29281.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25462.19,NA,NA,NA,NA,$25462.19,NA,NA,NA,NA,NA,$25462.19,NA,$29281.52,$25462.19,NA,$25462.19,$25462.19,NA,$24189.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$20678.32,$25031.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21766.65,NA,NA,NA,NA,$21766.65,NA,NA,NA,NA,NA,$21766.65,NA,$25031.65,$21766.65,NA,$21766.65,$21766.65,NA,$20678.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$19187.86,$23227.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20197.75,NA,NA,NA,NA,$20197.75,NA,NA,NA,NA,NA,$20197.75,NA,$23227.41,$20197.75,NA,$20197.75,$20197.75,NA,$19187.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$23857.39,$28880.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25113.04,NA,NA,NA,NA,$25113.04,NA,NA,NA,NA,NA,$25113.04,NA,$28880.00,$25113.04,NA,$25113.04,$25113.04,NA,$23857.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$31425.99,$38041.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33079.99,NA,NA,NA,NA,$33079.99,NA,NA,NA,NA,NA,$33079.99,NA,$38041.99,$33079.99,NA,$33079.99,$33079.99,NA,$31425.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$26865.59,$32521.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28279.57,NA,NA,NA,NA,$28279.57,NA,NA,NA,NA,NA,$28279.57,NA,$32521.50,$28279.57,NA,$28279.57,$28279.57,NA,$26865.59,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$24928.57,$30176.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26240.60,NA,NA,NA,NA,$26240.60,NA,NA,NA,NA,NA,$26240.60,NA,$30176.69,$26240.60,NA,$26240.60,$26240.60,NA,$24928.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$27066.61,$32764.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28491.17,NA,NA,NA,NA,$28491.17,NA,NA,NA,NA,NA,$28491.17,NA,$32764.85,$28491.17,NA,$28491.17,$28491.17,NA,$27066.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$35651.83,$43157.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37528.24,NA,NA,NA,NA,$37528.24,NA,NA,NA,NA,NA,$37528.24,NA,$43157.47,$37528.24,NA,$37528.24,$37528.24,NA,$35651.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$30478.30,$36894.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32082.42,NA,NA,NA,NA,$32082.42,NA,NA,NA,NA,NA,$32082.42,NA,$36894.78,$32082.42,NA,$32082.42,$32082.42,NA,$30478.30,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$28281.38,$34235.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29769.87,NA,NA,NA,NA,$29769.87,NA,NA,NA,NA,NA,$29769.87,NA,$34235.35,$29769.87,NA,$29769.87,$29769.87,NA,$28281.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$31094.30,$37640.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32730.84,NA,NA,NA,NA,$32730.84,NA,NA,NA,NA,NA,$32730.84,NA,$37640.47,$32730.84,NA,$32730.84,$32730.84,NA,$31094.30,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$40958.89,$49581.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43114.62,NA,NA,NA,NA,$43114.62,NA,NA,NA,NA,NA,$43114.62,NA,$49581.82,$43114.62,NA,$43114.62,$43114.62,NA,$40958.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$35014.29,$42385.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36857.15,NA,NA,NA,NA,$36857.15,NA,NA,NA,NA,NA,$36857.15,NA,$42385.72,$36857.15,NA,$36857.15,$36857.15,NA,$35014.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$32491.42,$39331.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34201.50,NA,NA,NA,NA,$34201.50,NA,NA,NA,NA,NA,$34201.50,NA,$39331.72,$34201.50,NA,$34201.50,$34201.50,NA,$32491.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$11330.64,$13716.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11926.99,NA,NA,NA,NA,$11926.99,NA,NA,NA,NA,NA,$11926.99,NA,$13716.04,$11926.99,NA,$11926.99,$11926.99,NA,$11330.64,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$16505.61,$19980.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17374.32,NA,NA,NA,NA,$17374.32,NA,NA,NA,NA,NA,$17374.32,NA,$19980.47,$17374.32,NA,$17374.32,$17374.32,NA,$16505.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$13495.97,$16337.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14206.29,NA,NA,NA,NA,$14206.29,NA,NA,NA,NA,NA,$14206.29,NA,$16337.23,$14206.29,NA,$14206.29,$14206.29,NA,$13495.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$12123.26,$14675.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12761.32,NA,NA,NA,NA,$12761.32,NA,NA,NA,NA,NA,$12761.32,NA,$14675.52,$12761.32,NA,$12761.32,$12761.32,NA,$12123.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$14234.02,$17230.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14983.18,NA,NA,NA,NA,$14983.18,NA,NA,NA,NA,NA,$14983.18,NA,$17230.66,$14983.18,NA,$14983.18,$14983.18,NA,$14234.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$20734.32,$25099.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21825.60,NA,NA,NA,NA,$21825.60,NA,NA,NA,NA,NA,$21825.60,NA,$25099.44,$21825.60,NA,$21825.60,$21825.60,NA,$20734.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$16953.61,$20522.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17845.90,NA,NA,NA,NA,$17845.90,NA,NA,NA,NA,NA,$17845.90,NA,$20522.79,$17845.90,NA,$17845.90,$17845.90,NA,$16953.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$15229.10,$18435.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16030.63,NA,NA,NA,NA,$16030.63,NA,NA,NA,NA,NA,$16030.63,NA,$18435.22,$16030.63,NA,$16030.63,$16030.63,NA,$15229.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$17161.81,$20774.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18065.07,NA,NA,NA,NA,$18065.07,NA,NA,NA,NA,NA,$18065.07,NA,$20774.83,$18065.07,NA,$18065.07,$18065.07,NA,$17161.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$25000.36,$30263.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26316.17,NA,NA,NA,NA,$26316.17,NA,NA,NA,NA,NA,$26316.17,NA,$30263.59,$26316.17,NA,$26316.17,$26316.17,NA,$25000.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$20439.96,$24743.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21515.75,NA,NA,NA,NA,$21515.75,NA,NA,NA,NA,NA,$21515.75,NA,$24743.11,$21515.75,NA,$21515.75,$21515.75,NA,$20439.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$18360.78,$22226.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19327.14,NA,NA,NA,NA,$19327.14,NA,NA,NA,NA,NA,$19327.14,NA,$22226.21,$19327.14,NA,$19327.14,$19327.14,NA,$18360.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$21360.37,$25857.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22484.60,NA,NA,NA,NA,$22484.60,NA,NA,NA,NA,NA,$22484.60,NA,$25857.29,$22484.60,NA,$22484.60,$22484.60,NA,$21360.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$31114.40,$37664.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32752.00,NA,NA,NA,NA,$32752.00,NA,NA,NA,NA,NA,$32752.00,NA,$37664.80,$32752.00,NA,$32752.00,$32752.00,NA,$31114.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$25441.18,$30797.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26780.19,NA,NA,NA,NA,$26780.19,NA,NA,NA,NA,NA,$26780.19,NA,$30797.22,$26780.19,NA,$26780.19,$26780.19,NA,$25441.18,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$22852.26,$27663.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24055.01,NA,NA,NA,NA,$24055.01,NA,NA,NA,NA,NA,$24055.01,NA,$27663.27,$24055.01,NA,$24055.01,$24055.01,NA,$22852.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$26977.59,$32657.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28397.46,NA,NA,NA,NA,$28397.46,NA,NA,NA,NA,NA,$28397.46,NA,$32657.08,$28397.46,NA,$28397.46,$28397.46,NA,$26977.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$39299.00,$47572.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41367.37,NA,NA,NA,NA,$41367.37,NA,NA,NA,NA,NA,$41367.37,NA,$47572.47,$41367.37,NA,$41367.37,$41367.37,NA,$39299.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$32131.01,$38895.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33822.12,NA,NA,NA,NA,$33822.12,NA,NA,NA,NA,NA,$33822.12,NA,$38895.44,$33822.12,NA,$33822.12,$33822.12,NA,$32131.01,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$28862.92,$34939.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30382.02,NA,NA,NA,NA,$30382.02,NA,NA,NA,NA,NA,$30382.02,NA,$34939.32,$30382.02,NA,$30382.02,$30382.02,NA,$28862.92,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$12225.21,$14798.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12868.64,NA,NA,NA,NA,$12868.64,NA,NA,NA,NA,NA,$12868.64,NA,$14798.93,$12868.64,NA,$12868.64,$12868.64,NA,$12225.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$17608.38,$21315.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18535.13,NA,NA,NA,NA,$18535.13,NA,NA,NA,NA,NA,$18535.13,NA,$21315.40,$18535.13,NA,$18535.13,$18535.13,NA,$17608.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$14274.23,$17279.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15025.50,NA,NA,NA,NA,$15025.50,NA,NA,NA,NA,NA,$15025.50,NA,$17279.33,$15025.50,NA,$15025.50,$15025.50,NA,$14274.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$13188.69,$15965.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13882.83,NA,NA,NA,NA,$13882.83,NA,NA,NA,NA,NA,$13882.83,NA,$15965.26,$13882.83,NA,$13882.83,$13882.83,NA,$13188.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$15662.74,$18960.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16487.09,NA,NA,NA,NA,$16487.09,NA,NA,NA,NA,NA,$16487.09,NA,$18960.16,$16487.09,NA,$16487.09,$16487.09,NA,$15662.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$22559.34,$27308.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23746.67,NA,NA,NA,NA,$23746.67,NA,NA,NA,NA,NA,$23746.67,NA,$27308.67,$23746.67,NA,$23746.67,$23746.67,NA,$22559.34,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$18288.99,$22139.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19251.57,NA,NA,NA,NA,$19251.57,NA,NA,NA,NA,NA,$19251.57,NA,$22139.30,$19251.57,NA,$19251.57,$19251.57,NA,$18288.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$16897.61,$20455.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17786.96,NA,NA,NA,NA,$17786.96,NA,NA,NA,NA,NA,$17786.96,NA,$20455.00,$17786.96,NA,$17786.96,$17786.96,NA,$16897.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$18749.91,$22697.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19736.75,NA,NA,NA,NA,$19736.75,NA,NA,NA,NA,NA,$19736.75,NA,$22697.26,$19736.75,NA,$19736.75,$19736.75,NA,$18749.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$27006.31,$32691.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28427.69,NA,NA,NA,NA,$28427.69,NA,NA,NA,NA,NA,$28427.69,NA,$32691.84,$28427.69,NA,$28427.69,$28427.69,NA,$27006.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$21893.08,$26502.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23045.35,NA,NA,NA,NA,$23045.35,NA,NA,NA,NA,NA,$23045.35,NA,$26502.16,$23045.35,NA,$23045.35,$23045.35,NA,$21893.08,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$20227.45,$24485.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21292.05,NA,NA,NA,NA,$21292.05,NA,NA,NA,NA,NA,$21292.05,NA,$24485.86,$21292.05,NA,$21292.05,$21292.05,NA,$20227.45,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$21035.86,$25464.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22143.01,NA,NA,NA,NA,$22143.01,NA,NA,NA,NA,NA,$22143.01,NA,$25464.46,$22143.01,NA,$22143.01,$22143.01,NA,$21035.86,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$30298.81,$36677.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31893.49,NA,NA,NA,NA,$31893.49,NA,NA,NA,NA,NA,$31893.49,NA,$36677.51,$31893.49,NA,$31893.49,$31893.49,NA,$30298.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$24560.98,$29731.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25853.66,NA,NA,NA,NA,$25853.66,NA,NA,NA,NA,NA,$25853.66,NA,$29731.71,$25853.66,NA,$25853.66,$25853.66,NA,$24560.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$22694.31,$27472.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23888.75,NA,NA,NA,NA,$23888.75,NA,NA,NA,NA,NA,$23888.75,NA,$27472.06,$23888.75,NA,$23888.75,$23888.75,NA,$22694.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$22977.19,$27814.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24186.51,NA,NA,NA,NA,$24186.51,NA,NA,NA,NA,NA,$24186.51,NA,$27814.49,$24186.51,NA,$24186.51,$24186.51,NA,$22977.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$33095.93,$40063.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34837.83,NA,NA,NA,NA,$34837.83,NA,NA,NA,NA,NA,$34837.83,NA,$40063.50,$34837.83,NA,$34837.83,$34837.83,NA,$33095.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$26829.69,$32478.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28241.78,NA,NA,NA,NA,$28241.78,NA,NA,NA,NA,NA,$28241.78,NA,$32478.05,$28241.78,NA,$28241.78,$28241.78,NA,$26829.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$24789.28,$30008.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26093.98,NA,NA,NA,NA,$26093.98,NA,NA,NA,NA,NA,$26093.98,NA,$30008.08,$26093.98,NA,$26093.98,$26093.98,NA,$24789.28,NA,NA
