Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$11782.35,$14262.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12402.48,NA,NA,NA,$12402.48,NA,NA,NA,NA,$12402.48,NA,$12402.48,NA,NA,NA,$14262.85,$12402.48,NA,$12402.48,NA,$11782.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$15520.20,$18787.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16337.06,NA,NA,NA,$16337.06,NA,NA,NA,NA,$16337.06,NA,$16337.06,NA,NA,NA,$18787.61,$16337.06,NA,$16337.06,NA,$15520.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$13269.07,$16062.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13967.44,NA,NA,NA,$13967.44,NA,NA,NA,NA,$13967.44,NA,$13967.44,NA,NA,NA,$16062.55,$13967.44,NA,$13967.44,NA,$13269.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$12312.03,$14904.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12960.03,NA,NA,NA,$12960.03,NA,NA,NA,NA,$12960.03,NA,$12960.03,NA,NA,NA,$14904.04,$12960.03,NA,$12960.03,NA,$12312.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$15049.21,$18217.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15841.27,NA,NA,NA,$15841.27,NA,NA,NA,NA,$15841.27,NA,$15841.27,NA,NA,NA,$18217.47,$15841.27,NA,$15841.27,NA,$15049.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$19823.85,$23997.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20867.21,NA,NA,NA,$20867.21,NA,NA,NA,NA,$20867.21,NA,$20867.21,NA,NA,NA,$23997.29,$20867.21,NA,$20867.21,NA,$19823.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$16946.73,$20514.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17838.66,NA,NA,NA,$17838.66,NA,NA,NA,NA,$17838.66,NA,$17838.66,NA,NA,NA,$20514.46,$17838.66,NA,$17838.66,NA,$16946.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$15726.36,$19037.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16554.06,NA,NA,NA,$16554.06,NA,NA,NA,NA,$16554.06,NA,$16554.06,NA,NA,NA,$19037.17,$16554.06,NA,$16554.06,NA,$15726.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$19244.51,$23295.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20257.38,NA,NA,NA,$20257.38,NA,NA,NA,NA,$20257.38,NA,$20257.38,NA,NA,NA,$23295.99,$20257.38,NA,$20257.38,NA,$19244.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$25349.36,$30686.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26683.54,NA,NA,NA,$26683.54,NA,NA,NA,NA,$26683.54,NA,$26683.54,NA,NA,NA,$30686.07,$26683.54,NA,$26683.54,NA,$25349.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$21670.20,$26232.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22810.74,NA,NA,NA,$22810.74,NA,NA,NA,NA,$22810.74,NA,$22810.74,NA,NA,NA,$26232.35,$22810.74,NA,$22810.74,NA,$21670.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$20108.25,$24341.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21166.58,NA,NA,NA,$21166.58,NA,NA,NA,NA,$21166.58,NA,$21166.58,NA,NA,NA,$24341.56,$21166.58,NA,$21166.58,NA,$20108.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$25001.76,$30265.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26317.64,NA,NA,NA,$26317.64,NA,NA,NA,NA,$26317.64,NA,$26317.64,NA,NA,NA,$30265.29,$26317.64,NA,$26317.64,NA,$25001.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$32933.41,$39866.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34666.75,NA,NA,NA,$34666.75,NA,NA,NA,NA,$34666.75,NA,$34666.75,NA,NA,NA,$39866.76,$34666.75,NA,$34666.75,NA,$32933.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$28154.26,$34081.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29636.06,NA,NA,NA,$29636.06,NA,NA,NA,NA,$29636.06,NA,$29636.06,NA,NA,NA,$34081.47,$29636.06,NA,$29636.06,NA,$28154.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$26124.32,$31624.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27499.29,NA,NA,NA,$27499.29,NA,NA,NA,NA,$27499.29,NA,$27499.29,NA,NA,NA,$31624.18,$27499.29,NA,$27499.29,NA,$26124.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$28364.92,$34336.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29857.82,NA,NA,NA,$29857.82,NA,NA,NA,NA,$29857.82,NA,$29857.82,NA,NA,NA,$34336.49,$29857.82,NA,$29857.82,NA,$28364.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$37361.95,$45227.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39328.37,NA,NA,NA,$39328.37,NA,NA,NA,NA,$39328.37,NA,$39328.37,NA,NA,NA,$45227.62,$39328.37,NA,$39328.37,NA,$37361.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$31940.26,$38664.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33621.33,NA,NA,NA,$33621.33,NA,NA,NA,NA,$33621.33,NA,$33621.33,NA,NA,NA,$38664.52,$33621.33,NA,$33621.33,NA,$31940.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$29637.96,$35877.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31197.85,NA,NA,NA,$31197.85,NA,NA,NA,NA,$31197.85,NA,$31197.85,NA,NA,NA,$35877.53,$31197.85,NA,$31197.85,NA,$29637.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$32585.81,$39445.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34300.85,NA,NA,NA,$34300.85,NA,NA,NA,NA,$34300.85,NA,$34300.85,NA,NA,NA,$39445.98,$34300.85,NA,$34300.85,NA,$32585.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$42923.58,$51960.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45182.72,NA,NA,NA,$45182.72,NA,NA,NA,NA,$45182.72,NA,$45182.72,NA,NA,NA,$51960.12,$45182.72,NA,$45182.72,NA,$42923.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$36693.83,$44418.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38625.08,NA,NA,NA,$38625.08,NA,NA,NA,NA,$38625.08,NA,$38625.08,NA,NA,NA,$44418.85,$38625.08,NA,$38625.08,NA,$36693.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$34049.95,$41218.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35842.05,NA,NA,NA,$35842.05,NA,NA,NA,NA,$35842.05,NA,$35842.05,NA,NA,NA,$41218.36,$35842.05,NA,$35842.05,NA,$34049.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$11874.14,$14373.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12499.10,NA,NA,NA,$12499.10,NA,NA,NA,NA,$12499.10,NA,$12499.10,NA,NA,NA,$14373.96,$12499.10,NA,$12499.10,NA,$11874.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$17297.34,$20938.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18207.72,NA,NA,NA,$18207.72,NA,NA,NA,NA,$18207.72,NA,$18207.72,NA,NA,NA,$20938.88,$18207.72,NA,$18207.72,NA,$17297.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$14143.34,$17120.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14887.72,NA,NA,NA,$14887.72,NA,NA,NA,NA,$14887.72,NA,$14887.72,NA,NA,NA,$17120.88,$14887.72,NA,$14887.72,NA,$14143.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$12704.78,$15379.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13373.45,NA,NA,NA,$13373.45,NA,NA,NA,NA,$13373.45,NA,$13373.45,NA,NA,NA,$15379.47,$13373.45,NA,$13373.45,NA,$12704.78,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$14916.79,$18057.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15701.88,NA,NA,NA,$15701.88,NA,NA,NA,NA,$15701.88,NA,$15701.88,NA,NA,NA,$18057.17,$15701.88,NA,$15701.88,NA,$14916.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$21728.89,$26303.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22872.51,NA,NA,NA,$22872.51,NA,NA,NA,NA,$22872.51,NA,$22872.51,NA,NA,NA,$26303.39,$22872.51,NA,$22872.51,NA,$21728.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$17766.83,$21507.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18701.92,NA,NA,NA,$18701.92,NA,NA,NA,NA,$18701.92,NA,$18701.92,NA,NA,NA,$21507.21,$18701.92,NA,$18701.92,NA,$17766.83,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$15959.60,$19319.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16799.58,NA,NA,NA,$16799.58,NA,NA,NA,NA,$16799.58,NA,$16799.58,NA,NA,NA,$19319.51,$16799.58,NA,$16799.58,NA,$15959.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$17985.02,$21771.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18931.60,NA,NA,NA,$18931.60,NA,NA,NA,NA,$18931.60,NA,$18931.60,NA,NA,NA,$21771.34,$18931.60,NA,$18931.60,NA,$17985.02,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$26199.56,$31715.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27578.48,NA,NA,NA,$27578.48,NA,NA,NA,NA,$27578.48,NA,$27578.48,NA,NA,NA,$31715.26,$27578.48,NA,$27578.48,NA,$26199.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$21420.41,$25929.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22547.80,NA,NA,NA,$22547.80,NA,NA,NA,NA,$22547.80,NA,$22547.80,NA,NA,NA,$25929.97,$22547.80,NA,$22547.80,NA,$21420.41,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$19241.50,$23292.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20254.21,NA,NA,NA,$20254.21,NA,NA,NA,NA,$20254.21,NA,$20254.21,NA,NA,NA,$23292.34,$20254.21,NA,$20254.21,NA,$19241.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$22384.97,$27097.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23563.12,NA,NA,NA,$23563.12,NA,NA,NA,NA,$23563.12,NA,$23563.12,NA,NA,NA,$27097.59,$23563.12,NA,$23563.12,NA,$22384.97,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$32606.87,$39471.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34323.02,NA,NA,NA,$34323.02,NA,NA,NA,NA,$34323.02,NA,$34323.02,NA,NA,NA,$39471.48,$34323.02,NA,$34323.02,NA,$32606.87,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$26661.52,$32274.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28064.76,NA,NA,NA,$28064.76,NA,NA,NA,NA,$28064.76,NA,$28064.76,NA,NA,NA,$32274.48,$28064.76,NA,$28064.76,NA,$26661.52,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$23948.42,$28990.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25208.87,NA,NA,NA,$25208.87,NA,NA,NA,NA,$25208.87,NA,$25208.87,NA,NA,NA,$28990.20,$25208.87,NA,$25208.87,NA,$23948.42,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$28271.63,$34223.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29759.61,NA,NA,NA,$29759.61,NA,NA,NA,NA,$29759.61,NA,$29759.61,NA,NA,NA,$34223.55,$29759.61,NA,$29759.61,NA,$28271.63,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$41184.07,$49854.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43351.65,NA,NA,NA,$43351.65,NA,NA,NA,NA,$43351.65,NA,$43351.65,NA,NA,NA,$49854.39,$43351.65,NA,$43351.65,NA,$41184.07,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$33672.25,$40761.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35444.47,NA,NA,NA,$35444.47,NA,NA,NA,NA,$35444.47,NA,$35444.47,NA,NA,NA,$40761.15,$35444.47,NA,$35444.47,NA,$33672.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$30247.39,$36615.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31839.36,NA,NA,NA,$31839.36,NA,NA,NA,NA,$31839.36,NA,$31839.36,NA,NA,NA,$36615.26,$31839.36,NA,$31839.36,NA,$30247.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$12811.62,$15508.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13485.91,NA,NA,NA,$13485.91,NA,NA,NA,NA,$13485.91,NA,$13485.91,NA,NA,NA,$15508.80,$13485.91,NA,$13485.91,NA,$12811.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$18453.00,$22337.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19424.21,NA,NA,NA,$19424.21,NA,NA,NA,NA,$19424.21,NA,$19424.21,NA,NA,NA,$22337.84,$19424.21,NA,$19424.21,NA,$18453.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$14958.92,$18108.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15746.24,NA,NA,NA,$15746.24,NA,NA,NA,NA,$15746.24,NA,$15746.24,NA,NA,NA,$18108.17,$15746.24,NA,$15746.24,NA,$14958.92,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$13821.32,$16731.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14548.76,NA,NA,NA,$14548.76,NA,NA,NA,NA,$14548.76,NA,$14548.76,NA,NA,NA,$16731.07,$14548.76,NA,$14548.76,NA,$13821.32,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$16414.04,$19869.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17277.93,NA,NA,NA,$17277.93,NA,NA,NA,NA,$17277.93,NA,$17277.93,NA,NA,NA,$19869.62,$17277.93,NA,$17277.93,NA,$16414.04,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$23641.45,$28618.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24885.74,NA,NA,NA,$24885.74,NA,NA,NA,NA,$24885.74,NA,$24885.74,NA,NA,NA,$28618.60,$24885.74,NA,$24885.74,NA,$23641.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$19166.26,$23201.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20175.01,NA,NA,NA,$20175.01,NA,NA,NA,NA,$20175.01,NA,$20175.01,NA,NA,NA,$23201.27,$20175.01,NA,$20175.01,NA,$19166.26,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$17708.14,$21436.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18640.15,NA,NA,NA,$18640.15,NA,NA,NA,NA,$18640.15,NA,$18640.15,NA,NA,NA,$21436.17,$18640.15,NA,$18640.15,NA,$17708.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$19649.29,$23785.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20683.47,NA,NA,NA,$20683.47,NA,NA,NA,NA,$20683.47,NA,$20683.47,NA,NA,NA,$23785.99,$20683.47,NA,$20683.47,NA,$19649.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$28301.72,$34259.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29791.29,NA,NA,NA,$29791.29,NA,NA,NA,NA,$29791.29,NA,$29791.29,NA,NA,NA,$34259.98,$29791.29,NA,$29791.29,NA,$28301.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$22943.24,$27773.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24150.78,NA,NA,NA,$24150.78,NA,NA,NA,NA,$24150.78,NA,$24150.78,NA,NA,NA,$27773.39,$24150.78,NA,$24150.78,NA,$22943.24,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$21197.70,$25660.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22313.37,NA,NA,NA,$22313.37,NA,NA,NA,NA,$22313.37,NA,$22313.37,NA,NA,NA,$25660.38,$22313.37,NA,$22313.37,NA,$21197.70,NA,NA,NA
