Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$38.00,$28.50,$19.82,$32.30,NA,NA,NA,NA,NA,$32.30,NA,NA,NA,NA,NA,NA,$30.40,$30.40,NA,NA,NA,NA,$27.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.82,$30.40
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$31.00,$23.25,$16.17,$26.35,NA,NA,NA,NA,NA,$26.35,NA,NA,NA,NA,NA,NA,$24.80,$24.80,NA,NA,NA,NA,$22.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16.17,$24.80
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,$19.00,$14.25,$9.91,$16.15,NA,NA,NA,NA,NA,$16.15,NA,NA,NA,NA,NA,NA,$15.20,$15.20,NA,NA,NA,NA,$13.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.91,$15.20
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$86.59,$141.10,NA,NA,NA,NA,NA,$141.10,NA,NA,NA,NA,NA,NA,$132.80,$132.80,NA,NA,NA,NA,$118.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$86.59,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$45.38,$73.95,NA,NA,NA,NA,NA,$73.95,NA,NA,NA,NA,NA,NA,$69.60,$69.60,NA,NA,NA,NA,$62.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45.38,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$13541.86,$17303.49,NA,$15046.51,NA,NA,NA,NA,NA,NA,NA,NA,$15046.51,NA,NA,NA,$15046.51,NA,$13541.86,$13541.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15046.51,$15046.51,NA,NA,NA,NA,$15046.51,NA,$17303.49,$15046.51,$15046.51,NA,NA,NA,NA,$13541.86,$15046.51,$15046.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$17837.90,$22792.87,NA,$19819.89,NA,NA,NA,NA,NA,NA,NA,NA,$19819.89,NA,NA,NA,$19819.89,NA,$17837.90,$17837.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19819.89,$19819.89,NA,NA,NA,NA,$19819.89,NA,$22792.87,$19819.89,$19819.89,NA,NA,NA,NA,$17837.90,$19819.89,$19819.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$15250.59,$19486.87,NA,$16945.10,NA,NA,NA,NA,NA,NA,NA,NA,$16945.10,NA,NA,NA,$16945.10,NA,$15250.59,$15250.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16945.10,$16945.10,NA,NA,NA,NA,$16945.10,NA,$19486.87,$16945.10,$16945.10,NA,NA,NA,NA,$15250.59,$16945.10,$16945.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$14150.64,$18081.37,NA,$15722.93,NA,NA,NA,NA,NA,NA,NA,NA,$15722.93,NA,NA,NA,$15722.93,NA,$14150.64,$14150.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15722.93,$15722.93,NA,NA,NA,NA,$15722.93,NA,$18081.37,$15722.93,$15722.93,NA,NA,NA,NA,$14150.64,$15722.93,$15722.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$17296.57,$22101.17,NA,$19218.41,NA,NA,NA,NA,NA,NA,NA,NA,$19218.41,NA,NA,NA,$19218.41,NA,$17296.57,$17296.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19218.41,$19218.41,NA,NA,NA,NA,$19218.41,NA,$22101.17,$19218.41,$19218.41,NA,NA,NA,NA,$17296.57,$19218.41,$19218.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$22784.22,$29113.17,NA,$25315.80,NA,NA,NA,NA,NA,NA,NA,NA,$25315.80,NA,NA,NA,$25315.80,NA,$22784.22,$22784.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25315.80,$25315.80,NA,NA,NA,NA,$25315.80,NA,$29113.17,$25315.80,$25315.80,NA,NA,NA,NA,$22784.22,$25315.80,$25315.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$19477.45,$24887.85,NA,$21641.61,NA,NA,NA,NA,NA,NA,NA,NA,$21641.61,NA,NA,NA,$21641.61,NA,$19477.45,$19477.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21641.61,$21641.61,NA,NA,NA,NA,$21641.61,NA,$24887.85,$21641.61,$21641.61,NA,NA,NA,NA,$19477.45,$21641.61,$21641.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$18074.84,$23095.63,NA,$20083.15,NA,NA,NA,NA,NA,NA,NA,NA,$20083.15,NA,NA,NA,$20083.15,NA,$18074.84,$18074.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20083.15,$20083.15,NA,NA,NA,NA,$20083.15,NA,$23095.63,$20083.15,$20083.15,NA,NA,NA,NA,$18074.84,$20083.15,$20083.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$22118.37,$28262.36,NA,$24575.97,NA,NA,NA,NA,NA,NA,NA,NA,$24575.97,NA,NA,NA,$24575.97,NA,$22118.37,$22118.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24575.97,$24575.97,NA,NA,NA,NA,$24575.97,NA,$28262.36,$24575.97,$24575.97,NA,NA,NA,NA,$22118.37,$24575.97,$24575.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$29134.89,$37227.91,NA,$32372.10,NA,NA,NA,NA,NA,NA,NA,NA,$32372.10,NA,NA,NA,$32372.10,NA,$29134.89,$29134.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32372.10,$32372.10,NA,NA,NA,NA,$32372.10,NA,$37227.91,$32372.10,$32372.10,NA,NA,NA,NA,$29134.89,$32372.10,$32372.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$24906.30,$31824.72,NA,$27673.67,NA,NA,NA,NA,NA,NA,NA,NA,$27673.67,NA,NA,NA,$27673.67,NA,$24906.30,$24906.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27673.67,$27673.67,NA,NA,NA,NA,$27673.67,NA,$31824.72,$27673.67,$27673.67,NA,NA,NA,NA,$24906.30,$27673.67,$27673.67,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$23111.10,$29530.84,NA,$25679.00,NA,NA,NA,NA,NA,NA,NA,NA,$25679.00,NA,NA,NA,$25679.00,NA,$23111.10,$23111.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25679.00,$25679.00,NA,NA,NA,NA,$25679.00,NA,$29530.84,$25679.00,$25679.00,NA,NA,NA,NA,$23111.10,$25679.00,$25679.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$28735.38,$36717.43,NA,$31928.20,NA,NA,NA,NA,NA,NA,NA,NA,$31928.20,NA,NA,NA,$31928.20,NA,$28735.38,$28735.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31928.20,$31928.20,NA,NA,NA,NA,$31928.20,NA,$36717.43,$31928.20,$31928.20,NA,NA,NA,NA,$28735.38,$31928.20,$31928.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$37851.49,$48365.79,NA,$42057.21,NA,NA,NA,NA,NA,NA,NA,NA,$42057.21,NA,NA,NA,$42057.21,NA,$37851.49,$37851.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42057.21,$42057.21,NA,NA,NA,NA,$42057.21,NA,$48365.79,$42057.21,$42057.21,NA,NA,NA,NA,$37851.49,$42057.21,$42057.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$32358.65,$41347.16,NA,$35954.05,NA,NA,NA,NA,NA,NA,NA,NA,$35954.05,NA,NA,NA,$35954.05,NA,$32358.65,$32358.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35954.05,$35954.05,NA,NA,NA,NA,$35954.05,NA,$41347.16,$35954.05,$35954.05,NA,NA,NA,NA,$32358.65,$35954.05,$35954.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$30025.57,$38366.01,NA,$33361.75,NA,NA,NA,NA,NA,NA,NA,NA,$33361.75,NA,NA,NA,$33361.75,NA,$30025.57,$30025.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33361.75,$33361.75,NA,NA,NA,NA,$33361.75,NA,$38366.01,$33361.75,$33361.75,NA,NA,NA,NA,$30025.57,$33361.75,$33361.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$32600.78,$41656.55,NA,$36223.08,NA,NA,NA,NA,NA,NA,NA,NA,$36223.08,NA,NA,NA,$36223.08,NA,$32600.78,$32600.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36223.08,$36223.08,NA,NA,NA,NA,$36223.08,NA,$41656.55,$36223.08,$36223.08,NA,NA,NA,NA,$32600.78,$36223.08,$36223.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$42941.36,$54869.52,NA,$47712.62,NA,NA,NA,NA,NA,NA,NA,NA,$47712.62,NA,NA,NA,$47712.62,NA,$42941.36,$42941.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47712.62,$47712.62,NA,NA,NA,NA,$47712.62,NA,$54869.52,$47712.62,$47712.62,NA,NA,NA,NA,$42941.36,$47712.62,$47712.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$36710.03,$46907.26,NA,$40788.92,NA,NA,NA,NA,NA,NA,NA,NA,$40788.92,NA,NA,NA,$40788.92,NA,$36710.03,$36710.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40788.92,$40788.92,NA,NA,NA,NA,$40788.92,NA,$46907.26,$40788.92,$40788.92,NA,NA,NA,NA,$36710.03,$40788.92,$40788.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$34063.92,$43526.12,NA,$37848.80,NA,NA,NA,NA,NA,NA,NA,NA,$37848.80,NA,NA,NA,$37848.80,NA,$34063.92,$34063.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37848.80,$37848.80,NA,NA,NA,NA,$37848.80,NA,$43526.12,$37848.80,$37848.80,NA,NA,NA,NA,$34063.92,$37848.80,$37848.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$37451.98,$47855.31,NA,$41613.31,NA,NA,NA,NA,NA,NA,NA,NA,$41613.31,NA,NA,NA,$41613.31,NA,$37451.98,$37451.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41613.31,$41613.31,NA,NA,NA,NA,$41613.31,NA,$47855.31,$41613.31,$41613.31,NA,NA,NA,NA,$37451.98,$41613.31,$41613.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$49333.53,$63037.29,NA,$54815.04,NA,NA,NA,NA,NA,NA,NA,NA,$54815.04,NA,NA,NA,$54815.04,NA,$49333.53,$49333.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54815.04,$54815.04,NA,NA,NA,NA,$54815.04,NA,$63037.29,$54815.04,$54815.04,NA,NA,NA,NA,$49333.53,$54815.04,$54815.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$42173.47,$53888.32,NA,$46859.41,NA,NA,NA,NA,NA,NA,NA,NA,$46859.41,NA,NA,NA,$46859.41,NA,$42173.47,$42173.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46859.41,$46859.41,NA,NA,NA,NA,$46859.41,NA,$53888.32,$46859.41,$46859.41,NA,NA,NA,NA,$42173.47,$46859.41,$46859.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$39134.77,$50005.53,NA,$43483.07,NA,NA,NA,NA,NA,NA,NA,NA,$43483.07,NA,NA,NA,$43483.07,NA,$39134.77,$39134.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43483.07,$43483.07,NA,NA,NA,NA,$43483.07,NA,$50005.53,$43483.07,$43483.07,NA,NA,NA,NA,$39134.77,$43483.07,$43483.07,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$13647.36,$17438.29,NA,$15163.73,NA,NA,NA,NA,NA,NA,NA,NA,$15163.73,NA,NA,NA,$15163.73,NA,$13647.36,$13647.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15163.73,$15163.73,NA,NA,NA,NA,$15163.73,NA,$17438.29,$15163.73,$15163.73,NA,NA,NA,NA,$13647.36,$15163.73,$15163.73,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$19880.42,$25402.76,NA,$22089.36,NA,NA,NA,NA,NA,NA,NA,NA,$22089.36,NA,NA,NA,$22089.36,NA,$19880.42,$19880.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22089.36,$22089.36,NA,NA,NA,NA,$22089.36,NA,$25402.76,$22089.36,$22089.36,NA,NA,NA,NA,$19880.42,$22089.36,$22089.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$16255.42,$20770.82,NA,$18061.58,NA,NA,NA,NA,NA,NA,NA,NA,$18061.58,NA,NA,NA,$18061.58,NA,$16255.42,$16255.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18061.58,$18061.58,NA,NA,NA,NA,$18061.58,NA,$20770.82,$18061.58,$18061.58,NA,NA,NA,NA,$16255.42,$18061.58,$18061.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$14602.03,$18658.15,NA,$16224.48,NA,NA,NA,NA,NA,NA,NA,NA,$16224.48,NA,NA,NA,$16224.48,NA,$14602.03,$14602.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16224.48,$16224.48,NA,NA,NA,NA,$16224.48,NA,$18658.15,$16224.48,$16224.48,NA,NA,NA,NA,$14602.03,$16224.48,$16224.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$17144.38,$21906.70,NA,$19049.31,NA,NA,NA,NA,NA,NA,NA,NA,$19049.31,NA,NA,NA,$19049.31,NA,$17144.38,$17144.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19049.31,$19049.31,NA,NA,NA,NA,$19049.31,NA,$21906.70,$19049.31,$19049.31,NA,NA,NA,NA,$17144.38,$19049.31,$19049.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$24973.75,$31910.90,NA,$27748.61,NA,NA,NA,NA,NA,NA,NA,NA,$27748.61,NA,NA,NA,$27748.61,NA,$24973.75,$24973.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27748.61,$27748.61,NA,NA,NA,NA,$27748.61,NA,$31910.90,$27748.61,$27748.61,NA,NA,NA,NA,$24973.75,$27748.61,$27748.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$20420.02,$26092.25,NA,$22688.91,NA,NA,NA,NA,NA,NA,NA,NA,$22688.91,NA,NA,NA,$22688.91,NA,$20420.02,$20420.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22688.91,$22688.91,NA,NA,NA,NA,$22688.91,NA,$26092.25,$22688.91,$22688.91,NA,NA,NA,NA,$20420.02,$22688.91,$22688.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$18342.91,$23438.16,NA,$20381.01,NA,NA,NA,NA,NA,NA,NA,NA,$20381.01,NA,NA,NA,$20381.01,NA,$18342.91,$18342.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20381.01,$20381.01,NA,NA,NA,NA,$20381.01,NA,$23438.16,$20381.01,$20381.01,NA,NA,NA,NA,$18342.91,$20381.01,$20381.01,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$20670.79,$26412.68,NA,$22967.55,NA,NA,NA,NA,NA,NA,NA,NA,$22967.55,NA,NA,NA,$22967.55,NA,$20670.79,$20670.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22967.55,$22967.55,NA,NA,NA,NA,$22967.55,NA,$26412.68,$22967.55,$22967.55,NA,NA,NA,NA,$20670.79,$22967.55,$22967.55,NA,NA
