Encompass Health Rehabilitation Hospital of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MEDICAL PARTNERS OF AM (MPAM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTHCARE MEDICARE (VISM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12764.70,$15452.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13436.52,NA,NA,NA,NA,NA,NA,$13436.52,NA,NA,NA,NA,NA,NA,$13436.52,NA,$13436.52,NA,NA,$15452.00,$13436.52,NA,$13436.52,$13436.52,NA,$12764.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$16814.19,$20354.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17699.14,NA,NA,NA,NA,NA,NA,$17699.14,NA,NA,NA,NA,NA,NA,$17699.14,NA,$17699.14,NA,NA,$20354.02,$17699.14,NA,$17699.14,$17699.14,NA,$16814.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$14375.36,$17401.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15131.96,NA,NA,NA,NA,NA,NA,$15131.96,NA,NA,NA,NA,NA,NA,$15131.96,NA,$15131.96,NA,NA,$17401.76,$15131.96,NA,$15131.96,$15131.96,NA,$14375.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$13338.54,$16146.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14040.57,NA,NA,NA,NA,NA,NA,$14040.57,NA,NA,NA,NA,NA,NA,$14040.57,NA,$14040.57,NA,NA,$16146.65,$14040.57,NA,$14040.57,$14040.57,NA,$13338.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$16303.92,$19736.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17162.03,NA,NA,NA,NA,NA,NA,$17162.03,NA,NA,NA,NA,NA,NA,$17162.03,NA,$17162.03,NA,NA,$19736.33,$17162.03,NA,$17162.03,$17162.03,NA,$16303.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$21476.64,$25998.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22606.99,NA,NA,NA,NA,NA,NA,$22606.99,NA,NA,NA,NA,NA,NA,$22606.99,NA,$22606.99,NA,NA,$25998.04,$22606.99,NA,$22606.99,$22606.99,NA,$21476.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$18359.64,$22224.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19325.94,NA,NA,NA,NA,NA,NA,$19325.94,NA,NA,NA,NA,NA,NA,$19325.94,NA,$19325.94,NA,NA,$22224.83,$19325.94,NA,$19325.94,$19325.94,NA,$18359.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$17037.53,$20624.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17934.24,NA,NA,NA,NA,NA,NA,$17934.24,NA,NA,NA,NA,NA,NA,$17934.24,NA,$17934.24,NA,NA,$20624.38,$17934.24,NA,$17934.24,$17934.24,NA,$17037.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$20849.00,$25238.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21946.32,NA,NA,NA,NA,NA,NA,$21946.32,NA,NA,NA,NA,NA,NA,$21946.32,NA,$21946.32,NA,NA,$25238.27,$21946.32,NA,$21946.32,$21946.32,NA,$20849.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$27462.85,$33244.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28908.26,NA,NA,NA,NA,NA,NA,$28908.26,NA,NA,NA,NA,NA,NA,$28908.26,NA,$28908.26,NA,NA,$33244.50,$28908.26,NA,$28908.26,$28908.26,NA,$27462.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$23476.93,$28419.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24712.56,NA,NA,NA,NA,NA,NA,$24712.56,NA,NA,NA,NA,NA,NA,$24712.56,NA,$24712.56,NA,NA,$28419.45,$24712.56,NA,$24712.56,$24712.56,NA,$23476.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$21784.76,$26371.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22931.32,NA,NA,NA,NA,NA,NA,$22931.32,NA,NA,NA,NA,NA,NA,$22931.32,NA,$22931.32,NA,NA,$26371.02,$22931.32,NA,$22931.32,$22931.32,NA,$21784.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$27086.26,$32788.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28511.86,NA,NA,NA,NA,NA,NA,$28511.86,NA,NA,NA,NA,NA,NA,$28511.86,NA,$28511.86,NA,NA,$32788.63,$28511.86,NA,$28511.86,$28511.86,NA,$27086.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$35679.20,$43190.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37557.05,NA,NA,NA,NA,NA,NA,$37557.05,NA,NA,NA,NA,NA,NA,$37557.05,NA,$37557.05,NA,NA,$43190.61,$37557.05,NA,$37557.05,$37557.05,NA,$35679.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$30501.59,$36922.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32106.94,NA,NA,NA,NA,NA,NA,$32106.94,NA,NA,NA,NA,NA,NA,$32106.94,NA,$32106.94,NA,NA,$36922.98,$32106.94,NA,$32106.94,$32106.94,NA,$30501.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$28302.41,$34260.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29792.01,NA,NA,NA,NA,NA,NA,$29792.01,NA,NA,NA,NA,NA,NA,$29792.01,NA,$29792.01,NA,NA,$34260.82,$29792.01,NA,$29792.01,$29792.01,NA,$28302.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$30729.83,$37199.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32347.18,NA,NA,NA,NA,NA,NA,$32347.18,NA,NA,NA,NA,NA,NA,$32347.18,NA,$32347.18,NA,NA,$37199.26,$32347.18,NA,$32347.18,$32347.18,NA,$30729.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$40476.97,$48998.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42607.33,NA,NA,NA,NA,NA,NA,$42607.33,NA,NA,NA,NA,NA,NA,$42607.33,NA,$42607.33,NA,NA,$48998.43,$42607.33,NA,$42607.33,$42607.33,NA,$40476.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$34603.25,$41888.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36424.47,NA,NA,NA,NA,NA,NA,$36424.47,NA,NA,NA,NA,NA,NA,$36424.47,NA,$36424.47,NA,NA,$41888.15,$36424.47,NA,$36424.47,$36424.47,NA,$34603.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$32109.00,$38868.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33798.95,NA,NA,NA,NA,NA,NA,$33798.95,NA,NA,NA,NA,NA,NA,$33798.95,NA,$33798.95,NA,NA,$38868.79,$33798.95,NA,$33798.95,$33798.95,NA,$32109.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$35302.62,$42734.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37160.65,NA,NA,NA,NA,NA,NA,$37160.65,NA,NA,NA,NA,NA,NA,$37160.65,NA,$37160.65,NA,NA,$42734.75,$37160.65,NA,$37160.65,$37160.65,NA,$35302.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$46502.30,$56292.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48949.78,NA,NA,NA,NA,NA,NA,$48949.78,NA,NA,NA,NA,NA,NA,$48949.78,NA,$48949.78,NA,NA,$56292.25,$48949.78,NA,$48949.78,$48949.78,NA,$46502.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$39753.15,$48122.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41845.42,NA,NA,NA,NA,NA,NA,$41845.42,NA,NA,NA,NA,NA,NA,$41845.42,NA,$41845.42,NA,NA,$48122.23,$41845.42,NA,$41845.42,$41845.42,NA,$39753.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$36888.83,$44654.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38830.35,NA,NA,NA,NA,NA,NA,$38830.35,NA,NA,NA,NA,NA,NA,$38830.35,NA,$38830.35,NA,NA,$44654.90,$38830.35,NA,$38830.35,$38830.35,NA,$36888.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12864.14,$15572.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13541.20,NA,NA,NA,NA,NA,NA,$13541.20,NA,NA,NA,NA,NA,NA,$13541.20,NA,$13541.20,NA,NA,$15572.38,$13541.20,NA,$13541.20,$13541.20,NA,$12864.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$18739.49,$22684.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19725.78,NA,NA,NA,NA,NA,NA,$19725.78,NA,NA,NA,NA,NA,NA,$19725.78,NA,$19725.78,NA,NA,$22684.64,$19725.78,NA,$19725.78,$19725.78,NA,$18739.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$15322.53,$18548.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16128.98,NA,NA,NA,NA,NA,NA,$16128.98,NA,NA,NA,NA,NA,NA,$16128.98,NA,$16128.98,NA,NA,$18548.32,$16128.98,NA,$16128.98,$16128.98,NA,$15322.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13764.03,$16661.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14488.45,NA,NA,NA,NA,NA,NA,$14488.45,NA,NA,NA,NA,NA,NA,$14488.45,NA,$14488.45,NA,NA,$16661.72,$14488.45,NA,$14488.45,$14488.45,NA,$13764.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$16160.46,$19562.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17011.02,NA,NA,NA,NA,NA,NA,$17011.02,NA,NA,NA,NA,NA,NA,$17011.02,NA,$17011.02,NA,NA,$19562.67,$17011.02,NA,$17011.02,$17011.02,NA,$16160.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$23540.51,$28496.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24779.49,NA,NA,NA,NA,NA,NA,$24779.49,NA,NA,NA,NA,NA,NA,$24779.49,NA,$24779.49,NA,NA,$28496.41,$24779.49,NA,$24779.49,$24779.49,NA,$23540.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$19248.12,$23300.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20261.18,NA,NA,NA,NA,NA,NA,$20261.18,NA,NA,NA,NA,NA,NA,$20261.18,NA,$20261.18,NA,NA,$23300.35,$20261.18,NA,$20261.18,$20261.18,NA,$19248.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$17290.21,$20930.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18200.22,NA,NA,NA,NA,NA,NA,$18200.22,NA,NA,NA,NA,NA,NA,$18200.22,NA,$18200.22,NA,NA,$20930.26,$18200.22,NA,$18200.22,$18200.22,NA,$17290.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$19484.50,$23586.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20510.00,NA,NA,NA,NA,NA,NA,$20510.00,NA,NA,NA,NA,NA,NA,$20510.00,NA,$20510.00,NA,NA,$23586.50,$20510.00,NA,$20510.00,$20510.00,NA,$19484.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$28383.92,$34359.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29877.82,NA,NA,NA,NA,NA,NA,$29877.82,NA,NA,NA,NA,NA,NA,$29877.82,NA,$29877.82,NA,NA,$34359.49,$29877.82,NA,$29877.82,$29877.82,NA,$28383.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$23206.32,$28091.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24427.70,NA,NA,NA,NA,NA,NA,$24427.70,NA,NA,NA,NA,NA,NA,$24427.70,NA,$24427.70,NA,NA,$28091.86,$24427.70,NA,$24427.70,$24427.70,NA,$23206.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$20845.74,$25234.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21942.89,NA,NA,NA,NA,NA,NA,$21942.89,NA,NA,NA,NA,NA,NA,$21942.89,NA,$21942.89,NA,NA,$25234.32,$21942.89,NA,$21942.89,$21942.89,NA,$20845.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$24251.29,$29356.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25527.68,NA,NA,NA,NA,NA,NA,$25527.68,NA,NA,NA,NA,NA,NA,$25527.68,NA,$25527.68,NA,NA,$29356.83,$25527.68,NA,$25527.68,$25527.68,NA,$24251.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$35325.44,$42762.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37184.68,NA,NA,NA,NA,NA,NA,$37184.68,NA,NA,NA,NA,NA,NA,$37184.68,NA,$37184.68,NA,NA,$42762.38,$37184.68,NA,$37184.68,$37184.68,NA,$35325.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$28884.41,$34965.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30404.64,NA,NA,NA,NA,NA,NA,$30404.64,NA,NA,NA,NA,NA,NA,$30404.64,NA,$30404.64,NA,NA,$34965.33,$30404.64,NA,$30404.64,$30404.64,NA,$28884.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$25945.10,$31407.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27310.63,NA,NA,NA,NA,NA,NA,$27310.63,NA,NA,NA,NA,NA,NA,$27310.63,NA,$27310.63,NA,NA,$31407.23,$27310.63,NA,$27310.63,$27310.63,NA,$25945.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$30628.75,$37076.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32240.79,NA,NA,NA,NA,NA,NA,$32240.79,NA,NA,NA,NA,NA,NA,$32240.79,NA,$32240.79,NA,NA,$37076.91,$32240.79,NA,$32240.79,$32240.79,NA,$30628.75,NA,NA,NA,NA
