Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$29686.83,$35936.68,NA,NA,NA,$31249.29,NA,NA,$30311.81,NA,NA,NA,$31249.29,NA,NA,$31249.29,NA,$31249.29,NA,$35936.68,$31249.29,$31249.29,NA,$29686.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$25378.80,$30721.71,NA,NA,NA,$26714.53,NA,NA,$25913.09,NA,NA,NA,$26714.53,NA,NA,$26714.53,NA,$26714.53,NA,$30721.71,$26714.53,$26714.53,NA,$25378.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$23548.98,$28506.66,NA,NA,NA,$24788.40,NA,NA,$24044.75,NA,NA,NA,$24788.40,NA,NA,$24788.40,NA,$24788.40,NA,$28506.66,$24788.40,$24788.40,NA,$23548.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$25568.70,$30951.59,NA,NA,NA,$26914.43,NA,NA,$26106.99,NA,NA,NA,$26914.43,NA,NA,$26914.43,NA,$26914.43,NA,$30951.59,$26914.43,$26914.43,NA,$25568.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$33678.80,$40769.07,NA,NA,NA,$35451.37,NA,NA,$34387.83,NA,NA,NA,$35451.37,NA,NA,$35451.37,NA,$35451.37,NA,$40769.07,$35451.37,$35451.37,NA,$33678.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$28791.58,$34852.97,NA,NA,NA,$30306.93,NA,NA,$29397.72,NA,NA,NA,$30306.93,NA,NA,$30306.93,NA,$30306.93,NA,$34852.97,$30306.93,$30306.93,NA,$28791.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$26716.24,$32340.72,NA,NA,NA,$28122.36,NA,NA,$27278.69,NA,NA,NA,$28122.36,NA,NA,$28122.36,NA,$28122.36,NA,$32340.72,$28122.36,$28122.36,NA,$26716.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$29373.49,$35557.38,NA,NA,NA,$30919.46,NA,NA,$29991.88,NA,NA,NA,$30919.46,NA,NA,$30919.46,NA,$30919.46,NA,$35557.38,$30919.46,$30919.46,NA,$29373.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$38692.16,$46837.88,NA,NA,NA,$40728.59,NA,NA,$39506.74,NA,NA,NA,$40728.59,NA,NA,$40728.59,NA,$40728.59,NA,$46837.88,$40728.59,$40728.59,NA,$38692.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$33076.54,$40040.03,NA,NA,NA,$34817.42,NA,NA,$33772.89,NA,NA,NA,$34817.42,NA,NA,$34817.42,NA,$34817.42,NA,$40040.03,$34817.42,$34817.42,NA,$33076.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$30693.30,$37155.04,NA,NA,NA,$32308.73,NA,NA,$31339.47,NA,NA,NA,$32308.73,NA,NA,$32308.73,NA,$32308.73,NA,$37155.04,$32308.73,$32308.73,NA,$30693.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$10703.59,$12956.98,NA,NA,NA,$11266.94,NA,NA,$10928.93,NA,NA,NA,$11266.94,NA,NA,$11266.94,NA,$11266.94,NA,$12956.98,$11266.94,$11266.94,NA,$10703.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$15592.16,$18874.72,NA,NA,NA,$16412.80,NA,NA,$15920.42,NA,NA,NA,$16412.80,NA,NA,$16412.80,NA,$16412.80,NA,$18874.72,$16412.80,$16412.80,NA,$15592.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$12749.09,$15433.10,NA,NA,NA,$13420.09,NA,NA,$13017.49,NA,NA,NA,$13420.09,NA,NA,$13420.09,NA,$13420.09,NA,$15433.10,$13420.09,$13420.09,NA,$12749.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$11452.34,$13863.36,NA,NA,NA,$12055.09,NA,NA,$11693.44,NA,NA,NA,$12055.09,NA,NA,$12055.09,NA,$12055.09,NA,$13863.36,$12055.09,$12055.09,NA,$11452.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$13446.29,$16277.09,NA,NA,NA,$14153.99,NA,NA,$13729.37,NA,NA,NA,$14153.99,NA,NA,$14153.99,NA,$14153.99,NA,$16277.09,$14153.99,$14153.99,NA,$13446.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$19586.85,$23710.40,NA,NA,NA,$20617.74,NA,NA,$19999.20,NA,NA,NA,$20617.74,NA,NA,$20617.74,NA,$20617.74,NA,$23710.40,$20617.74,$20617.74,NA,$19586.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$16015.37,$19387.02,NA,NA,NA,$16858.28,NA,NA,$16352.53,NA,NA,NA,$16858.28,NA,NA,$16858.28,NA,$16858.28,NA,$19387.02,$16858.28,$16858.28,NA,$16015.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$14386.30,$17414.99,NA,NA,NA,$15143.47,NA,NA,$14689.17,NA,NA,NA,$15143.47,NA,NA,$15143.47,NA,$15143.47,NA,$17414.99,$15143.47,$15143.47,NA,$14386.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$16212.05,$19625.11,NA,NA,NA,$17065.32,NA,NA,$16553.36,NA,NA,NA,$17065.32,NA,NA,$17065.32,NA,$17065.32,NA,$19625.11,$17065.32,$17065.32,NA,$16212.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$23616.80,$28588.76,NA,NA,NA,$24859.79,NA,NA,$24114.00,NA,NA,NA,$24859.79,NA,NA,$24859.79,NA,$24859.79,NA,$28588.76,$24859.79,$24859.79,NA,$23616.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$19308.78,$23373.79,NA,NA,NA,$20325.03,NA,NA,$19715.28,NA,NA,NA,$20325.03,NA,NA,$20325.03,NA,$20325.03,NA,$23373.79,$20325.03,$20325.03,NA,$19308.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$17344.67,$20996.18,NA,NA,NA,$18257.55,NA,NA,$17709.82,NA,NA,NA,$18257.55,NA,NA,$18257.55,NA,$18257.55,NA,$20996.18,$18257.55,$18257.55,NA,$17344.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$20178.25,$24426.30,NA,NA,NA,$21240.27,NA,NA,$20603.06,NA,NA,NA,$21240.27,NA,NA,$21240.27,NA,$21240.27,NA,$24426.30,$21240.27,$21240.27,NA,$20178.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$29392.48,$35580.37,NA,NA,NA,$30939.45,NA,NA,$30011.27,NA,NA,NA,$30939.45,NA,NA,$30939.45,NA,$30939.45,NA,$35580.37,$30939.45,$30939.45,NA,$29392.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$24033.23,$29092.85,NA,NA,NA,$25298.13,NA,NA,$24539.19,NA,NA,NA,$25298.13,NA,NA,$25298.13,NA,$25298.13,NA,$29092.85,$25298.13,$25298.13,NA,$24033.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$21587.58,$26132.34,NA,NA,NA,$22723.77,NA,NA,$22042.06,NA,NA,NA,$22723.77,NA,NA,$22723.77,NA,$22723.77,NA,$26132.34,$22723.77,$22723.77,NA,$21587.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$25484.61,$30849.79,NA,NA,NA,$26825.90,NA,NA,$26021.12,NA,NA,NA,$26825.90,NA,NA,$26825.90,NA,$26825.90,NA,$30849.79,$26825.90,$26825.90,NA,$25484.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$37124.13,$44939.74,NA,NA,NA,$39078.03,NA,NA,$37905.69,NA,NA,NA,$39078.03,NA,NA,$39078.03,NA,$39078.03,NA,$44939.74,$39078.03,$39078.03,NA,$37124.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$30352.83,$36742.90,NA,NA,NA,$31950.35,NA,NA,$30991.84,NA,NA,NA,$31950.35,NA,NA,$31950.35,NA,$31950.35,NA,$36742.90,$31950.35,$31950.35,NA,$30352.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$27265.60,$33005.72,NA,NA,NA,$28700.63,NA,NA,$27839.61,NA,NA,NA,$28700.63,NA,NA,$28700.63,NA,$28700.63,NA,$33005.72,$28700.63,$28700.63,NA,$27265.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$11548.64,$13979.94,NA,NA,NA,$12156.47,NA,NA,$11791.77,NA,NA,NA,$12156.47,NA,NA,$12156.47,NA,$12156.47,NA,$13979.94,$12156.47,$12156.47,NA,$11548.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$16633.90,$20135.77,NA,NA,NA,$17509.37,NA,NA,$16984.09,NA,NA,NA,$17509.37,NA,NA,$17509.37,NA,$17509.37,NA,$20135.77,$17509.37,$17509.37,NA,$16633.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$13484.27,$16323.06,NA,NA,NA,$14193.97,NA,NA,$13768.15,NA,NA,NA,$14193.97,NA,NA,$14193.97,NA,$14193.97,NA,$16323.06,$14193.97,$14193.97,NA,$13484.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$12458.81,$15081.72,NA,NA,NA,$13114.54,NA,NA,$12721.10,NA,NA,NA,$13114.54,NA,NA,$13114.54,NA,$13114.54,NA,$15081.72,$13114.54,$13114.54,NA,$12458.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$14795.94,$17910.87,NA,NA,NA,$15574.67,NA,NA,$15107.43,NA,NA,NA,$15574.67,NA,NA,$15574.67,NA,$15574.67,NA,$17910.87,$15574.67,$15574.67,NA,$14795.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$21310.87,$25797.37,NA,NA,NA,$22432.50,NA,NA,$21759.52,NA,NA,NA,$22432.50,NA,NA,$22432.50,NA,$22432.50,NA,$25797.37,$22432.50,$22432.50,NA,$21310.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$17276.85,$20914.08,NA,NA,NA,$18186.16,NA,NA,$17640.57,NA,NA,NA,$18186.16,NA,NA,$18186.16,NA,$18186.16,NA,$20914.08,$18186.16,$18186.16,NA,$17276.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$15962.47,$19322.99,NA,NA,NA,$16802.60,NA,NA,$16298.52,NA,NA,NA,$16802.60,NA,NA,$16802.60,NA,$16802.60,NA,$19322.99,$16802.60,$16802.60,NA,$15962.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$17712.26,$21441.16,NA,NA,NA,$18644.49,NA,NA,$18085.15,NA,NA,NA,$18644.49,NA,NA,$18644.49,NA,$18644.49,NA,$21441.16,$18644.49,$18644.49,NA,$17712.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$25511.73,$30882.63,NA,NA,NA,$26854.46,NA,NA,$26048.82,NA,NA,NA,$26854.46,NA,NA,$26854.46,NA,$26854.46,NA,$30882.63,$26854.46,$26854.46,NA,$25511.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$20681.49,$25035.48,NA,NA,NA,$21769.99,NA,NA,$21116.89,NA,NA,NA,$21769.99,NA,NA,$21769.99,NA,$21769.99,NA,$25035.48,$21769.99,$21769.99,NA,$20681.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$19108.03,$23130.77,NA,NA,NA,$20113.71,NA,NA,$19510.30,NA,NA,NA,$20113.71,NA,NA,$20113.71,NA,$20113.71,NA,$23130.77,$20113.71,$20113.71,NA,$19108.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$19871.70,$24055.21,NA,NA,NA,$20917.58,NA,NA,$20290.05,NA,NA,NA,$20917.58,NA,NA,$20917.58,NA,$20917.58,NA,$24055.21,$20917.58,$20917.58,NA,$19871.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$28622.03,$34647.72,NA,NA,NA,$30128.45,NA,NA,$29224.60,NA,NA,NA,$30128.45,NA,NA,$30128.45,NA,$30128.45,NA,$34647.72,$30128.45,$30128.45,NA,$28622.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$23201.73,$28086.31,NA,NA,NA,$24422.88,NA,NA,$23690.19,NA,NA,NA,$24422.88,NA,NA,$24422.88,NA,$24422.88,NA,$28086.31,$24422.88,$24422.88,NA,$23201.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$21438.38,$25951.72,NA,NA,NA,$22566.71,NA,NA,$21889.71,NA,NA,NA,$22566.71,NA,NA,$22566.71,NA,$22566.71,NA,$25951.72,$22566.71,$22566.71,NA,$21438.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$21705.59,$26275.19,NA,NA,NA,$22847.99,NA,NA,$22162.55,NA,NA,NA,$22847.99,NA,NA,$22847.99,NA,$22847.99,NA,$26275.19,$22847.99,$22847.99,NA,$21705.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$31264.35,$37846.32,NA,NA,NA,$32909.85,NA,NA,$31922.55,NA,NA,NA,$32909.85,NA,NA,$32909.85,NA,$32909.85,NA,$37846.32,$32909.85,$32909.85,NA,$31264.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$25344.89,$30680.66,NA,NA,NA,$26678.84,NA,NA,$25878.47,NA,NA,NA,$26678.84,NA,NA,$26678.84,NA,$26678.84,NA,$30680.66,$26678.84,$26678.84,NA,$25344.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$23417.41,$28347.39,NA,NA,NA,$24649.90,NA,NA,$23910.40,NA,NA,NA,$24649.90,NA,NA,$24649.90,NA,$24649.90,NA,$28347.39,$24649.90,$24649.90,NA,$23417.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$13181.79,$15956.90,NA,NA,NA,$13875.56,NA,NA,$13459.30,NA,NA,NA,$13875.56,NA,NA,$13875.56,NA,$13875.56,NA,$15956.90,$13875.56,$13875.56,NA,$13181.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$18561.39,$22469.05,NA,NA,NA,$19538.30,NA,NA,$18952.15,NA,NA,NA,$19538.30,NA,NA,$19538.30,NA,$19538.30,NA,$22469.05,$19538.30,$19538.30,NA,$18561.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$15750.86,$19066.84,NA,NA,NA,$16579.86,NA,NA,$16082.46,NA,NA,NA,$16579.86,NA,NA,$16579.86,NA,$16579.86,NA,$19066.84,$16579.86,$16579.86,NA,$15750.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$14188.26,$17175.26,NA,NA,NA,$14935.01,NA,NA,$14486.96,NA,NA,NA,$14935.01,NA,NA,$14935.01,NA,$14935.01,NA,$17175.26,$14935.01,$14935.01,NA,$14188.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$17153.41,$20764.66,NA,NA,NA,$18056.22,NA,NA,$17514.54,NA,NA,NA,$18056.22,NA,NA,$18056.22,NA,$18056.22,NA,$20764.66,$18056.22,$18056.22,NA,$17153.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$24153.95,$29238.99,NA,NA,NA,$25425.21,NA,NA,$24662.45,NA,NA,NA,$25425.21,NA,NA,$25425.21,NA,$25425.21,NA,$29238.99,$25425.21,$25425.21,NA,$24153.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$20495.66,$24810.53,NA,NA,NA,$21574.38,NA,NA,$20927.14,NA,NA,NA,$21574.38,NA,NA,$21574.38,NA,$21574.38,NA,$24810.53,$21574.38,$21574.38,NA,$20495.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$18462.37,$22349.18,NA,NA,NA,$19434.07,NA,NA,$18851.05,NA,NA,NA,$19434.07,NA,NA,$19434.07,NA,$19434.07,NA,$22349.18,$19434.07,$19434.07,NA,$18462.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$20586.54,$24920.55,NA,NA,NA,$21670.04,NA,NA,$21019.94,NA,NA,NA,$21670.04,NA,NA,$21670.04,NA,$21670.04,NA,$24920.55,$21670.04,$21670.04,NA,$20586.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$28988.26,$35091.06,NA,NA,NA,$30513.96,NA,NA,$29598.54,NA,NA,NA,$30513.96,NA,NA,$30513.96,NA,$30513.96,NA,$35091.06,$30513.96,$30513.96,NA,$28988.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$24598.86,$29777.56,NA,NA,NA,$25893.53,NA,NA,$25116.73,NA,NA,NA,$25893.53,NA,NA,$25893.53,NA,$25893.53,NA,$29777.56,$25893.53,$25893.53,NA,$24598.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$22158.64,$26823.62,NA,NA,NA,$23324.88,NA,NA,$22625.14,NA,NA,NA,$23324.88,NA,NA,$23324.88,NA,$23324.88,NA,$26823.62,$23324.88,$23324.88,NA,$22158.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$34857.54,$42195.97,NA,NA,NA,$36692.14,NA,NA,$35591.38,NA,NA,NA,$36692.14,NA,NA,$36692.14,NA,$36692.14,NA,$42195.97,$36692.14,$36692.14,NA,$34857.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$49082.42,$59415.56,NA,NA,NA,$51665.70,NA,NA,$50115.73,NA,NA,NA,$51665.70,NA,NA,$51665.70,NA,$51665.70,NA,$59415.56,$51665.70,$51665.70,NA,$49082.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$41650.54,$50419.07,NA,NA,NA,$43842.67,NA,NA,$42527.39,NA,NA,NA,$43842.67,NA,NA,$43842.67,NA,$43842.67,NA,$50419.07,$43842.67,$43842.67,NA,$41650.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$37518.85,$45417.56,NA,NA,NA,$39493.53,NA,NA,$38308.72,NA,NA,NA,$39493.53,NA,NA,$39493.53,NA,$39493.53,NA,$45417.56,$39493.53,$39493.53,NA,$37518.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$26436.82,$32002.47,NA,NA,NA,$27828.23,NA,NA,$26993.38,NA,NA,NA,$27828.23,NA,NA,$27828.23,NA,$27828.23,NA,$32002.47,$27828.23,$27828.23,NA,$26436.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$37225.86,$45062.89,NA,NA,NA,$39185.12,NA,NA,$38009.57,NA,NA,NA,$39185.12,NA,NA,$39185.12,NA,$39185.12,NA,$45062.89,$39185.12,$39185.12,NA,$37225.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$31588.54,$38238.76,NA,NA,NA,$33251.10,NA,NA,$32253.56,NA,NA,NA,$33251.10,NA,NA,$33251.10,NA,$33251.10,NA,$38238.76,$33251.10,$33251.10,NA,$31588.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$28455.19,$34445.75,NA,NA,NA,$29952.83,NA,NA,$29054.24,NA,NA,NA,$29952.83,NA,NA,$29952.83,NA,$29952.83,NA,$34445.75,$29952.83,$29952.83,NA,$28455.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$34648.65,$41943.10,NA,NA,NA,$36472.26,NA,NA,$35378.09,NA,NA,NA,$36472.26,NA,NA,$36472.26,NA,$36472.26,NA,$41943.10,$36472.26,$36472.26,NA,$34648.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$48789.43,$59060.89,NA,NA,NA,$51357.29,NA,NA,$49816.57,NA,NA,NA,$51357.29,NA,NA,$51357.29,NA,$51357.29,NA,$59060.89,$51357.29,$51357.29,NA,$48789.43,NA,NA,NA,NA
