Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$11882.00,$14421.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25047.97,NA,NA,NA,$25047.97,NA,NA,$25047.97,NA,$25047.97,NA,NA,$28805.17,$25047.97,NA,$25047.97,NA,$23795.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$14523.58,$17627.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30616.57,NA,NA,NA,$30616.57,NA,NA,$30616.57,NA,$30616.57,NA,NA,$35209.06,$30616.57,NA,$30616.57,NA,$29085.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$19131.45,$23220.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40330.24,NA,NA,NA,$40330.24,NA,NA,$40330.24,NA,$40330.24,NA,NA,$46379.77,$40330.24,NA,$40330.24,NA,$38313.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$16354.82,$19850.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34476.93,NA,NA,NA,$34476.93,NA,NA,$34476.93,NA,$34476.93,NA,NA,$39648.48,$34476.93,NA,$34476.93,NA,$32753.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$15177.08,$18421.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31994.18,NA,NA,NA,$31994.18,NA,NA,$31994.18,NA,$31994.18,NA,NA,$36793.31,$31994.18,NA,$31994.18,NA,$30394.47,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$18572.35,$22542.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39151.62,NA,NA,NA,$39151.62,NA,NA,$39151.62,NA,$39151.62,NA,NA,$45024.36,$39151.62,NA,$39151.62,NA,$37194.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$24463.98,$29692.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51571.52,NA,NA,NA,$51571.52,NA,NA,$51571.52,NA,$51571.52,NA,NA,$59307.25,$51571.52,NA,$51571.52,NA,$48992.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$20913.32,$25383.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44086.52,NA,NA,NA,$44086.52,NA,NA,$44086.52,NA,$44086.52,NA,NA,$50699.49,$44086.52,NA,$44086.52,NA,$41882.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$19405.92,$23553.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40908.83,NA,NA,NA,$40908.83,NA,NA,$40908.83,NA,$40908.83,NA,NA,$47045.16,$40908.83,NA,$40908.83,NA,$38863.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$24128.51,$29285.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50864.35,NA,NA,NA,$50864.35,NA,NA,$50864.35,NA,$50864.35,NA,NA,$58494.00,$50864.35,NA,$50864.35,NA,$48321.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$31783.13,$38576.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67000.72,NA,NA,NA,$67000.72,NA,NA,$67000.72,NA,$67000.72,NA,NA,$77050.83,$67000.72,NA,$67000.72,NA,$63650.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$27170.90,$32978.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57277.88,NA,NA,NA,$57277.88,NA,NA,$57277.88,NA,$57277.88,NA,NA,$65869.56,$57277.88,NA,$57277.88,NA,$54413.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$25211.87,$30600.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53148.12,NA,NA,NA,$53148.12,NA,NA,$53148.12,NA,$53148.12,NA,NA,$61120.34,$53148.12,NA,$53148.12,NA,$50490.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$27374.21,$33225.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57706.47,NA,NA,NA,$57706.47,NA,NA,$57706.47,NA,$57706.47,NA,NA,$66362.43,$57706.47,NA,$57706.47,NA,$54821.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$36056.99,$43763.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$76010.29,NA,NA,NA,$76010.29,NA,NA,$76010.29,NA,$76010.29,NA,NA,$87411.83,$76010.29,NA,$76010.29,NA,$72209.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$30824.67,$37413.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64980.24,NA,NA,NA,$64980.24,NA,NA,$64980.24,NA,$64980.24,NA,NA,$74727.27,$64980.24,NA,$64980.24,NA,$61731.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$28602.78,$34716.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60296.37,NA,NA,NA,$60296.37,NA,NA,$60296.37,NA,$60296.37,NA,NA,$69340.82,$60296.37,NA,$60296.37,NA,$57281.55,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$31447.67,$38169.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66293.56,NA,NA,NA,$66293.56,NA,NA,$66293.56,NA,$66293.56,NA,NA,$76237.59,$66293.56,NA,$66293.56,NA,$62978.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$41424.37,$50278.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$87325.04,NA,NA,NA,$87325.04,NA,NA,$87325.04,NA,$87325.04,NA,NA,$100423.79,$87325.04,NA,$87325.04,NA,$82958.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$35412.21,$42981.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$74651.05,NA,NA,NA,$74651.05,NA,NA,$74651.05,NA,$74651.05,NA,NA,$85848.70,$74651.05,NA,$74651.05,NA,$70918.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$32860.67,$39884.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69272.25,NA,NA,NA,$69272.25,NA,NA,$69272.25,NA,$69272.25,NA,NA,$79663.09,$69272.25,NA,$69272.25,NA,$65808.64,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$11459.41,$13908.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24157.12,NA,NA,NA,$24157.12,NA,NA,$24157.12,NA,$24157.12,NA,NA,$27780.69,$24157.12,NA,$24157.12,NA,$22949.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$16693.19,$20261.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35190.23,NA,NA,NA,$35190.23,NA,NA,$35190.23,NA,$35190.23,NA,NA,$40468.76,$35190.23,NA,$35190.23,NA,$33430.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$13649.35,$16566.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28773.63,NA,NA,NA,$28773.63,NA,NA,$28773.63,NA,$28773.63,NA,NA,$33089.68,$28773.63,NA,$28773.63,NA,$27334.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$12261.03,$14881.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25846.99,NA,NA,NA,$25846.99,NA,NA,$25846.99,NA,$25846.99,NA,NA,$29724.03,$25846.99,NA,$25846.99,NA,$24554.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$14395.78,$17472.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30347.17,NA,NA,NA,$30347.17,NA,NA,$30347.17,NA,$30347.17,NA,NA,$34899.25,$30347.17,NA,$30347.17,NA,$28829.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$20969.95,$25452.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44205.90,NA,NA,NA,$44205.90,NA,NA,$44205.90,NA,$44205.90,NA,NA,$50836.80,$44205.90,NA,$44205.90,NA,$41995.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$17146.28,$20811.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36145.37,NA,NA,NA,$36145.37,NA,NA,$36145.37,NA,$36145.37,NA,NA,$41567.18,$36145.37,NA,$36145.37,NA,$34338.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$15402.17,$18694.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32468.69,NA,NA,NA,$32468.69,NA,NA,$32468.69,NA,$32468.69,NA,NA,$37338.99,$32468.69,NA,$32468.69,NA,$30845.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$17356.85,$21066.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36589.27,NA,NA,NA,$36589.27,NA,NA,$36589.27,NA,$36589.27,NA,NA,$42077.66,$36589.27,NA,$36589.27,NA,$34759.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$25284.48,$30688.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53301.18,NA,NA,NA,$53301.18,NA,NA,$53301.18,NA,$53301.18,NA,NA,$61296.36,$53301.18,NA,$53301.18,NA,$50636.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$20672.25,$25090.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43578.33,NA,NA,NA,$43578.33,NA,NA,$43578.33,NA,$43578.33,NA,NA,$50115.08,$43578.33,NA,$43578.33,NA,$41399.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$18569.44,$22538.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39145.49,NA,NA,NA,$39145.49,NA,NA,$39145.49,NA,$39145.49,NA,NA,$45017.32,$39145.49,NA,$39145.49,NA,$37188.22,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$21603.12,$26220.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45540.65,NA,NA,NA,$45540.65,NA,NA,$45540.65,NA,$45540.65,NA,NA,$52371.75,$45540.65,NA,$45540.65,NA,$43263.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$31468.00,$38194.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66336.42,NA,NA,NA,$66336.42,NA,NA,$66336.42,NA,$66336.42,NA,NA,$76286.88,$66336.42,NA,$66336.42,NA,$63019.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$25730.31,$31229.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54241.01,NA,NA,NA,$54241.01,NA,NA,$54241.01,NA,$54241.01,NA,NA,$62377.17,$54241.01,NA,$54241.01,NA,$51528.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$23111.97,$28051.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48721.41,NA,NA,NA,$48721.41,NA,NA,$48721.41,NA,$48721.41,NA,NA,$56029.61,$48721.41,NA,$48721.41,NA,$46285.34,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$27284.17,$33115.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57516.66,NA,NA,NA,$57516.66,NA,NA,$57516.66,NA,$57516.66,NA,NA,$66144.16,$57516.66,NA,$57516.66,NA,$54640.83,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$39745.61,$48240.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$83786.12,NA,NA,NA,$83786.12,NA,NA,$83786.12,NA,$83786.12,NA,NA,$96354.04,$83786.12,NA,$83786.12,NA,$79596.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$32496.16,$39441.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68503.85,NA,NA,NA,$68503.85,NA,NA,$68503.85,NA,$68503.85,NA,NA,$78779.43,$68503.85,NA,$68503.85,NA,$65078.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$29190.93,$35430.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61536.21,NA,NA,NA,$61536.21,NA,NA,$61536.21,NA,$61536.21,NA,NA,$70766.65,$61536.21,NA,$61536.21,NA,$58459.41,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$12364.14,$15006.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26064.34,NA,NA,NA,$26064.34,NA,NA,$26064.34,NA,$26064.34,NA,NA,$29974.00,$26064.34,NA,$26064.34,NA,$24761.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$17808.48,$21614.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37541.34,NA,NA,NA,$37541.34,NA,NA,$37541.34,NA,$37541.34,NA,NA,$43172.55,$37541.34,NA,$37541.34,NA,$35664.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$14436.45,$17522.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30432.89,NA,NA,NA,$30432.89,NA,NA,$30432.89,NA,$30432.89,NA,NA,$34997.82,$30432.89,NA,$30432.89,NA,$28911.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$13338.57,$16189.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28118.50,NA,NA,NA,$28118.50,NA,NA,$28118.50,NA,$28118.50,NA,NA,$32336.28,$28118.50,NA,$28118.50,NA,$26712.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$15840.74,$19226.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33393.22,NA,NA,NA,$33393.22,NA,NA,$33393.22,NA,$33393.22,NA,NA,$38402.20,$33393.22,NA,$33393.22,NA,$31723.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$22815.71,$27692.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48096.88,NA,NA,NA,$48096.88,NA,NA,$48096.88,NA,$48096.88,NA,NA,$55311.42,$48096.88,NA,$48096.88,NA,$45692.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$18496.83,$22450.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38992.43,NA,NA,NA,$38992.43,NA,NA,$38992.43,NA,$38992.43,NA,NA,$44841.29,$38992.43,NA,$38992.43,NA,$37042.80,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$17089.64,$20742.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36025.97,NA,NA,NA,$36025.97,NA,NA,$36025.97,NA,$36025.97,NA,NA,$41429.88,$36025.97,NA,$36025.97,NA,$34224.68,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$18962.99,$23016.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39975.12,NA,NA,NA,$39975.12,NA,NA,$39975.12,NA,$39975.12,NA,NA,$45971.39,$39975.12,NA,$39975.12,NA,$37976.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$27313.22,$33151.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57577.89,NA,NA,NA,$57577.89,NA,NA,$57577.89,NA,$57577.89,NA,NA,$66214.57,$57577.89,NA,$57577.89,NA,$54699.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$22141.89,$26874.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46676.42,NA,NA,NA,$46676.42,NA,NA,$46676.42,NA,$46676.42,NA,NA,$53677.88,$46676.42,NA,$46676.42,NA,$44342.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$20457.32,$24829.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43125.25,NA,NA,NA,$43125.25,NA,NA,$43125.25,NA,$43125.25,NA,NA,$49594.04,$43125.25,NA,$43125.25,NA,$40968.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$21274.92,$25822.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44848.79,NA,NA,NA,$44848.79,NA,NA,$44848.79,NA,$44848.79,NA,NA,$51576.11,$44848.79,NA,$44848.79,NA,$42606.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$30643.14,$37192.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64597.57,NA,NA,NA,$64597.57,NA,NA,$64597.57,NA,$64597.57,NA,NA,$74287.20,$64597.57,NA,$64597.57,NA,$61367.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$24840.10,$30149.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52364.41,NA,NA,NA,$52364.41,NA,NA,$52364.41,NA,$52364.41,NA,NA,$60219.07,$52364.41,NA,$52364.41,NA,$49746.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$22952.22,$27858.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48384.65,NA,NA,NA,$48384.65,NA,NA,$48384.65,NA,$48384.65,NA,NA,$55642.35,$48384.65,NA,$48384.65,NA,$45965.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$23238.31,$28205.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48987.74,NA,NA,NA,$48987.74,NA,NA,$48987.74,NA,$48987.74,NA,NA,$56335.90,$48987.74,NA,$48987.74,NA,$46538.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$33472.05,$40626.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70561.08,NA,NA,NA,$70561.08,NA,NA,$70561.08,NA,$70561.08,NA,NA,$81145.24,$70561.08,NA,$70561.08,NA,$67033.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$27134.60,$32934.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57201.34,NA,NA,NA,$57201.34,NA,NA,$57201.34,NA,$57201.34,NA,NA,$65781.54,$57201.34,NA,$57201.34,NA,$54341.28,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$25071.00,$30429.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52851.17,NA,NA,NA,$52851.17,NA,NA,$52851.17,NA,$52851.17,NA,NA,$60778.84,$52851.17,NA,$52851.17,NA,$50208.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$14112.60,$17129.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29750.21,NA,NA,NA,$29750.21,NA,NA,$29750.21,NA,$29750.21,NA,NA,$34212.74,$29750.21,NA,$29750.21,NA,$28262.70,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$19872.08,$24119.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41891.53,NA,NA,NA,$41891.53,NA,NA,$41891.53,NA,$41891.53,NA,NA,$48175.25,$41891.53,NA,$41891.53,NA,$39796.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$16863.09,$20467.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35548.41,NA,NA,NA,$35548.41,NA,NA,$35548.41,NA,$35548.41,NA,NA,$40880.67,$35548.41,NA,$35548.41,NA,$33770.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$15190.15,$18436.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32021.73,NA,NA,NA,$32021.73,NA,NA,$32021.73,NA,$32021.73,NA,NA,$36824.99,$32021.73,NA,$32021.73,NA,$30420.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$18364.68,$22289.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38713.84,NA,NA,NA,$38713.84,NA,NA,$38713.84,NA,$38713.84,NA,NA,$44520.92,$38713.84,NA,$38713.84,NA,$36778.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$25859.55,$31386.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54513.48,NA,NA,NA,$54513.48,NA,NA,$54513.48,NA,$54513.48,NA,NA,$62690.50,$54513.48,NA,$54513.48,NA,$51787.80,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$21942.93,$26633.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46257.02,NA,NA,NA,$46257.02,NA,NA,$46257.02,NA,$46257.02,NA,NA,$53195.57,$46257.02,NA,$46257.02,NA,$43944.16,NA,NA
