Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$22.00,$16.50,$10.54,$18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17.60,$18.48,NA,NA,NA,NA,$11.91,$11.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.54,$17.60
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 30 minutes",90832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$79.50,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,$89.87,$88.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$79.50,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$41.66,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,$47.10,$46.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41.66,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12136.49,$15507.74,NA,$13484.99,NA,NA,NA,NA,NA,NA,NA,NA,$13484.99,NA,NA,$13484.99,NA,$12136.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13484.99,NA,NA,$13484.99,NA,NA,NA,$15507.74,$13484.99,$13484.99,NA,NA,NA,$13484.99,NA,NA,$13484.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$15986.69,$20427.44,NA,$17762.99,NA,NA,NA,NA,NA,NA,NA,NA,$17762.99,NA,NA,$17762.99,NA,$15986.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17762.99,NA,NA,$17762.99,NA,NA,NA,$20427.44,$17762.99,$17762.99,NA,NA,NA,$17762.99,NA,NA,$17762.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$13667.89,$17464.53,NA,$15186.54,NA,NA,NA,NA,NA,NA,NA,NA,$15186.54,NA,NA,$15186.54,NA,$13667.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15186.54,NA,NA,$15186.54,NA,NA,NA,$17464.53,$15186.54,$15186.54,NA,NA,NA,$15186.54,NA,NA,$15186.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$12682.09,$16204.89,NA,$14091.21,NA,NA,NA,NA,NA,NA,NA,NA,$14091.21,NA,NA,$14091.21,NA,$12682.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14091.21,NA,NA,$14091.21,NA,NA,NA,$16204.89,$14091.21,$14091.21,NA,NA,NA,$14091.21,NA,NA,$14091.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$15501.54,$19807.52,NA,$17223.93,NA,NA,NA,NA,NA,NA,NA,NA,$17223.93,NA,NA,$17223.93,NA,$15501.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17223.93,NA,NA,$17223.93,NA,NA,NA,$19807.52,$17223.93,$17223.93,NA,NA,NA,$17223.93,NA,NA,$17223.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$20419.69,$26091.82,NA,$22688.54,NA,NA,NA,NA,NA,NA,NA,NA,$22688.54,NA,NA,$22688.54,NA,$20419.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22688.54,NA,NA,$22688.54,NA,NA,NA,$26091.82,$22688.54,$22688.54,NA,NA,NA,$22688.54,NA,NA,$22688.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$17456.09,$22305.00,NA,$19395.65,NA,NA,NA,NA,NA,NA,NA,NA,$19395.65,NA,NA,$19395.65,NA,$17456.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19395.65,NA,NA,$19395.65,NA,NA,NA,$22305.00,$19395.65,$19395.65,NA,NA,NA,$19395.65,NA,NA,$19395.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$16199.04,$20698.77,NA,$17998.93,NA,NA,NA,NA,NA,NA,NA,NA,$17998.93,NA,NA,$17998.93,NA,$16199.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17998.93,NA,NA,$17998.93,NA,NA,NA,$20698.77,$17998.93,$17998.93,NA,NA,NA,$17998.93,NA,NA,$17998.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$19822.94,$25329.31,NA,$22025.48,NA,NA,NA,NA,NA,NA,NA,NA,$22025.48,NA,NA,$22025.48,NA,$19822.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22025.48,NA,NA,$22025.48,NA,NA,NA,$25329.31,$22025.48,$22025.48,NA,NA,NA,$22025.48,NA,NA,$22025.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$26111.28,$33364.42,NA,$29012.53,NA,NA,NA,NA,NA,NA,NA,NA,$29012.53,NA,NA,$29012.53,NA,$26111.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29012.53,NA,NA,$29012.53,NA,NA,NA,$33364.42,$29012.53,$29012.53,NA,NA,NA,$29012.53,NA,NA,$29012.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$22321.53,$28521.96,NA,$24801.70,NA,NA,NA,NA,NA,NA,NA,NA,$24801.70,NA,NA,$24801.70,NA,$22321.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24801.70,NA,NA,$24801.70,NA,NA,NA,$28521.96,$24801.70,$24801.70,NA,NA,NA,$24801.70,NA,NA,$24801.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$20712.64,$26466.15,NA,$23014.04,NA,NA,NA,NA,NA,NA,NA,NA,$23014.04,NA,NA,$23014.04,NA,$20712.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23014.04,NA,NA,$23014.04,NA,NA,NA,$26466.15,$23014.04,$23014.04,NA,NA,NA,$23014.04,NA,NA,$23014.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$25753.23,$32906.91,NA,$28614.70,NA,NA,NA,NA,NA,NA,NA,NA,$28614.70,NA,NA,$28614.70,NA,$25753.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28614.70,NA,NA,$28614.70,NA,NA,NA,$32906.91,$28614.70,$28614.70,NA,NA,NA,$28614.70,NA,NA,$28614.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$33923.28,$43346.41,NA,$37692.53,NA,NA,NA,NA,NA,NA,NA,NA,$37692.53,NA,NA,$37692.53,NA,$33923.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37692.53,NA,NA,$37692.53,NA,NA,NA,$43346.41,$37692.53,$37692.53,NA,NA,NA,$37692.53,NA,NA,$37692.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$29000.48,$37056.17,NA,$32222.75,NA,NA,NA,NA,NA,NA,NA,NA,$32222.75,NA,NA,$32222.75,NA,$29000.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32222.75,NA,NA,$32222.75,NA,NA,NA,$37056.17,$32222.75,$32222.75,NA,NA,NA,$32222.75,NA,NA,$32222.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$26909.53,$34384.40,NA,$29899.48,NA,NA,NA,NA,NA,NA,NA,NA,$29899.48,NA,NA,$29899.48,NA,$26909.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29899.48,NA,NA,$29899.48,NA,NA,NA,$34384.40,$29899.48,$29899.48,NA,NA,NA,$29899.48,NA,NA,$29899.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$29217.48,$37333.45,NA,$32463.87,NA,NA,NA,NA,NA,NA,NA,NA,$32463.87,NA,NA,$32463.87,NA,$29217.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32463.87,NA,NA,$32463.87,NA,NA,NA,$37333.45,$32463.87,$32463.87,NA,NA,NA,$32463.87,NA,NA,$32463.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$38484.92,$49175.18,NA,$42761.03,NA,NA,NA,NA,NA,NA,NA,NA,$42761.03,NA,NA,$42761.03,NA,$38484.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42761.03,NA,NA,$42761.03,NA,NA,NA,$49175.18,$42761.03,$42761.03,NA,NA,NA,$42761.03,NA,NA,$42761.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$32900.28,$42039.24,NA,$36555.86,NA,NA,NA,NA,NA,NA,NA,NA,$36555.86,NA,NA,$36555.86,NA,$32900.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36555.86,NA,NA,$36555.86,NA,NA,NA,$42039.24,$36555.86,$36555.86,NA,NA,NA,$36555.86,NA,NA,$36555.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$30528.78,$39008.99,NA,$33920.86,NA,NA,NA,NA,NA,NA,NA,NA,$33920.86,NA,NA,$33920.86,NA,$30528.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33920.86,NA,NA,$33920.86,NA,NA,NA,$39008.99,$33920.86,$33920.86,NA,NA,NA,$33920.86,NA,NA,$33920.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$33565.23,$42888.90,NA,$37294.70,NA,NA,NA,NA,NA,NA,NA,NA,$37294.70,NA,NA,$37294.70,NA,$33565.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37294.70,NA,NA,$37294.70,NA,NA,NA,$42888.90,$37294.70,$37294.70,NA,NA,NA,$37294.70,NA,NA,$37294.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$44213.72,$56495.31,NA,$49126.35,NA,NA,NA,NA,NA,NA,NA,NA,$49126.35,NA,NA,$49126.35,NA,$44213.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49126.35,NA,NA,$49126.35,NA,NA,NA,$56495.31,$49126.35,$49126.35,NA,NA,NA,$49126.35,NA,NA,$49126.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$37796.72,$48295.81,NA,$41996.36,NA,NA,NA,NA,NA,NA,NA,NA,$41996.36,NA,NA,$41996.36,NA,$37796.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41996.36,NA,NA,$41996.36,NA,NA,NA,$48295.81,$41996.36,$41996.36,NA,NA,NA,$41996.36,NA,NA,$41996.36,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$35073.38,$44815.98,NA,$38970.42,NA,NA,NA,NA,NA,NA,NA,NA,$38970.42,NA,NA,$38970.42,NA,$35073.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38970.42,NA,NA,$38970.42,NA,NA,NA,$44815.98,$38970.42,$38970.42,NA,NA,NA,$38970.42,NA,NA,$38970.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12231.04,$15628.55,NA,$13590.05,NA,NA,NA,NA,NA,NA,NA,NA,$13590.05,NA,NA,$13590.05,NA,$12231.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13590.05,NA,NA,$13590.05,NA,NA,NA,$15628.55,$13590.05,$13590.05,NA,NA,NA,$13590.05,NA,NA,$13590.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$17817.24,$22766.47,NA,$19796.93,NA,NA,NA,NA,NA,NA,NA,NA,$19796.93,NA,NA,$19796.93,NA,$17817.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19796.93,NA,NA,$19796.93,NA,NA,NA,$22766.47,$19796.93,$19796.93,NA,NA,NA,$19796.93,NA,NA,$19796.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$14568.44,$18615.23,NA,$16187.16,NA,NA,NA,NA,NA,NA,NA,NA,$16187.16,NA,NA,$16187.16,NA,$14568.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16187.16,NA,NA,$16187.16,NA,NA,NA,$18615.23,$16187.16,$16187.16,NA,NA,NA,$16187.16,NA,NA,$16187.16,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13086.64,$16721.82,NA,$14540.71,NA,NA,NA,NA,NA,NA,NA,NA,$14540.71,NA,NA,$14540.71,NA,$13086.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14540.71,NA,NA,$14540.71,NA,NA,NA,$16721.82,$14540.71,$14540.71,NA,NA,NA,$14540.71,NA,NA,$14540.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$15365.14,$19633.23,NA,$17072.38,NA,NA,NA,NA,NA,NA,NA,NA,$17072.38,NA,NA,$17072.38,NA,$15365.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17072.38,NA,NA,$17072.38,NA,NA,NA,$19633.23,$17072.38,$17072.38,NA,NA,NA,$17072.38,NA,NA,$17072.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$22381.98,$28599.20,NA,$24868.87,NA,NA,NA,NA,NA,NA,NA,NA,$24868.87,NA,NA,$24868.87,NA,$22381.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24868.87,NA,NA,$24868.87,NA,NA,NA,$28599.20,$24868.87,$24868.87,NA,NA,NA,$24868.87,NA,NA,$24868.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$18300.84,$23384.40,NA,$20334.26,NA,NA,NA,NA,NA,NA,NA,NA,$20334.26,NA,NA,$20334.26,NA,$18300.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20334.26,NA,NA,$20334.26,NA,NA,NA,$23384.40,$20334.26,$20334.26,NA,NA,NA,$20334.26,NA,NA,$20334.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$16439.29,$21005.76,NA,$18265.88,NA,NA,NA,NA,NA,NA,NA,NA,$18265.88,NA,NA,$18265.88,NA,$16439.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18265.88,NA,NA,$18265.88,NA,NA,NA,$21005.76,$18265.88,$18265.88,NA,NA,NA,$18265.88,NA,NA,$18265.88,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$18525.59,$23671.58,NA,$20583.99,NA,NA,NA,NA,NA,NA,NA,NA,$20583.99,NA,NA,$20583.99,NA,$18525.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20583.99,NA,NA,$20583.99,NA,NA,NA,$23671.58,$20583.99,$20583.99,NA,NA,NA,$20583.99,NA,NA,$20583.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$26987.03,$34483.43,NA,$29985.59,NA,NA,NA,NA,NA,NA,NA,NA,$29985.59,NA,NA,$29985.59,NA,$26987.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29985.59,NA,NA,$29985.59,NA,NA,NA,$34483.43,$29985.59,$29985.59,NA,NA,NA,$29985.59,NA,NA,$29985.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$22064.23,$28193.19,NA,$24515.82,NA,NA,NA,NA,NA,NA,NA,NA,$24515.82,NA,NA,$24515.82,NA,$22064.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24515.82,NA,NA,$24515.82,NA,NA,NA,$28193.19,$24515.82,$24515.82,NA,NA,NA,$24515.82,NA,NA,$24515.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$19819.84,$25325.35,NA,$22022.04,NA,NA,NA,NA,NA,NA,NA,NA,$22022.04,NA,NA,$22022.04,NA,$19819.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22022.04,NA,NA,$22022.04,NA,NA,NA,$25325.35,$22022.04,$22022.04,NA,NA,NA,$22022.04,NA,NA,$22022.04,NA,NA
