Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$21607.94,$24849.14,NA,NA,NA,NA,NA,NA,$21607.94,$21607.94,NA,NA,NA,$21607.94,NA,NA,NA,NA,NA,NA,NA,$24849.14,$21607.94,NA,$21607.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$26866.42,$30896.39,NA,NA,NA,NA,NA,NA,$26866.42,$26866.42,NA,NA,NA,$26866.42,NA,NA,NA,NA,NA,NA,NA,$30896.39,$26866.42,NA,$26866.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$35389.62,$40698.06,NA,NA,NA,NA,NA,NA,$35389.62,$35389.62,NA,NA,NA,$35389.62,NA,NA,NA,NA,NA,NA,NA,$40698.06,$35389.62,NA,$35389.62,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$30254.03,$34792.14,NA,NA,NA,NA,NA,NA,$30254.03,$30254.03,NA,NA,NA,$30254.03,NA,NA,NA,NA,NA,NA,NA,$34792.14,$30254.03,NA,$30254.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$28072.70,$32283.61,NA,NA,NA,NA,NA,NA,$28072.70,$28072.70,NA,NA,NA,$28072.70,NA,NA,NA,NA,NA,NA,NA,$32283.61,$28072.70,NA,$28072.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$30480.41,$35052.47,NA,NA,NA,NA,NA,NA,$30480.41,$30480.41,NA,NA,NA,$30480.41,NA,NA,NA,NA,NA,NA,NA,$35052.47,$30480.41,NA,$30480.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$40148.44,$46170.71,NA,NA,NA,NA,NA,NA,$40148.44,$40148.44,NA,NA,NA,$40148.44,NA,NA,NA,NA,NA,NA,NA,$46170.71,$40148.44,NA,$40148.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$34322.40,$39470.76,NA,NA,NA,NA,NA,NA,$34322.40,$34322.40,NA,NA,NA,$34322.40,NA,NA,NA,NA,NA,NA,NA,$39470.76,$34322.40,NA,$34322.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$31848.39,$36625.65,NA,NA,NA,NA,NA,NA,$31848.39,$31848.39,NA,NA,NA,$31848.39,NA,NA,NA,NA,NA,NA,NA,$36625.65,$31848.39,NA,$31848.39,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$35016.09,$40268.51,NA,NA,NA,NA,NA,NA,$35016.09,$35016.09,NA,NA,NA,$35016.09,NA,NA,NA,NA,NA,NA,NA,$40268.51,$35016.09,NA,$35016.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$46124.87,$53043.60,NA,NA,NA,NA,NA,NA,$46124.87,$46124.87,NA,NA,NA,$46124.87,NA,NA,NA,NA,NA,NA,NA,$53043.60,$46124.87,NA,$46124.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$39430.50,$45345.07,NA,NA,NA,NA,NA,NA,$39430.50,$39430.50,NA,NA,NA,$39430.50,NA,NA,NA,NA,NA,NA,NA,$45345.07,$39430.50,NA,$39430.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$36589.43,$42077.85,NA,NA,NA,NA,NA,NA,$36589.43,$36589.43,NA,NA,NA,$36589.43,NA,NA,NA,NA,NA,NA,NA,$42077.85,$36589.43,NA,$36589.43,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12759.73,$14673.69,NA,NA,NA,NA,NA,NA,$12759.73,$12759.73,NA,NA,NA,$12759.73,NA,NA,NA,NA,NA,NA,NA,$14673.69,$12759.73,NA,$12759.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$18587.39,$21375.50,NA,NA,NA,NA,NA,NA,$18587.39,$18587.39,NA,NA,NA,$18587.39,NA,NA,NA,NA,NA,NA,NA,$21375.50,$18587.39,NA,$18587.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$15198.16,$17477.89,NA,NA,NA,NA,NA,NA,$15198.16,$15198.16,NA,NA,NA,$15198.16,NA,NA,NA,NA,NA,NA,NA,$17477.89,$15198.16,NA,$15198.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13652.31,$15700.16,NA,NA,NA,NA,NA,NA,$13652.31,$13652.31,NA,NA,NA,$13652.31,NA,NA,NA,NA,NA,NA,NA,$15700.16,$13652.31,NA,$13652.31,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$16029.30,$18433.70,NA,NA,NA,NA,NA,NA,$16029.30,$16029.30,NA,NA,NA,$16029.30,NA,NA,NA,NA,NA,NA,NA,$18433.70,$16029.30,NA,$16029.30,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$23349.45,$26851.87,NA,NA,NA,NA,NA,NA,$23349.45,$23349.45,NA,NA,NA,$23349.45,NA,NA,NA,NA,NA,NA,NA,$26851.87,$23349.45,NA,$23349.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$19091.90,$21955.68,NA,NA,NA,NA,NA,NA,$19091.90,$19091.90,NA,NA,NA,$19091.90,NA,NA,NA,NA,NA,NA,NA,$21955.68,$19091.90,NA,$19091.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$17149.88,$19722.36,NA,NA,NA,NA,NA,NA,$17149.88,$17149.88,NA,NA,NA,$17149.88,NA,NA,NA,NA,NA,NA,NA,$19722.36,$17149.88,NA,$17149.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$19326.36,$22225.31,NA,NA,NA,NA,NA,NA,$19326.36,$19326.36,NA,NA,NA,$19326.36,NA,NA,NA,NA,NA,NA,NA,$22225.31,$19326.36,NA,$19326.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$28153.55,$32376.59,NA,NA,NA,NA,NA,NA,$28153.55,$28153.55,NA,NA,NA,$28153.55,NA,NA,NA,NA,NA,NA,NA,$32376.59,$28153.55,NA,$28153.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$23017.97,$26470.66,NA,NA,NA,NA,NA,NA,$23017.97,$23017.97,NA,NA,NA,$23017.97,NA,NA,NA,NA,NA,NA,NA,$26470.66,$23017.97,NA,$23017.97,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$20676.55,$23778.04,NA,NA,NA,NA,NA,NA,$20676.55,$20676.55,NA,NA,NA,$20676.55,NA,NA,NA,NA,NA,NA,NA,$23778.04,$20676.55,NA,$20676.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$24054.46,$27662.63,NA,NA,NA,NA,NA,NA,$24054.46,$24054.46,NA,NA,NA,$24054.46,NA,NA,NA,NA,NA,NA,NA,$27662.63,$24054.46,NA,$24054.46,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$35038.73,$40294.54,NA,NA,NA,NA,NA,NA,$35038.73,$35038.73,NA,NA,NA,$35038.73,NA,NA,NA,NA,NA,NA,NA,$40294.54,$35038.73,NA,$35038.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$28649.97,$32947.47,NA,NA,NA,NA,NA,NA,$28649.97,$28649.97,NA,NA,NA,$28649.97,NA,NA,NA,NA,NA,NA,NA,$32947.47,$28649.97,NA,$28649.97,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$25734.52,$29594.70,NA,NA,NA,NA,NA,NA,$25734.52,$25734.52,NA,NA,NA,$25734.52,NA,NA,NA,NA,NA,NA,NA,$29594.70,$25734.52,NA,$25734.52,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$30380.16,$34937.18,NA,NA,NA,NA,NA,NA,$30380.16,$30380.16,NA,NA,NA,$30380.16,NA,NA,NA,NA,NA,NA,NA,$34937.18,$30380.16,NA,$30380.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$44255.62,$50893.96,NA,NA,NA,NA,NA,NA,$44255.62,$44255.62,NA,NA,NA,$44255.62,NA,NA,NA,NA,NA,NA,NA,$50893.96,$44255.62,NA,$44255.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$36183.56,$41611.10,NA,NA,NA,NA,NA,NA,$36183.56,$36183.56,NA,NA,NA,$36183.56,NA,NA,NA,NA,NA,NA,NA,$41611.10,$36183.56,NA,$36183.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$32503.28,$37378.77,NA,NA,NA,NA,NA,NA,$32503.28,$32503.28,NA,NA,NA,$32503.28,NA,NA,NA,NA,NA,NA,NA,$37378.77,$32503.28,NA,$32503.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13767.12,$15832.19,NA,NA,NA,NA,NA,NA,$13767.12,$13767.12,NA,NA,NA,$13767.12,NA,NA,NA,NA,NA,NA,NA,$15832.19,$13767.12,NA,$13767.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19829.25,$22803.63,NA,NA,NA,NA,NA,NA,$19829.25,$19829.25,NA,NA,NA,$19829.25,NA,NA,NA,NA,NA,NA,NA,$22803.63,$19829.25,NA,$19829.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$16074.58,$18485.76,NA,NA,NA,NA,NA,NA,$16074.58,$16074.58,NA,NA,NA,$16074.58,NA,NA,NA,NA,NA,NA,NA,$18485.76,$16074.58,NA,$16074.58,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14852.13,$17079.95,NA,NA,NA,NA,NA,NA,$14852.13,$14852.13,NA,NA,NA,$14852.13,NA,NA,NA,NA,NA,NA,NA,$17079.95,$14852.13,NA,$14852.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$17638.21,$20283.95,NA,NA,NA,NA,NA,NA,$17638.21,$17638.21,NA,NA,NA,$17638.21,NA,NA,NA,NA,NA,NA,NA,$20283.95,$17638.21,NA,$17638.21,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$25404.66,$29215.35,NA,NA,NA,NA,NA,NA,$25404.66,$25404.66,NA,NA,NA,$25404.66,NA,NA,NA,NA,NA,NA,NA,$29215.35,$25404.66,NA,$25404.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$20595.70,$23685.06,NA,NA,NA,NA,NA,NA,$20595.70,$20595.70,NA,NA,NA,$20595.70,NA,NA,NA,NA,NA,NA,NA,$23685.06,$20595.70,NA,$20595.70,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$19028.83,$21883.16,NA,NA,NA,NA,NA,NA,$19028.83,$19028.83,NA,NA,NA,$19028.83,NA,NA,NA,NA,NA,NA,NA,$21883.16,$19028.83,NA,$19028.83,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$21114.76,$24281.97,NA,NA,NA,NA,NA,NA,$21114.76,$21114.76,NA,NA,NA,$21114.76,NA,NA,NA,NA,NA,NA,NA,$24281.97,$21114.76,NA,$21114.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$30412.50,$34974.37,NA,NA,NA,NA,NA,NA,$30412.50,$30412.50,NA,NA,NA,$30412.50,NA,NA,NA,NA,NA,NA,NA,$34974.37,$30412.50,NA,$30412.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$24654.37,$28352.52,NA,NA,NA,NA,NA,NA,$24654.37,$24654.37,NA,NA,NA,$24654.37,NA,NA,NA,NA,NA,NA,NA,$28352.52,$24654.37,NA,$24654.37,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$22778.65,$26195.45,NA,NA,NA,NA,NA,NA,$22778.65,$22778.65,NA,NA,NA,$22778.65,NA,NA,NA,NA,NA,NA,NA,$26195.45,$22778.65,NA,$22778.65,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$23689.02,$27242.37,NA,NA,NA,NA,NA,NA,$23689.02,$23689.02,NA,NA,NA,$23689.02,NA,NA,NA,NA,NA,NA,NA,$27242.37,$23689.02,NA,$23689.02,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$34120.27,$39238.32,NA,NA,NA,NA,NA,NA,$34120.27,$34120.27,NA,NA,NA,$34120.27,NA,NA,NA,NA,NA,NA,NA,$39238.32,$34120.27,NA,$34120.27,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$27658.75,$31807.56,NA,NA,NA,NA,NA,NA,$27658.75,$27658.75,NA,NA,NA,$27658.75,NA,NA,NA,NA,NA,NA,NA,$31807.56,$27658.75,NA,$27658.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$25556.65,$29390.15,NA,NA,NA,NA,NA,NA,$25556.65,$25556.65,NA,NA,NA,$25556.65,NA,NA,NA,NA,NA,NA,NA,$29390.15,$25556.65,NA,$25556.65,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$25875.20,$29756.48,NA,NA,NA,NA,NA,NA,$25875.20,$25875.20,NA,NA,NA,$25875.20,NA,NA,NA,NA,NA,NA,NA,$29756.48,$25875.20,NA,$25875.20,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$37270.19,$42860.71,NA,NA,NA,NA,NA,NA,$37270.19,$37270.19,NA,NA,NA,$37270.19,NA,NA,NA,NA,NA,NA,NA,$42860.71,$37270.19,NA,$37270.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$30213.61,$34745.65,NA,NA,NA,NA,NA,NA,$30213.61,$30213.61,NA,NA,NA,$30213.61,NA,NA,NA,NA,NA,NA,NA,$34745.65,$30213.61,NA,$30213.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$27915.85,$32103.23,NA,NA,NA,NA,NA,NA,$27915.85,$27915.85,NA,NA,NA,$27915.85,NA,NA,NA,NA,NA,NA,NA,$32103.23,$27915.85,NA,$27915.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15713.99,$18071.08,NA,NA,NA,NA,NA,NA,$15713.99,$15713.99,NA,NA,NA,$15713.99,NA,NA,NA,NA,NA,NA,NA,$18071.08,$15713.99,NA,$15713.99,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$22127.00,$25446.05,NA,NA,NA,NA,NA,NA,$22127.00,$22127.00,NA,NA,NA,$22127.00,NA,NA,NA,NA,NA,NA,NA,$25446.05,$22127.00,NA,$22127.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$18776.58,$21593.07,NA,NA,NA,NA,NA,NA,$18776.58,$18776.58,NA,NA,NA,$18776.58,NA,NA,NA,NA,NA,NA,NA,$21593.07,$18776.58,NA,$18776.58,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$16913.80,$19450.87,NA,NA,NA,NA,NA,NA,$16913.80,$16913.80,NA,NA,NA,$16913.80,NA,NA,NA,NA,NA,NA,NA,$19450.87,$16913.80,NA,$16913.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$20448.56,$23515.84,NA,NA,NA,NA,NA,NA,$20448.56,$20448.56,NA,NA,NA,$20448.56,NA,NA,NA,NA,NA,NA,NA,$23515.84,$20448.56,NA,$20448.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$28793.88,$33112.97,NA,NA,NA,NA,NA,NA,$28793.88,$28793.88,NA,NA,NA,$28793.88,NA,NA,NA,NA,NA,NA,NA,$33112.97,$28793.88,NA,$28793.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$24432.84,$28097.77,NA,NA,NA,NA,NA,NA,$24432.84,$24432.84,NA,NA,NA,$24432.84,NA,NA,NA,NA,NA,NA,NA,$28097.77,$24432.84,NA,$24432.84,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$22008.96,$25310.30,NA,NA,NA,NA,NA,NA,$22008.96,$22008.96,NA,NA,NA,$22008.96,NA,NA,NA,NA,NA,NA,NA,$25310.30,$22008.96,NA,$22008.96,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$24541.18,$28222.36,NA,NA,NA,NA,NA,NA,$24541.18,$24541.18,NA,NA,NA,$24541.18,NA,NA,NA,NA,NA,NA,NA,$28222.36,$24541.18,NA,$24541.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$34556.86,$39740.39,NA,NA,NA,NA,NA,NA,$34556.86,$34556.86,NA,NA,NA,$34556.86,NA,NA,NA,NA,NA,NA,NA,$39740.39,$34556.86,NA,$34556.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$29324.26,$33722.90,NA,NA,NA,NA,NA,NA,$29324.26,$29324.26,NA,NA,NA,$29324.26,NA,NA,NA,NA,NA,NA,NA,$33722.90,$29324.26,NA,$29324.26,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$26415.28,$30377.57,NA,NA,NA,NA,NA,NA,$26415.28,$26415.28,NA,NA,NA,$26415.28,NA,NA,NA,NA,NA,NA,NA,$30377.57,$26415.28,NA,$26415.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$41553.61,$47786.66,NA,NA,NA,NA,NA,NA,$41553.61,$41553.61,NA,NA,NA,$41553.61,NA,NA,NA,NA,NA,NA,NA,$47786.66,$41553.61,NA,$41553.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$58511.07,$67287.73,NA,NA,NA,NA,NA,NA,$58511.07,$58511.07,NA,NA,NA,$58511.07,NA,NA,NA,NA,NA,NA,NA,$67287.73,$58511.07,NA,$58511.07,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$49651.54,$57099.27,NA,NA,NA,NA,NA,NA,$49651.54,$49651.54,NA,NA,NA,$49651.54,NA,NA,NA,NA,NA,NA,NA,$57099.27,$49651.54,NA,$49651.54,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$44726.16,$51435.09,NA,NA,NA,NA,NA,NA,$44726.16,$44726.16,NA,NA,NA,$44726.16,NA,NA,NA,NA,NA,NA,NA,$51435.09,$44726.16,NA,$44726.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$31515.29,$36242.58,NA,NA,NA,NA,NA,NA,$31515.29,$31515.29,NA,NA,NA,$31515.29,NA,NA,NA,NA,NA,NA,NA,$36242.58,$31515.29,NA,$31515.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$44376.89,$51033.43,NA,NA,NA,NA,NA,NA,$44376.89,$44376.89,NA,NA,NA,$44376.89,NA,NA,NA,NA,NA,NA,NA,$51033.43,$44376.89,NA,$44376.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$37656.65,$43305.15,NA,NA,NA,NA,NA,NA,$37656.65,$37656.65,NA,NA,NA,$37656.65,NA,NA,NA,NA,NA,NA,NA,$43305.15,$37656.65,NA,$37656.65,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$33921.38,$39009.59,NA,NA,NA,NA,NA,NA,$33921.38,$33921.38,NA,NA,NA,$33921.38,NA,NA,NA,NA,NA,NA,NA,$39009.59,$33921.38,NA,$33921.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$41304.60,$47500.29,NA,NA,NA,NA,NA,NA,$41304.60,$41304.60,NA,NA,NA,$41304.60,NA,NA,NA,NA,NA,NA,NA,$47500.29,$41304.60,NA,$41304.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$58161.80,$66886.07,NA,NA,NA,NA,NA,NA,$58161.80,$58161.80,NA,NA,NA,$58161.80,NA,NA,NA,NA,NA,NA,NA,$66886.07,$58161.80,NA,$58161.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$49354.01,$56757.11,NA,NA,NA,NA,NA,NA,$49354.01,$49354.01,NA,NA,NA,$49354.01,NA,NA,NA,NA,NA,NA,NA,$56757.11,$49354.01,NA,$49354.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$44457.74,$51126.40,NA,NA,NA,NA,NA,NA,$44457.74,$44457.74,NA,NA,NA,$44457.74,NA,NA,NA,NA,NA,NA,NA,$51126.40,$44457.74,NA,$44457.74,NA,NA,NA
