Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$11145.87,$13492.37,NA,NA,NA,NA,NA,$11145.87,NA,NA,NA,$11732.50,NA,NA,NA,NA,NA,NA,NA,NA,$11732.50,NA,$11732.50,NA,NA,NA,NA,$13492.37,$11732.50,$11732.50,NA,$11145.87,$11732.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$14681.80,$17772.71,NA,NA,NA,NA,NA,$14681.80,NA,NA,NA,$15454.53,NA,NA,NA,NA,NA,NA,NA,NA,$15454.53,NA,$15454.53,NA,NA,NA,NA,$17772.71,$15454.53,$15454.53,NA,$14681.80,$15454.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$12552.27,$15194.86,NA,NA,NA,NA,NA,$12552.27,NA,NA,NA,$13212.92,NA,NA,NA,NA,NA,NA,NA,NA,$13212.92,NA,$13212.92,NA,NA,NA,NA,$15194.86,$13212.92,$13212.92,NA,$12552.27,$13212.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$11646.94,$14098.92,NA,NA,NA,NA,NA,$11646.94,NA,NA,NA,$12259.93,NA,NA,NA,NA,NA,NA,NA,NA,$12259.93,NA,$12259.93,NA,NA,NA,NA,$14098.92,$12259.93,$12259.93,NA,$11646.94,$12259.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$14236.25,$17233.36,NA,NA,NA,NA,NA,$14236.25,NA,NA,NA,$14985.53,NA,NA,NA,NA,NA,NA,NA,NA,$14985.53,NA,$14985.53,NA,NA,NA,NA,$17233.36,$14985.53,$14985.53,NA,$14236.25,$14985.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$18752.96,$22700.96,NA,NA,NA,NA,NA,$18752.96,NA,NA,NA,$19739.96,NA,NA,NA,NA,NA,NA,NA,NA,$19739.96,NA,$19739.96,NA,NA,NA,NA,$22700.96,$19739.96,$19739.96,NA,$18752.96,$19739.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$16031.26,$19406.27,NA,NA,NA,NA,NA,$16031.26,NA,NA,NA,$16875.01,NA,NA,NA,NA,NA,NA,NA,NA,$16875.01,NA,$16875.01,NA,NA,NA,NA,$19406.27,$16875.01,$16875.01,NA,$16031.26,$16875.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$14876.82,$18008.78,NA,NA,NA,NA,NA,$14876.82,NA,NA,NA,$15659.81,NA,NA,NA,NA,NA,NA,NA,NA,$15659.81,NA,$15659.81,NA,NA,NA,NA,$18008.78,$15659.81,$15659.81,NA,$14876.82,$15659.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$18204.92,$22037.54,NA,NA,NA,NA,NA,$18204.92,NA,NA,NA,$19163.08,NA,NA,NA,NA,NA,NA,NA,NA,$19163.08,NA,$19163.08,NA,NA,NA,NA,$22037.54,$19163.08,$19163.08,NA,$18204.92,$19163.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$23979.99,$29028.41,NA,NA,NA,NA,NA,$23979.99,NA,NA,NA,$25242.10,NA,NA,NA,NA,NA,NA,NA,NA,$25242.10,NA,$25242.10,NA,NA,NA,NA,$29028.41,$25242.10,$25242.10,NA,$23979.99,$25242.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$20499.58,$24815.28,NA,NA,NA,NA,NA,$20499.58,NA,NA,NA,$21578.50,NA,NA,NA,NA,NA,NA,NA,NA,$21578.50,NA,$21578.50,NA,NA,NA,NA,$24815.28,$21578.50,$21578.50,NA,$20499.58,$21578.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$19022.00,$23026.63,NA,NA,NA,NA,NA,$19022.00,NA,NA,NA,$20023.16,NA,NA,NA,NA,NA,NA,NA,NA,$20023.16,NA,$20023.16,NA,NA,NA,NA,$23026.63,$20023.16,$20023.16,NA,$19022.00,$20023.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$23651.17,$28630.36,NA,NA,NA,NA,NA,$23651.17,NA,NA,NA,$24895.97,NA,NA,NA,NA,NA,NA,NA,NA,$24895.97,NA,$24895.97,NA,NA,NA,NA,$28630.36,$24895.97,$24895.97,NA,$23651.17,$24895.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$31154.35,$37713.16,NA,NA,NA,NA,NA,$31154.35,NA,NA,NA,$32794.05,NA,NA,NA,NA,NA,NA,NA,NA,$32794.05,NA,$32794.05,NA,NA,NA,NA,$37713.16,$32794.05,$32794.05,NA,$31154.35,$32794.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$26633.36,$32240.39,NA,NA,NA,NA,NA,$26633.36,NA,NA,NA,$28035.12,NA,NA,NA,NA,NA,NA,NA,NA,$28035.12,NA,$28035.12,NA,NA,NA,NA,$32240.39,$28035.12,$28035.12,NA,$26633.36,$28035.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$24713.09,$29915.84,NA,NA,NA,NA,NA,$24713.09,NA,NA,NA,$26013.77,NA,NA,NA,NA,NA,NA,NA,NA,$26013.77,NA,$26013.77,NA,NA,NA,NA,$29915.84,$26013.77,$26013.77,NA,$24713.09,$26013.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$26832.65,$32481.63,NA,NA,NA,NA,NA,$26832.65,NA,NA,NA,$28244.90,NA,NA,NA,NA,NA,NA,NA,NA,$28244.90,NA,$28244.90,NA,NA,NA,NA,$32481.63,$28244.90,$28244.90,NA,$26832.65,$28244.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$35343.66,$42784.43,NA,NA,NA,NA,NA,$35343.66,NA,NA,NA,$37203.85,NA,NA,NA,NA,NA,NA,NA,NA,$37203.85,NA,$37203.85,NA,NA,NA,NA,$42784.43,$37203.85,$37203.85,NA,$35343.66,$37203.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$30214.85,$36575.87,NA,NA,NA,NA,NA,$30214.85,NA,NA,NA,$31805.10,NA,NA,NA,NA,NA,NA,NA,NA,$31805.10,NA,$31805.10,NA,NA,NA,NA,$36575.87,$31805.10,$31805.10,NA,$30214.85,$31805.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$28036.92,$33939.43,NA,NA,NA,NA,NA,$28036.92,NA,NA,NA,$29512.55,NA,NA,NA,NA,NA,NA,NA,NA,$29512.55,NA,$29512.55,NA,NA,NA,NA,$33939.43,$29512.55,$29512.55,NA,$28036.92,$29512.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$30825.52,$37315.10,NA,NA,NA,NA,NA,$30825.52,NA,NA,NA,$32447.92,NA,NA,NA,NA,NA,NA,NA,NA,$32447.92,NA,$32447.92,NA,NA,NA,NA,$37315.10,$32447.92,$32447.92,NA,$30825.52,$32447.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$40604.85,$49153.24,NA,NA,NA,NA,NA,$40604.85,NA,NA,NA,$42741.95,NA,NA,NA,NA,NA,NA,NA,NA,$42741.95,NA,$42741.95,NA,NA,NA,NA,$49153.24,$42741.95,$42741.95,NA,$40604.85,$42741.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$34711.63,$42019.34,NA,NA,NA,NA,NA,$34711.63,NA,NA,NA,$36538.56,NA,NA,NA,NA,NA,NA,NA,NA,$36538.56,NA,$36538.56,NA,NA,NA,NA,$42019.34,$36538.56,$36538.56,NA,$34711.63,$36538.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$32210.57,$38991.74,NA,NA,NA,NA,NA,$32210.57,NA,NA,NA,$33905.86,NA,NA,NA,NA,NA,NA,NA,NA,$33905.86,NA,$33905.86,NA,NA,NA,NA,$38991.74,$33905.86,$33905.86,NA,$32210.57,$33905.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$11232.70,$13597.48,NA,NA,NA,NA,NA,$11232.70,NA,NA,NA,$11823.90,NA,NA,NA,NA,NA,NA,NA,NA,$11823.90,NA,$11823.90,NA,NA,NA,NA,$13597.48,$11823.90,$11823.90,NA,$11232.70,$11823.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$16362.94,$19807.76,NA,NA,NA,NA,NA,$16362.94,NA,NA,NA,$17224.14,NA,NA,NA,NA,NA,NA,NA,NA,$17224.14,NA,$17224.14,NA,NA,NA,NA,$19807.76,$17224.14,$17224.14,NA,$16362.94,$17224.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$13379.32,$16196.01,NA,NA,NA,NA,NA,$13379.32,NA,NA,NA,$14083.49,NA,NA,NA,NA,NA,NA,NA,NA,$14083.49,NA,$14083.49,NA,NA,NA,NA,$16196.01,$14083.49,$14083.49,NA,$13379.32,$14083.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$12018.47,$14548.67,NA,NA,NA,NA,NA,$12018.47,NA,NA,NA,$12651.02,NA,NA,NA,NA,NA,NA,NA,NA,$12651.02,NA,$12651.02,NA,NA,NA,NA,$14548.67,$12651.02,$12651.02,NA,$12018.47,$12651.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$14110.99,$17081.72,NA,NA,NA,NA,NA,$14110.99,NA,NA,NA,$14853.67,NA,NA,NA,NA,NA,NA,NA,NA,$14853.67,NA,$14853.67,NA,NA,NA,NA,$17081.72,$14853.67,$14853.67,NA,$14110.99,$14853.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$20555.09,$24882.48,NA,NA,NA,NA,NA,$20555.09,NA,NA,NA,$21636.94,NA,NA,NA,NA,NA,NA,NA,NA,$21636.94,NA,$21636.94,NA,NA,NA,NA,$24882.48,$21636.94,$21636.94,NA,$20555.09,$21636.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$16807.06,$20345.39,NA,NA,NA,NA,NA,$16807.06,NA,NA,NA,$17691.64,NA,NA,NA,NA,NA,NA,NA,NA,$17691.64,NA,$17691.64,NA,NA,NA,NA,$20345.39,$17691.64,$17691.64,NA,$16807.06,$17691.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$15097.46,$18275.87,NA,NA,NA,NA,NA,$15097.46,NA,NA,NA,$15892.06,NA,NA,NA,NA,NA,NA,NA,NA,$15892.06,NA,$15892.06,NA,NA,NA,NA,$18275.87,$15892.06,$15892.06,NA,$15097.46,$15892.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$17013.47,$20595.25,NA,NA,NA,NA,NA,$17013.47,NA,NA,NA,$17908.91,NA,NA,NA,NA,NA,NA,NA,NA,$17908.91,NA,$17908.91,NA,NA,NA,NA,$20595.25,$17908.91,$17908.91,NA,$17013.47,$17908.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$24784.26,$30002.00,NA,NA,NA,NA,NA,$24784.26,NA,NA,NA,$26088.69,NA,NA,NA,NA,NA,NA,NA,NA,$26088.69,NA,$26088.69,NA,NA,NA,NA,$30002.00,$26088.69,$26088.69,NA,$24784.26,$26088.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$20263.28,$24529.23,NA,NA,NA,NA,NA,$20263.28,NA,NA,NA,$21329.77,NA,NA,NA,NA,NA,NA,NA,NA,$21329.77,NA,$21329.77,NA,NA,NA,NA,$24529.23,$21329.77,$21329.77,NA,$20263.28,$21329.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$18202.08,$22034.09,NA,NA,NA,NA,NA,$18202.08,NA,NA,NA,$19160.08,NA,NA,NA,NA,NA,NA,NA,NA,$19160.08,NA,$19160.08,NA,NA,NA,NA,$22034.09,$19160.08,$19160.08,NA,$18202.08,$19160.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$21175.73,$25633.78,NA,NA,NA,NA,NA,$21175.73,NA,NA,NA,$22290.24,NA,NA,NA,NA,NA,NA,NA,NA,$22290.24,NA,$22290.24,NA,NA,NA,NA,$25633.78,$22290.24,$22290.24,NA,$21175.73,$22290.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$30845.45,$37339.23,NA,NA,NA,NA,NA,$30845.45,NA,NA,NA,$32468.89,NA,NA,NA,NA,NA,NA,NA,NA,$32468.89,NA,$32468.89,NA,NA,NA,NA,$37339.23,$32468.89,$32468.89,NA,$30845.45,$32468.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$25221.27,$30531.01,NA,NA,NA,NA,NA,$25221.27,NA,NA,NA,$26548.70,NA,NA,NA,NA,NA,NA,NA,NA,$26548.70,NA,$26548.70,NA,NA,NA,NA,$30531.01,$26548.70,$26548.70,NA,$25221.27,$26548.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$22654.73,$27424.15,NA,NA,NA,NA,NA,$22654.73,NA,NA,NA,$23847.08,NA,NA,NA,NA,NA,NA,NA,NA,$23847.08,NA,$23847.08,NA,NA,NA,NA,$27424.15,$23847.08,$23847.08,NA,$22654.73,$23847.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$26744.40,$32374.79,NA,NA,NA,NA,NA,$26744.40,NA,NA,NA,$28152.00,NA,NA,NA,NA,NA,NA,NA,NA,$28152.00,NA,$28152.00,NA,NA,NA,NA,$32374.79,$28152.00,$28152.00,NA,$26744.40,$28152.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$38959.30,$47161.26,NA,NA,NA,NA,NA,$38959.30,NA,NA,NA,$41009.79,NA,NA,NA,NA,NA,NA,NA,NA,$41009.79,NA,$41009.79,NA,NA,NA,NA,$47161.26,$41009.79,$41009.79,NA,$38959.30,$41009.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$31853.28,$38559.23,NA,NA,NA,NA,NA,$31853.28,NA,NA,NA,$33529.76,NA,NA,NA,NA,NA,NA,NA,NA,$33529.76,NA,$33529.76,NA,NA,NA,NA,$38559.23,$33529.76,$33529.76,NA,$31853.28,$33529.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$28613.43,$34637.31,NA,NA,NA,NA,NA,$28613.43,NA,NA,NA,$30119.40,NA,NA,NA,NA,NA,NA,NA,NA,$30119.40,NA,$30119.40,NA,NA,NA,NA,$34637.31,$30119.40,$30119.40,NA,$28613.43,$30119.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$12119.53,$14671.01,NA,NA,NA,NA,NA,$12119.53,NA,NA,NA,$12757.40,NA,NA,NA,NA,NA,NA,NA,NA,$12757.40,NA,$12757.40,NA,NA,NA,NA,$14671.01,$12757.40,$12757.40,NA,$12119.53,$12757.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$17456.17,$21131.15,NA,NA,NA,NA,NA,$17456.17,NA,NA,NA,$18374.92,NA,NA,NA,NA,NA,NA,NA,NA,$18374.92,NA,$18374.92,NA,NA,NA,NA,$21131.15,$18374.92,$18374.92,NA,$17456.17,$18374.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$14150.84,$17129.97,NA,NA,NA,NA,NA,$14150.84,NA,NA,NA,$14895.62,NA,NA,NA,NA,NA,NA,NA,NA,$14895.62,NA,$14895.62,NA,NA,NA,NA,$17129.97,$14895.62,$14895.62,NA,$14150.84,$14895.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$13074.69,$15827.26,NA,NA,NA,NA,NA,$13074.69,NA,NA,NA,$13762.83,NA,NA,NA,NA,NA,NA,NA,NA,$13762.83,NA,$13762.83,NA,NA,NA,NA,$15827.26,$13762.83,$13762.83,NA,$13074.69,$13762.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$15527.35,$18796.27,NA,NA,NA,NA,NA,$15527.35,NA,NA,NA,$16344.58,NA,NA,NA,NA,NA,NA,NA,NA,$16344.58,NA,$16344.58,NA,NA,NA,NA,$18796.27,$16344.58,$16344.58,NA,$15527.35,$16344.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$22364.34,$27072.62,NA,NA,NA,NA,NA,$22364.34,NA,NA,NA,$23541.41,NA,NA,NA,NA,NA,NA,NA,NA,$23541.41,NA,$23541.41,NA,NA,NA,NA,$27072.62,$23541.41,$23541.41,NA,$22364.34,$23541.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$18130.90,$21947.93,NA,NA,NA,NA,NA,$18130.90,NA,NA,NA,$19085.16,NA,NA,NA,NA,NA,NA,NA,NA,$19085.16,NA,$19085.16,NA,NA,NA,NA,$21947.93,$19085.16,$19085.16,NA,$18130.90,$19085.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$16751.55,$20278.19,NA,NA,NA,NA,NA,$16751.55,NA,NA,NA,$17633.21,NA,NA,NA,NA,NA,NA,NA,NA,$17633.21,NA,$17633.21,NA,NA,NA,NA,$20278.19,$17633.21,$17633.21,NA,$16751.55,$17633.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$18587.84,$22501.07,NA,NA,NA,NA,NA,$18587.84,NA,NA,NA,$19566.15,NA,NA,NA,NA,NA,NA,NA,NA,$19566.15,NA,$19566.15,NA,NA,NA,NA,$22501.07,$19566.15,$19566.15,NA,$18587.84,$19566.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$26772.87,$32409.26,NA,NA,NA,NA,NA,$26772.87,NA,NA,NA,$28181.96,NA,NA,NA,NA,NA,NA,NA,NA,$28181.96,NA,$28181.96,NA,NA,NA,NA,$32409.26,$28181.96,$28181.96,NA,$26772.87,$28181.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$21703.84,$26273.07,NA,NA,NA,NA,NA,$21703.84,NA,NA,NA,$22846.15,NA,NA,NA,NA,NA,NA,NA,NA,$22846.15,NA,$22846.15,NA,NA,NA,NA,$26273.07,$22846.15,$22846.15,NA,$21703.84,$22846.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$20052.60,$24274.20,NA,NA,NA,NA,NA,$20052.60,NA,NA,NA,$21108.00,NA,NA,NA,NA,NA,NA,NA,NA,$21108.00,NA,$21108.00,NA,NA,NA,NA,$24274.20,$21108.00,$21108.00,NA,$20052.60,$21108.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$20854.02,$25244.34,NA,NA,NA,NA,NA,$20854.02,NA,NA,NA,$21951.60,NA,NA,NA,NA,NA,NA,NA,NA,$21951.60,NA,$21951.60,NA,NA,NA,NA,$25244.34,$21951.60,$21951.60,NA,$20854.02,$21951.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$30036.91,$36360.47,NA,NA,NA,NA,NA,$30036.91,NA,NA,NA,$31617.80,NA,NA,NA,NA,NA,NA,NA,NA,$31617.80,NA,$31617.80,NA,NA,NA,NA,$36360.47,$31617.80,$31617.80,NA,$30036.91,$31617.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$24348.67,$29474.71,NA,NA,NA,NA,NA,$24348.67,NA,NA,NA,$25630.18,NA,NA,NA,NA,NA,NA,NA,NA,$25630.18,NA,$25630.18,NA,NA,NA,NA,$29474.71,$25630.18,$25630.18,NA,$24348.67,$25630.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$22498.15,$27234.60,NA,NA,NA,NA,NA,$22498.15,NA,NA,NA,$23682.26,NA,NA,NA,NA,NA,NA,NA,NA,$23682.26,NA,$23682.26,NA,NA,NA,NA,$27234.60,$23682.26,$23682.26,NA,$22498.15,$23682.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$22778.57,$27574.06,NA,NA,NA,NA,NA,$22778.57,NA,NA,NA,$23977.44,NA,NA,NA,NA,NA,NA,NA,NA,$23977.44,NA,$23977.44,NA,NA,NA,NA,$27574.06,$23977.44,$23977.44,NA,$22778.57,$23977.44,NA,NA,NA,NA
