Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Psychotherapy, 45 minutes",90834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Psychotherapy, 60 minutes",90837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, not including patient, 50 minutes",90846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Family psychotherapy, including patient, 50 min",90847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Group psychotherapy,90853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Electrocardiogram, routine, with interpretation and report",93000,$166.00,$124.50,$116.20,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80,$139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$124.50,$116.20,NA,NA,$116.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$132.80
Inpatient Rehabilitation Services,Insertion of catheter into left heart for diagnosis,93452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Sleep study,95810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Physical therapy, therapeutic exercise",97110,$87.00,$65.25,$60.90,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65.25,$60.90,NA,NA,$60.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60
Inpatient Rehabilitation Services,"New patient office or other outpatient visit, typically 30 min",99203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 45 min",99204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"New patient office of other outpatient visit, typically 60 min",99205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 40 min",99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Patient office consultation, typically 60 min",99244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 18 to 39",99385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Initial new patient preventive medicine evaluation, for those ages 40 to 64",99386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,NA,NA,$12343.84,$14942.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12993.52,NA,NA,NA,NA,NA,NA,NA,$12993.52,NA,NA,NA,NA,NA,NA,NA,$12993.52,NA,NA,$14942.54,$12993.52,NA,$12993.52,$12993.52,NA,$12343.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,NA,NA,$16259.82,$19682.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17115.60,NA,NA,NA,NA,NA,NA,NA,$17115.60,NA,NA,NA,NA,NA,NA,NA,$17115.60,NA,NA,$19682.94,$17115.60,NA,$17115.60,$17115.60,NA,$16259.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,NA,NA,$13901.40,$16828.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14633.06,NA,NA,NA,NA,NA,NA,NA,$14633.06,NA,NA,NA,NA,NA,NA,NA,$14633.06,NA,NA,$16828.02,$14633.06,NA,$14633.06,$14633.06,NA,$13901.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,NA,NA,$12898.76,$15614.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13577.64,NA,NA,NA,NA,NA,NA,NA,$13577.64,NA,NA,NA,NA,NA,NA,NA,$13577.64,NA,NA,$15614.29,$13577.64,NA,$13577.64,$13577.64,NA,$12898.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-A,NA,NA,$15766.38,$19085.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16596.19,NA,NA,NA,NA,NA,NA,NA,$16596.19,NA,NA,NA,NA,NA,NA,NA,$16596.19,NA,NA,$19085.62,$16596.19,NA,$16596.19,$16596.19,NA,$15766.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-B,NA,NA,$20768.55,$25140.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21861.63,NA,NA,NA,NA,NA,NA,NA,$21861.63,NA,NA,NA,NA,NA,NA,NA,$21861.63,NA,NA,$25140.88,$21861.63,NA,$21861.63,$21861.63,NA,$20768.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-C,NA,NA,$17754.32,$21492.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18688.76,NA,NA,NA,NA,NA,NA,NA,$18688.76,NA,NA,NA,NA,NA,NA,NA,$18688.76,NA,NA,$21492.07,$18688.76,NA,$18688.76,$18688.76,NA,$17754.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0102-D,NA,NA,$16475.80,$19944.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17342.94,NA,NA,NA,NA,NA,NA,NA,$17342.94,NA,NA,NA,NA,NA,NA,NA,$17342.94,NA,NA,$19944.38,$17342.94,NA,$17342.94,$17342.94,NA,$16475.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-A,NA,NA,$20161.61,$24406.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21222.74,NA,NA,NA,NA,NA,NA,NA,$21222.74,NA,NA,NA,NA,NA,NA,NA,$21222.74,NA,NA,$24406.16,$21222.74,NA,$21222.74,$21222.74,NA,$20161.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-B,NA,NA,$26557.39,$32148.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27955.15,NA,NA,NA,NA,NA,NA,NA,$27955.15,NA,NA,NA,NA,NA,NA,NA,$27955.15,NA,NA,$32148.42,$27955.15,NA,$27955.15,$27955.15,NA,$26557.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-C,NA,NA,$22702.89,$27482.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23897.78,NA,NA,NA,NA,NA,NA,NA,$23897.78,NA,NA,NA,NA,NA,NA,NA,$23897.78,NA,NA,$27482.45,$23897.78,NA,$23897.78,$23897.78,NA,$22702.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0103-D,NA,NA,$21066.51,$25501.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22175.27,NA,NA,NA,NA,NA,NA,NA,$22175.27,NA,NA,NA,NA,NA,NA,NA,$22175.27,NA,NA,$25501.56,$22175.27,NA,$22175.27,$22175.27,NA,$21066.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-A,NA,NA,$26193.22,$31707.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27571.81,NA,NA,NA,NA,NA,NA,NA,$27571.81,NA,NA,NA,NA,NA,NA,NA,$27571.81,NA,NA,$31707.58,$27571.81,NA,$27571.81,$27571.81,NA,$26193.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-B,NA,NA,$34502.85,$41766.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36318.79,NA,NA,NA,NA,NA,NA,NA,$36318.79,NA,NA,NA,NA,NA,NA,NA,$36318.79,NA,NA,$41766.61,$36318.79,NA,$36318.79,$36318.79,NA,$34502.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-C,NA,NA,$29495.95,$35705.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31048.37,NA,NA,NA,NA,NA,NA,NA,$31048.37,NA,NA,NA,NA,NA,NA,NA,$31048.37,NA,NA,$35705.62,$31048.37,NA,$31048.37,$31048.37,NA,$29495.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0104-D,NA,NA,$27369.28,$33131.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28809.76,NA,NA,NA,NA,NA,NA,NA,$28809.76,NA,NA,NA,NA,NA,NA,NA,$28809.76,NA,NA,$33131.23,$28809.76,NA,$28809.76,$28809.76,NA,$27369.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-A,NA,NA,$29716.65,$35972.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31280.69,NA,NA,NA,NA,NA,NA,NA,$31280.69,NA,NA,NA,NA,NA,NA,NA,$31280.69,NA,NA,$35972.79,$31280.69,NA,$31280.69,$31280.69,NA,$29716.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-B,NA,NA,$39142.43,$47382.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41202.56,NA,NA,NA,NA,NA,NA,NA,$41202.56,NA,NA,NA,NA,NA,NA,NA,$41202.56,NA,NA,$47382.94,$41202.56,NA,$41202.56,$41202.56,NA,$39142.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-C,NA,NA,$33462.37,$40507.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35223.55,NA,NA,NA,NA,NA,NA,NA,$35223.55,NA,NA,NA,NA,NA,NA,NA,$35223.55,NA,NA,$40507.08,$35223.55,NA,$35223.55,$35223.55,NA,$33462.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0105-D,NA,NA,$31050.36,$37587.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32684.59,NA,NA,NA,NA,NA,NA,NA,$32684.59,NA,NA,NA,NA,NA,NA,NA,$32684.59,NA,NA,$37587.27,$32684.59,NA,$32684.59,$32684.59,NA,$31050.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-A,NA,NA,$34138.68,$41325.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35935.45,NA,NA,NA,NA,NA,NA,NA,$35935.45,NA,NA,NA,NA,NA,NA,NA,$35935.45,NA,NA,$41325.77,$35935.45,NA,$35935.45,$35935.45,NA,$34138.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-B,NA,NA,$44969.10,$54436.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47335.90,NA,NA,NA,NA,NA,NA,NA,$47335.90,NA,NA,NA,NA,NA,NA,NA,$47335.90,NA,NA,$54436.28,$47335.90,NA,$47335.90,$47335.90,NA,$44969.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-C,NA,NA,$38442.47,$46535.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40465.76,NA,NA,NA,NA,NA,NA,NA,$40465.76,NA,NA,NA,NA,NA,NA,NA,$40465.76,NA,NA,$46535.63,$40465.76,NA,$40465.76,$40465.76,NA,$38442.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0106-D,NA,NA,$35672.60,$43182.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37550.10,NA,NA,NA,NA,NA,NA,NA,$37550.10,NA,NA,NA,NA,NA,NA,NA,$37550.10,NA,NA,$43182.62,$37550.10,NA,$37550.10,$37550.10,NA,$35672.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-A,NA,NA,$12440.01,$15058.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13094.74,NA,NA,NA,NA,NA,NA,NA,$13094.74,NA,NA,NA,NA,NA,NA,NA,$13094.74,NA,NA,$15058.96,$13094.74,NA,$13094.74,$13094.74,NA,$12440.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-B,NA,NA,$18121.64,$21936.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19075.41,NA,NA,NA,NA,NA,NA,NA,$19075.41,NA,NA,NA,NA,NA,NA,NA,$19075.41,NA,NA,$21936.72,$19075.41,NA,$19075.41,$19075.41,NA,$18121.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-C,NA,NA,$14817.34,$17936.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15597.20,NA,NA,NA,NA,NA,NA,NA,$15597.20,NA,NA,NA,NA,NA,NA,NA,$15597.20,NA,NA,$17936.78,$15597.20,NA,$15597.20,$15597.20,NA,$14817.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0201-D,NA,NA,$13310.22,$16112.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14010.76,NA,NA,NA,NA,NA,NA,NA,$14010.76,NA,NA,NA,NA,NA,NA,NA,$14010.76,NA,NA,$16112.38,$14010.76,NA,$14010.76,$14010.76,NA,$13310.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-A,NA,NA,$15627.65,$18917.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16450.16,NA,NA,NA,NA,NA,NA,NA,$16450.16,NA,NA,NA,NA,NA,NA,NA,$16450.16,NA,NA,$18917.68,$16450.16,NA,$16450.16,$16450.16,NA,$15627.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-B,NA,NA,$22764.38,$27556.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23962.50,NA,NA,NA,NA,NA,NA,NA,$23962.50,NA,NA,NA,NA,NA,NA,NA,$23962.50,NA,NA,$27556.88,$23962.50,NA,$23962.50,$23962.50,NA,$22764.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-C,NA,NA,$18613.50,$22532.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19593.16,NA,NA,NA,NA,NA,NA,NA,$19593.16,NA,NA,NA,NA,NA,NA,NA,$19593.16,NA,NA,$22532.14,$19593.16,NA,$19593.16,$19593.16,NA,$18613.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0202-D,NA,NA,$16720.15,$20240.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17600.16,NA,NA,NA,NA,NA,NA,NA,$17600.16,NA,NA,NA,NA,NA,NA,NA,$17600.16,NA,NA,$20240.18,$17600.16,NA,$17600.16,$17600.16,NA,$16720.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-A,NA,NA,$18842.09,$22808.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19833.78,NA,NA,NA,NA,NA,NA,NA,$19833.78,NA,NA,NA,NA,NA,NA,NA,$19833.78,NA,NA,$22808.85,$19833.78,NA,$19833.78,$19833.78,NA,$18842.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$27448.10,$33226.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28892.74,NA,NA,NA,NA,NA,NA,NA,$28892.74,NA,NA,NA,NA,NA,NA,NA,$28892.74,NA,NA,$33226.65,$28892.74,NA,$28892.74,$28892.74,NA,$27448.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$22441.20,$27165.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23622.31,NA,NA,NA,NA,NA,NA,NA,$23622.31,NA,NA,NA,NA,NA,NA,NA,$23622.31,NA,NA,$27165.66,$23622.31,NA,$23622.31,$23622.31,NA,$22441.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$20158.45,$24402.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21219.43,NA,NA,NA,NA,NA,NA,NA,$21219.43,NA,NA,NA,NA,NA,NA,NA,$21219.43,NA,NA,$24402.34,$21219.43,NA,$21219.43,$21219.43,NA,$20158.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$23451.72,$28388.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24686.02,NA,NA,NA,NA,NA,NA,NA,$24686.02,NA,NA,NA,NA,NA,NA,NA,$24686.02,NA,NA,$28388.93,$24686.02,NA,$24686.02,$24686.02,NA,$23451.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$34160.75,$41352.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35958.69,NA,NA,NA,NA,NA,NA,NA,$35958.69,NA,NA,NA,NA,NA,NA,NA,$35958.69,NA,NA,$41352.49,$35958.69,NA,$35958.69,$35958.69,NA,$34160.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$27932.08,$33812.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29402.19,NA,NA,NA,NA,NA,NA,NA,$29402.19,NA,NA,NA,NA,NA,NA,NA,$29402.19,NA,NA,$33812.52,$29402.19,NA,$29402.19,$29402.19,NA,$27932.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$25089.68,$30371.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26410.19,NA,NA,NA,NA,NA,NA,NA,$26410.19,NA,NA,NA,NA,NA,NA,NA,$26410.19,NA,NA,$30371.72,$26410.19,NA,$26410.19,$26410.19,NA,$25089.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$29618.91,$35854.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31177.80,NA,NA,NA,NA,NA,NA,NA,$31177.80,NA,NA,NA,NA,NA,NA,NA,$31177.80,NA,NA,$35854.47,$31177.80,NA,$31177.80,$31177.80,NA,$29618.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$43146.69,$52230.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45417.57,NA,NA,NA,NA,NA,NA,NA,$45417.57,NA,NA,NA,NA,NA,NA,NA,$45417.57,NA,NA,$52230.20,$45417.57,NA,$45417.57,$45417.57,NA,$43146.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$35276.90,$42703.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37133.58,NA,NA,NA,NA,NA,NA,NA,$37133.58,NA,NA,NA,NA,NA,NA,NA,$37133.58,NA,NA,$42703.62,$37133.58,NA,$37133.58,$37133.58,NA,$35276.90,NA,NA,NA,NA
