CPT/HCPCS,DESCRIPTION,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
73130RT,HAND RT 3 VIEWS,153,76.5,56.61,76.5,56.61,71.91,61.2,61.2,71.91,71.91,61.2,
80076,HEPATIC PANEL (LIVER),49,24.5,18.13,24.5,18.13,23.03,19.6,19.6,23.03,23.03,19.6,
73502,HIP - UNILATERAL W/PELVIS - 2-3 VIEWS,209,104.5,77.33,104.5,77.33,98.23,83.6,83.6,98.23,98.23,83.6,
73503,HIP - UNILATERAL W/PELVIS - 4 VIEW MIN,347,173.5,128.39,173.5,128.39,163.09,138.8,138.8,163.09,163.09,138.8,
73501,HIP LT COMPLETE,183,91.5,67.71,91.5,67.71,86.01,73.2,73.2,86.01,86.01,73.2,
73530,HIP NAILING / C ARM,597,298.5,220.89,298.5,220.89,280.59,238.8,238.8,280.59,280.59,238.8,
73521,HIPS - BILATERAL W/PELVIS - 2VIEWS,341,170.5,126.17,170.5,126.17,160.27,136.4,136.4,160.27,160.27,136.4,
73522,HIPS - BILATERAL W/PELVIS - 3-4 VIEWS,341,170.5,126.17,170.5,126.17,160.27,136.4,136.4,160.27,160.27,136.4,
73523,HIPS - BILATERAL W/PELVIS - MIN 5 VIEWS,649,324.5,240.13,324.5,240.13,305.03,259.6,259.6,305.03,305.03,259.6,
73060,HUMERUS,152,76,56.24,76,56.24,71.44,60.8,60.8,71.44,71.44,60.8,
73060LT,HUMERUS LT,160,80,59.2,80,59.2,75.2,64,64,75.2,75.2,64,
73060RT,HUMERUS RT,160,80,59.2,80,59.2,75.2,64,64,75.2,75.2,64,
70134,IACS,129,64.5,47.73,64.5,47.73,60.63,51.6,51.6,60.63,60.63,51.6,
70134LT,IACS LT,136,68,50.32,68,50.32,63.92,54.4,54.4,63.92,63.92,54.4,
70134RT,IACS RT,136,68,50.32,68,50.32,63.92,54.4,54.4,63.92,63.92,54.4,
99385,"Initial new patient preventive medicine evaluation, for those ages 18 to 39 (99385)",SERVICE NOT PROVIDED,,,,,,,,,,,
99386,"Initial new patient preventive medicine evaluation, for those ages 40 to 64 (99386)",SERVICE NOT PROVIDED,,,,,,,,,,,
66322/62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance ,SERVICE NOT PROVIDED,,,,,,,,,,,
64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance ,SERVICE NOT PROVIDED,,,,,,,,,,,
93452,Insertion of catheter into left heart for diagnosis ,SERVICE NOT PROVIDED,,,,,,,,,,,
74400,IVP UROGRAPHY,372,186,137.64,186,137.64,174.84,148.8,148.8,174.84,174.84,148.8,
73560,KNEE 1-2 VIEWS,104,52,38.48,52,38.48,48.88,41.6,41.6,48.88,48.88,41.6,
73562,KNEE 3 VIEWS,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
73564,KNEE COMP 4 VIEWS,116,58,42.92,58,42.92,54.52,46.4,46.4,54.52,54.52,46.4,
73560LT,KNEE LT 1-2 VIEWS,137,68.5,50.69,68.5,50.69,64.39,54.8,54.8,64.39,64.39,54.8,
73562LT,KNEE LT 3 VIEWS,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
73564LT,KNEE LT COMP 4 VIEWS,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
73560RT,KNEE RT 1-2 VIEWS,137,68.5,50.69,68.5,50.69,64.39,54.8,54.8,64.39,64.39,54.8,
73562RT,KNEE RT 3 VIEWS,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
73564RT,KNEE RT COMP 4 VIEWS,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
74019,KUB MULTIPLE VIEWS,157,78.5,58.09,78.5,58.09,73.79,62.8,62.8,73.79,73.79,62.8,
76010,KUB/FB/CHILD,357,178.5,132.09,178.5,132.09,167.79,142.8,142.8,167.79,167.79,142.8,
80061,LIPID PANEL,66,33,24.42,33,24.42,31.02,26.4,26.4,31.02,31.02,26.4,
47000,LIVER BIOPSY NEEDLE GUIDED,1017,508.5,376.29,508.5,376.29,477.99,406.8,406.8,477.99,477.99,406.8,
73020,LT SHOULDER 1 VIEW,85,42.5,31.45,42.5,31.45,39.95,34,34,39.95,39.95,34,
72100,LUMBAR AP & LAT,192,96,71.04,96,71.04,90.24,76.8,76.8,90.24,90.24,76.8,
72110,LUMBAR AP & LAT COMP & OBLIQUE,255,127.5,94.35,127.5,94.35,119.85,102,102,119.85,119.85,102,
72114,LUMBAR AP & LAT COMP BENDING VIEW,347,173.5,128.39,173.5,128.39,163.09,138.8,138.8,163.09,163.09,138.8,
470,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications ,SERVICE NOT PROVIDED,,,,,,,,,,,
70120,MANDIBLE 1-2 VIEWS/SIDE,85,42.5,31.45,42.5,31.45,39.95,34,34,39.95,39.95,34,
70100,MANDIBLE 1-3 VIEWS,81,40.5,29.97,40.5,29.97,38.07,32.4,32.4,38.07,38.07,32.4,
70110,MANDIBLE COMPLETE 4 VIEWS,92,46,34.04,46,34.04,43.24,36.8,36.8,43.24,43.24,36.8,
70120LT,MANDIBLE LT 1-2 VIEWS/SIDE,143,71.5,52.91,71.5,52.91,67.21,57.2,57.2,67.21,67.21,57.2,
70100LT,MANDIBLE LT 1-3 VIEWS,151,75.5,55.87,75.5,55.87,70.97,60.4,60.4,70.97,70.97,60.4,
70110LT,MANDIBLE LT 4 VIEWS,202,101,74.74,101,74.74,94.94,80.8,80.8,94.94,94.94,80.8,
70120RT,MANDIBLE RT 1-2 VIEWS/SIDE,142,71,52.54,71,52.54,66.74,56.8,56.8,66.74,66.74,56.8,
70100RT,MANDIBLE RT 1-3 VIEWS,151,75.5,55.87,75.5,55.87,70.97,60.4,60.4,70.97,70.97,60.4,
70110RT,MANDIBLE RT 4 VIEWS,202,101,74.74,101,74.74,94.94,80.8,80.8,94.94,94.94,80.8,
70130,MASTOIDS COMPLETE 3 VIEWS/SIDE,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
70130LT,MASTOIDS LT 3 VIEWS/SIDE,103,51.5,38.11,51.5,38.11,48.41,41.2,41.2,48.41,48.41,41.2,
70130RT,MASTOIDS RT 3 VIEWS/SIDE,103,51.5,38.11,51.5,38.11,48.41,41.2,41.2,48.41,48.41,41.2,
70140,MAXILLARY,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
74230,MODIFIED BARIUM SWALLOW,185,92.5,68.45,92.5,68.45,86.95,74,74,86.95,86.95,74,
70553,MRI HEAD W AND W/O CONTRAST,2172,1086,803.64,1086,803.64,1020.84,868.8,868.8,1020.84,1020.84,868.8,
73721,MRI LOWER EXTREMITY JOINT W/O CONTRAST,1395,697.5,516.15,697.5,516.15,655.65,558,558,655.65,655.65,558,
72148,MRI LUMBAR SPINE W/O CONTRAST,1395,697.5,516.15,697.5,516.15,655.65,558,558,655.65,655.65,558,
70160,NASAL BONES,123,61.5,45.51,61.5,45.51,57.81,49.2,49.2,57.81,57.81,49.2,
70360,NECK-SOFT TISSUE,126,63,46.62,63,46.62,59.22,50.4,50.4,59.22,59.22,50.4,
38505,NEEDLE BIOPSY OF LYMPH NODE,3520,1760,1302.4,1760,1302.4,1654.4,1408,1408,1654.4,1654.4,1408,
99204,"New patient office of other outpatient visit, typically 45 min (99204)",SERVICE NOT PROVIDED,,,,,,,,,,,
99205,"New patient office of other outpatient visit, typically 60 min (99205)",SERVICE NOT PROVIDED,,,,,,,,,,,
99203,"New patient office or other outpatient visit, typically 30 min (99203)",SERVICE NOT PROVIDED,,,,,,,,,,,
78452,NUCLEAR STRESS/MULTIPLE,2503,1251.5,926.11,1251.5,926.11,1176.41,1001.2,1001.2,1176.41,1176.41,1001.2,
78451,NUCLEAR STRESS/SINGLE,2503,1251.5,926.11,1251.5,926.11,1176.41,1001.2,1001.2,1176.41,1176.41,1001.2,
80055,OBSTETRIC BLOOD TEST PANEL,SERVICE NOT PROVIDED,,,,,,,,,,,
74300,OP CHOLANGIOGRAM,356,178,131.72,178,131.72,167.32,142.4,142.4,167.32,167.32,142.4,
70190,OPTIC FORAMINA,102,51,37.74,51,37.74,47.94,40.8,40.8,47.94,47.94,40.8,
70190LT,OPTIC FORAMINA LT,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
70190RT,OPTIC FORAMINA RT,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
70200,ORBIT,129,64.5,47.73,64.5,47.73,60.63,51.6,51.6,60.63,60.63,51.6,
70200LT,ORBIT LT,179,89.5,66.23,89.5,66.23,84.13,71.6,71.6,84.13,84.13,71.6,
70200RT,ORBIT RT,179,89.5,66.23,89.5,66.23,84.13,71.6,71.6,84.13,84.13,71.6,
73650,OSCALCIS,87,43.5,32.19,43.5,32.19,40.89,34.8,34.8,40.89,40.89,34.8,
73650LT,OSCALCIS LT,141,70.5,52.17,70.5,52.17,66.27,56.4,56.4,66.27,66.27,56.4,
71090,PACEMAKER X-RAY,356,178,131.72,178,131.72,167.32,142.4,142.4,167.32,167.32,142.4,
49082,PARACENTESIS,853,426.5,315.61,426.5,315.61,400.91,341.2,341.2,400.91,400.91,341.2,
70210,PARANASAL SINUSES 1-2 VIEWS,103,51.5,38.11,51.5,38.11,48.41,41.2,41.2,48.41,48.41,41.2,
70220,PARANASAL SINUSES COMPLETE,179,89.5,66.23,89.5,66.23,84.13,71.6,71.6,84.13,84.13,71.6,
99243,"Patient office consultation, typically 40 min (99243)",SERVICE NOT PROVIDED,,,,,,,,,,,
99244,"Patient office consultation, typically 60 min (99244)",SERVICE NOT PROVIDED,,,,,,,,,,,
74710,PELVIMETRY,124,62,45.88,62,45.88,58.28,49.6,49.6,58.28,58.28,49.6,
72170,PELVIS SINGLE VIEW,151,75.5,55.87,75.5,55.87,70.97,60.4,60.4,70.97,70.97,60.4,
72190,PELVIS WITH OBLIQUE,208,104,76.96,104,76.96,97.76,83.2,83.2,97.76,97.76,83.2,
84153,"PSA DIAGNOSTIC, TOTAL",109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
90832,"Psychotherapy, 30 minutes (90832)",SERVICE NOT PROVIDED,,,,,,,,,,,
90834,"Psychotherapy, 45 minutes (90834)",SERVICE NOT PROVIDED,,,,,,,,,,,
90837,"Psychotherapy, 60 minutes (90837)",SERVICE NOT PROVIDED,,,,,,,,,,,
85610,PT(PROTHROMBIN TIME),26,13,9.62,13,9.62,12.22,10.4,10.4,12.22,12.22,10.4,
85730,PTT,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
96415,REMICADE/ENTYVIO EACH ADDITIONAL 30,440,220,162.8,220,162.8,206.8,176,176,206.8,206.8,176,
96413,REMICADE/ENTYVIO FIRST HOUR,550,275,203.5,275,203.5,258.5,220,220,258.5,258.5,220,
47562,REMOVAL  OF GALLBLADDER BY ENDOSCOPE,9300,4650,3445,4650,3445,4650,3720,3720,4650,4650,3445,
19120,"REMOVAL OF BREAST GROWTH, OPEN PROCEDURE",4925,2462,1823,2462,1823,2462,1970,1970,2462,2462,1823,
29881,Removal of one knee cartilage using an endoscope ,SERVICE NOT PROVIDED,,,,,,,,,,,
45385,REMOVAL OF POLYPS OR GROWTHS OF LARGE BOWEL BY ENDOSCOPE,2900,1450,1073,1450,1073,1450,1160,1160,1450,1450,1073,
66821,Removal of recurring cataract in lens capsule using laser,SERVICE NOT PROVIDED,,,,,,,,,,,
42820,Removal of tonsils and adenoid glands patient younger than age 12 ,SERVICE NOT PROVIDED,,,,,,,,,,,
66984,REMOVALOF CATARACT WITH INSERTION OF LENS,6030,3015,2231,3015,2231,3015,2412,2412,3015,3015,2231,
80069,RENAL FUNCTION PANEL,55,27.5,20.35,27.5,20.35,25.85,22,22,25.85,25.85,22,
49505,REPAIR OF GROIN HERNIA AGE 5 AND OLDER,9000,4500,3330,4500,3330,4500,3600,3600,4500,4500,3330,
74420,RETROGRADE PYLEGRAM,252,126,93.24,126,93.24,118.44,100.8,100.8,118.44,118.44,100.8,
71110,RIBS - BILATERAL 3 VIEWS,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
71111,RIBS BILAT/WITH CHEST,332,166,122.84,166,122.84,156.04,132.8,132.8,156.04,156.04,132.8,
71100LT,RIBS LT 3 VIEWS UNILATERIAL,168,84,62.16,84,62.16,78.96,67.2,67.2,78.96,78.96,67.2,
71101LT,RIBS LT UNILATERAL INCLUDING CHEST,204,102,75.48,102,75.48,95.88,81.6,81.6,95.88,95.88,81.6,
71100RT,RIBS RT 3 VIEWS UNILATERIAL,168,84,62.16,84,62.16,78.96,67.2,67.2,78.96,78.96,67.2,
71101RT,RIBS RT UNILATERAL INCLUDING CHEST,204,102,75.48,102,75.48,95.88,81.6,81.6,95.88,95.88,81.6,
59510,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care ",SERVICE NOT PROVIDED,,,,,,,,,,,
59610,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care ,SERVICE NOT PROVIDED,,,,,,,,,,,
59400,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care ",SERVICE NOT PROVIDED,,,,,,,,,,,
72202,SACRO-ILLIAC JOINTS- 3 OR MORE VIEWS,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
72200,SACRO-ILLIAC JOINTS- LESS THAN 3 VIEWS,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
72220,SACRUM COCCYX,162,81,59.94,81,59.94,76.14,64.8,64.8,76.14,76.14,64.8,
70380,SALLVARYGLAND,110,55,40.7,55,40.7,51.7,44,44,51.7,51.7,44,
74740,SALPINGOGRAM,304,152,112.48,152,112.48,142.88,121.6,121.6,142.88,142.88,121.6,
73010,SCAPULA,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
73010LT,SCAPULA LT,160,80,59.2,80,59.2,75.2,64,64,75.2,75.2,64,
73010RT,SCAPULA RT,160,80,59.2,80,59.2,75.2,64,64,75.2,75.2,64,
77067,SCREEN MAMMO BILATERAL PLUS CAD WHEN PER,328,164,121.36,164,121.36,154.16,131.2,131.2,154.16,154.16,131.2,
70240,SELLA TURCICA,90,45,33.3,45,33.3,42.3,36,36,42.3,42.3,36,
70240LT,SELLA TURCICA LT,95,47.5,35.15,47.5,35.15,44.65,38,38,44.65,44.65,38,
70240RT,SELLA TURCICA RT,95,47.5,35.15,47.5,35.15,44.65,38,38,44.65,44.65,38,
29826,Shaving of shoulder bone using an endoscope ,SERVICE NOT PROVIDED,,,,,,,,,,,
73030,SHOULDER 2 VIEWS,154,77,56.98,77,56.98,72.38,61.6,61.6,72.38,72.38,61.6,
73020LT,SHOULDER LT 1 VIEW,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
73030LT,SHOULDER LT 2 VIEWS,162,81,59.94,81,59.94,76.14,64.8,64.8,76.14,76.14,64.8,
73020RT,SHOULDER RT 1 VIEW,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
73030RT,SHOULDER RT 2 VIEWS,162,81,59.94,81,59.94,76.14,64.8,64.8,76.14,76.14,64.8,
76080,SINOGRAM (XRAY),389,194.5,143.93,194.5,143.93,182.83,155.6,155.6,182.83,182.83,155.6,
70250,SKULL 1-3 VIEWS,159,79.5,58.83,79.5,58.83,74.73,63.6,63.6,74.73,74.73,63.6,
70260,SKULL COMPLETE,237,118.5,87.69,118.5,87.69,111.39,94.8,94.8,111.39,111.39,94.8,
95810,Sleep study ,SERVICE NOT PROVIDED,,,,,,,,,,,
74250,SMALL BOWEL,281,140.5,103.97,140.5,103.97,132.07,112.4,112.4,132.07,132.07,112.4,
460,Spinal fusion except cervical without major comorbid conditions or complications ,SERVICE NOT PROVIDED,,,,,,,,,,,
71130,STERNOCLAUICULAR,105,52.5,38.85,52.5,38.85,49.35,42,42,49.35,49.35,42,
71130LT,STERNOCLAUICULAR LT,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
71130RT,STERNOCLAUICULAR RT,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
71120,STERNUM,170,85,62.9,85,62.9,79.9,68,68,79.9,79.9,68,
55866,Surgical removal of prostate and surrounding lymph nodes using an endoscope,SERVICE NOT PROVIDED,,,,,,,,,,,
70330,TEMPOROMANDIBULAR BILATERAL,135,67.5,49.95,67.5,49.95,63.45,54,54,63.45,63.45,54,
70328RT,TEMPOROMANDIBULAR LT UNILATERAL,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
70328,TEMPOROMANDIBULAR UNILATERAL,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
97110,THERAPEUTIC EXERCISE,21.5,15.91,21.5,15.91,20.21,17.2,17.2,20.21,20.21,17.2,,
72070,THORACIC SPINE AP & LAT,185,92.5,68.45,92.5,68.45,86.95,74,74,86.95,86.95,74,
72083,THORACIC SPINE AP & LAT SCOLIOSIS STUDY,204,102,75.48,102,75.48,95.88,81.6,81.6,95.88,95.88,81.6,
72072,THORACIC SPINE AP & LAT SWIMMER'S VIEW,202,101,74.74,101,74.74,94.94,80.8,80.8,94.94,94.94,80.8,
60100,THYROID BIOPSY NEEDLE GUIDED,983,491.5,363.71,491.5,363.71,462.01,393.2,393.2,462.01,462.01,393.2,
73590LT,TIBIA FIBIA (L) AP & LAT,153,76.5,56.61,76.5,56.61,71.91,61.2,61.2,71.91,71.91,61.2,
73590RT,TIBIA FIBIA (R)  AP & LAT,153,76.5,56.61,76.5,56.61,71.91,61.2,61.2,71.91,71.91,61.2,
73590,TIBIA FIBIA AP & LAT,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
73592LT,TIBIA FIBIA LT INFANT LOWER EXTREMITY,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
73592RT,TIBIA FIBIA RT INFANT LOWER EXTREMITY,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
73592,"TIBIA FIBIA, INFATN LOWER EXT",97,48.5,35.89,48.5,35.89,45.59,38.8,38.8,45.59,45.59,38.8,
73660,TOES,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
73660LT,TOES LT,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
73660RT,TOES RT,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
84443,TSH3,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
84154,"UIEP, RANDOM URINE",109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
45391,Ultrasound examination of lower large bowel using an endoscope,SERVICE NOT PROVIDED,,,,,,,,,,,
74240,UPPER GI,270,135,99.9,135,99.9,126.9,108,108,126.9,126.9,108,
76700,US ABDOMEN ENTIRE,473,236.5,175.01,236.5,175.01,222.31,189.2,189.2,222.31,222.31,189.2,
76805,US GRAVID UTERUS-1ST TRIMESTER,285,142.5,105.45,142.5,105.45,133.95,114,114,133.95,133.95,114,
76830,US TRANSVAGINAL PELVIS,414,207,153.18,207,153.18,194.58,165.6,165.6,194.58,194.58,165.6,
743,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications ,SERVICE NOT PROVIDED,,,,,,,,,,,
74455,VOIDING CYSTOURETHRO,268,134,99.16,134,99.16,125.96,107.2,107.2,125.96,125.96,107.2,
73110,WRIST,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
73110LT,WRIST LT,165,82.5,61.05,82.5,61.05,77.55,66,66,77.55,77.55,66,
73100LT,WRIST LT 2 VIEWS,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
73110RT,WRIST RT,165,82.5,61.05,82.5,61.05,77.55,66,66,77.55,77.55,66,
73100RT,WRIST RT 2 VIEWS,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
73100,WRIST-2 VIEWS,69,34.5,25.53,34.5,25.53,32.43,27.6,27.6,32.43,32.43,27.6,
